scenario,config,config_label,metric,n,median,iqr,q1,q3,ci95_low,ci95_high
load,vapor,Vapor,client_p50_ms,5,5.0080,0.1730,4.9530,5.1260,3.9370,5.4580
load,vapor,Vapor,client_p95_ms,5,1199.2254,96.7304,1104.6251,1201.3555,1096.0300,1288.4372
load,vapor,Vapor,client_p99_ms,5,2296.2103,103.9160,2193.0978,2297.0138,2098.9784,2490.0709
load,vapor,Vapor,client_max_ms,5,3704.2460,195.1010,3593.1430,3788.2440,3398.1470,3988.2590
load,vapor,Vapor,server_p50_ms,5,2.3933,0.1038,2.3529,2.4567,2.1154,2.4765
load,vapor,Vapor,server_p95_ms,5,954.5657,108.5623,863.2379,971.8003,715.8279,992.0005
load,vapor,Vapor,server_p99_ms,5,2097.4924,137.0672,1987.8604,2124.9276,1955.4491,2127.9424
load,vapor,Vapor,server_mean_ms,5,122.4223,3.9669,119.4013,123.3681,100.4348,126.6327
load,vapor,Vapor,throughput_rps,5,46.2495,0.1744,46.1139,46.2884,46.0509,47.4830
load,vapor,Vapor,requests_total,5,9836.0000,64.0000,9828.0000,9892.0000,9820.0000,10136.0000
load,vapor,Vapor,error_rate,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load,vapor,Vapor,rss_peak_bytes,5,50824478.7200,10684989.4400,50740592.6400,61425582.0800,49429872.6400,62862131.2000
load,vapor,Vapor,rss_steady_bytes,5,41859153.9200,12163481.6000,39898316.8000,52061798.4000,39484129.2800,52082769.9200
load,vapor,Vapor,cpu_mean_percent_of_one_core,5,82.1030,1.2548,81.1173,82.3721,80.2121,84.4523
load,vapor,Vapor,probe_p50_ms,5,2.0150,0.1285,1.9135,2.0420,1.8385,2.1450
load,vapor,Vapor,probe_p95_ms,5,86.8104,0.6046,86.5845,87.1891,74.5190,88.5615
load,vapor,Vapor,probe_p99_ms,5,198.5708,20.7311,196.7178,217.4488,191.0927,281.4740
load,vapor,Vapor,k6_cpu_mean_percent_of_one_core,5,2.7361,0.0869,2.7128,2.7996,2.6882,2.8145
load,vapor,Vapor,k6_cpu_peak_percent_of_one_core,5,4.3741,0.2112,4.3702,4.5814,4.3664,5.0283
load,vapor,Vapor,k6_rss_peak_bytes,5,84246528.0000,1064960.0000,83509248.0000,84574208.0000,82690048.0000,84656128.0000
load,vapor,Vapor,server_throughput_peak_rps,5,103.8000,4.6000,101.6000,106.2000,95.6000,112.6000
load,vapor,Vapor,ep_get_users_p95_ms,5,486.7118,16.9127,477.7798,494.6925,399.0746,495.3917
load,vapor,Vapor,ep_get_products_p95_ms,5,9.8630,2.0671,8.6683,10.7354,8.4650,11.4472
load,vapor,Vapor,ep_post_users_p95_ms,5,2193.5664,113.0454,2092.9204,2205.9658,1999.0048,2292.6324
load,vapor,Vapor,ep_post_orders_p95_ms,5,14.9700,1.9834,13.5802,15.5636,13.2287,17.1899
load,boot-t200,"Spring Boot, Tomcat 200",client_p50_ms,5,8.5750,0.7530,8.4875,9.2405,7.7645,9.2970
load,boot-t200,"Spring Boot, Tomcat 200",client_p95_ms,5,2587.7677,6.4127,2584.5657,2590.9785,2496.5450,2689.0705
load,boot-t200,"Spring Boot, Tomcat 200",client_p99_ms,5,3799.3366,103.5050,3793.6090,3897.1140,3694.9169,4084.4744
load,boot-t200,"Spring Boot, Tomcat 200",client_max_ms,5,8478.4330,1307.7240,7894.7520,9202.4760,7400.8190,10089.4180
load,boot-t200,"Spring Boot, Tomcat 200",server_p50_ms,5,3.0653,0.0771,3.0093,3.0864,2.8551,3.1500
load,boot-t200,"Spring Boot, Tomcat 200",server_p95_ms,5,2262.0358,19.8042,2249.8247,2269.6289,2172.7212,2324.2313
load,boot-t200,"Spring Boot, Tomcat 200",server_p99_ms,5,3617.0117,47.5206,3596.6543,3644.1750,3512.6697,3793.8878
load,boot-t200,"Spring Boot, Tomcat 200",server_mean_ms,5,315.2798,11.8864,306.3229,318.2093,302.7030,327.7964
load,boot-t200,"Spring Boot, Tomcat 200",throughput_rps,5,37.6770,0.2631,37.5605,37.8236,37.1247,38.2258
load,boot-t200,"Spring Boot, Tomcat 200",requests_total,5,8048.0000,20.0000,8036.0000,8056.0000,7928.0000,8108.0000
load,boot-t200,"Spring Boot, Tomcat 200",error_rate,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load,boot-t200,"Spring Boot, Tomcat 200",rss_peak_bytes,5,1108344832.0000,73819750.4000,1106771968.0000,1180591718.4000,1099746508.8000,1237843968.0000
load,boot-t200,"Spring Boot, Tomcat 200",rss_steady_bytes,5,1083493580.8000,55522099.2000,1076835123.2000,1132357222.4000,1061263769.6000,1134349516.8000
load,boot-t200,"Spring Boot, Tomcat 200",cpu_mean_percent_of_one_core,5,104.6532,2.8213,103.9383,106.7596,102.3832,107.4321
load,boot-t200,"Spring Boot, Tomcat 200",jvm_heap_used_steady_bytes,5,66039952.0000,1724576.0000,66035320.0000,67759896.0000,65985540.0000,69009480.0000
load,boot-t200,"Spring Boot, Tomcat 200",jvm_heap_used_peak_bytes,5,118627824.0000,3642128.0000,116366968.0000,120009096.0000,107453624.0000,172497336.0000
load,boot-t200,"Spring Boot, Tomcat 200",jvm_heap_committed_steady_bytes,5,105906176.0000,19922944.0000,105906176.0000,125829120.0000,96468992.0000,132120576.0000
load,boot-t200,"Spring Boot, Tomcat 200",jvm_heap_committed_peak_bytes,5,132120576.0000,12582912.0000,128974848.0000,141557760.0000,121634816.0000,249561088.0000
load,boot-t200,"Spring Boot, Tomcat 200",gc_pause_count,5,73.0000,32.0000,66.0000,98.0000,56.0000,121.0000
load,boot-t200,"Spring Boot, Tomcat 200",gc_pause_total_seconds,5,0.4550,0.1620,0.4480,0.6100,0.4270,0.6550
load,boot-t200,"Spring Boot, Tomcat 200",tomcat_busy_threads_median,5,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
load,boot-t200,"Spring Boot, Tomcat 200",tomcat_busy_threads_peak,5,64.0000,8.0000,58.0000,66.0000,52.0000,68.0000
load,boot-t200,"Spring Boot, Tomcat 200",tomcat_threads_max_config,5,200.0000,0.0000,200.0000,200.0000,200.0000,200.0000
load,boot-t200,"Spring Boot, Tomcat 200",db_pool_pending_median,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load,boot-t200,"Spring Boot, Tomcat 200",db_pool_pending_peak,5,43.0000,8.0000,37.0000,45.0000,29.0000,48.0000
load,boot-t200,"Spring Boot, Tomcat 200",db_pool_active_peak,5,20.0000,0.0000,20.0000,20.0000,20.0000,20.0000
load,boot-t200,"Spring Boot, Tomcat 200",db_wait_mean_ms,5,326.5859,13.6213,323.0945,336.7158,312.4418,357.0261
load,boot-t200,"Spring Boot, Tomcat 200",probe_p50_ms,5,3.3890,0.2940,3.2920,3.5860,3.2810,3.6740
load,boot-t200,"Spring Boot, Tomcat 200",probe_p95_ms,5,194.3656,10.0360,193.6598,203.6958,184.3784,204.3472
load,boot-t200,"Spring Boot, Tomcat 200",probe_p99_ms,5,1578.7971,200.8538,1483.5757,1684.4294,1289.4621,1880.0252
load,boot-t200,"Spring Boot, Tomcat 200",k6_cpu_mean_percent_of_one_core,5,2.3755,0.0100,2.3657,2.3757,2.3079,2.4090
load,boot-t200,"Spring Boot, Tomcat 200",k6_cpu_peak_percent_of_one_core,5,3.8947,0.0093,3.8886,3.8979,3.6236,3.9055
load,boot-t200,"Spring Boot, Tomcat 200",k6_rss_peak_bytes,5,80838656.0000,1081344.0000,80478208.0000,81559552.0000,78675968.0000,81854464.0000
load,boot-t200,"Spring Boot, Tomcat 200",server_throughput_peak_rps,5,84.4000,5.0000,80.2000,85.2000,79.8000,86.6000
load,boot-t200,"Spring Boot, Tomcat 200",ep_get_users_p95_ms,5,1698.7446,193.8841,1593.4452,1787.3293,1588.0038,1788.8620
load,boot-t200,"Spring Boot, Tomcat 200",ep_get_products_p95_ms,5,11.5122,0.3900,11.5062,11.8962,10.6203,12.8304
load,boot-t200,"Spring Boot, Tomcat 200",ep_post_users_p95_ms,5,3603.6401,91.3742,3597.0344,3688.4086,3589.9969,3803.7834
load,boot-t200,"Spring Boot, Tomcat 200",ep_post_orders_p95_ms,5,18.1780,1.0820,17.3850,18.4671,16.7922,18.5959
load,boot-t64,"Spring Boot, Tomcat 64",client_p50_ms,5,7.9445,1.0345,7.7785,8.8130,7.3685,9.1190
load,boot-t64,"Spring Boot, Tomcat 64",client_p95_ms,5,2588.5329,9.5041,2585.5359,2595.0400,2584.3775,2605.8916
load,boot-t64,"Spring Boot, Tomcat 64",client_p99_ms,5,3993.2895,124.2909,3898.0590,4022.3499,3696.8806,4087.6181
load,boot-t64,"Spring Boot, Tomcat 64",client_max_ms,5,7999.4150,1079.8920,7501.7690,8581.6610,6990.9830,10598.5210
load,boot-t64,"Spring Boot, Tomcat 64",server_p50_ms,5,2.8966,0.2719,2.8625,3.1344,2.7439,3.1403
load,boot-t64,"Spring Boot, Tomcat 64",server_p95_ms,5,2258.0890,34.9448,2233.5642,2268.5090,2213.5416,2273.4948
load,boot-t64,"Spring Boot, Tomcat 64",server_p99_ms,5,3703.0327,84.8432,3688.0366,3772.8798,3492.6435,3812.9020
load,boot-t64,"Spring Boot, Tomcat 64",server_mean_ms,5,306.6674,14.3119,298.4925,312.8044,291.6318,318.0452
load,boot-t64,"Spring Boot, Tomcat 64",throughput_rps,5,37.8304,0.4652,37.7925,38.2577,37.5231,38.5293
load,boot-t64,"Spring Boot, Tomcat 64",requests_total,5,8080.0000,164.0000,8040.0000,8204.0000,8032.0000,8208.0000
load,boot-t64,"Spring Boot, Tomcat 64",error_rate,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load,boot-t64,"Spring Boot, Tomcat 64",rss_peak_bytes,5,1108869120.0000,48339353.6000,1090414182.4000,1138753536.0000,1082969292.8000,1148400435.2000
load,boot-t64,"Spring Boot, Tomcat 64",rss_steady_bytes,5,1076048691.2000,50121932.8000,1047579852.8000,1097701785.6000,1045954560.0000,1099222220.8000
load,boot-t64,"Spring Boot, Tomcat 64",cpu_mean_percent_of_one_core,5,104.5445,1.4290,103.7429,105.1719,102.4854,108.3460
load,boot-t64,"Spring Boot, Tomcat 64",jvm_heap_used_steady_bytes,5,66707192.0000,5660208.0000,64240280.0000,69900488.0000,62828736.0000,70292588.0000
load,boot-t64,"Spring Boot, Tomcat 64",jvm_heap_used_peak_bytes,5,104888048.0000,11616624.0000,102992280.0000,114608904.0000,88695976.0000,127588472.0000
load,boot-t64,"Spring Boot, Tomcat 64",jvm_heap_committed_steady_bytes,5,100663296.0000,9437184.0000,95420416.0000,104857600.0000,90177536.0000,119537664.0000
load,boot-t64,"Spring Boot, Tomcat 64",jvm_heap_committed_peak_bytes,5,113246208.0000,20971520.0000,111149056.0000,132120576.0000,98566144.0000,159383552.0000
load,boot-t64,"Spring Boot, Tomcat 64",gc_pause_count,5,91.0000,11.0000,89.0000,100.0000,80.0000,116.0000
load,boot-t64,"Spring Boot, Tomcat 64",gc_pause_total_seconds,5,0.6210,0.0650,0.5700,0.6350,0.5500,0.7580
load,boot-t64,"Spring Boot, Tomcat 64",tomcat_busy_threads_median,5,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
load,boot-t64,"Spring Boot, Tomcat 64",tomcat_busy_threads_peak,5,58.0000,6.0000,58.0000,64.0000,57.0000,64.0000
load,boot-t64,"Spring Boot, Tomcat 64",tomcat_threads_max_config,5,64.0000,0.0000,64.0000,64.0000,64.0000,64.0000
load,boot-t64,"Spring Boot, Tomcat 64",db_pool_pending_median,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load,boot-t64,"Spring Boot, Tomcat 64",db_pool_pending_peak,5,37.0000,2.0000,36.0000,38.0000,33.0000,40.0000
load,boot-t64,"Spring Boot, Tomcat 64",db_pool_active_peak,5,20.0000,0.0000,20.0000,20.0000,20.0000,20.0000
load,boot-t64,"Spring Boot, Tomcat 64",db_wait_mean_ms,5,327.9373,9.4758,326.3993,335.8750,324.2749,337.1154
load,boot-t64,"Spring Boot, Tomcat 64",probe_p50_ms,5,3.3570,0.1230,3.3500,3.4730,3.3435,3.5860
load,boot-t64,"Spring Boot, Tomcat 64",probe_p95_ms,5,187.5802,14.7047,175.6201,190.3248,161.0904,190.6560
load,boot-t64,"Spring Boot, Tomcat 64",probe_p99_ms,5,1457.1099,32.4706,1440.7432,1473.2138,1383.5900,1624.2137
load,boot-t64,"Spring Boot, Tomcat 64",k6_cpu_mean_percent_of_one_core,5,2.4136,0.0421,2.3809,2.4231,2.3472,2.4649
load,boot-t64,"Spring Boot, Tomcat 64",k6_cpu_peak_percent_of_one_core,5,4.0748,0.2377,3.8991,4.1368,3.8479,4.1496
load,boot-t64,"Spring Boot, Tomcat 64",k6_rss_peak_bytes,5,80707584.0000,376832.0000,80412672.0000,80789504.0000,77758464.0000,83705856.0000
load,boot-t64,"Spring Boot, Tomcat 64",server_throughput_peak_rps,5,89.0000,7.2000,87.0000,94.2000,85.6000,99.4000
load,boot-t64,"Spring Boot, Tomcat 64",ep_get_users_p95_ms,5,1701.0481,94.7902,1686.7673,1781.5575,1675.6199,1797.1660
load,boot-t64,"Spring Boot, Tomcat 64",ep_get_products_p95_ms,5,11.2587,0.4371,10.9228,11.3599,10.6599,11.4370
load,boot-t64,"Spring Boot, Tomcat 64",ep_post_users_p95_ms,5,3687.6363,104.6866,3684.2089,3788.8955,3495.1010,3794.5237
load,boot-t64,"Spring Boot, Tomcat 64",ep_post_orders_p95_ms,5,17.5984,1.6470,16.8345,18.4814,16.4471,18.5068
load,boot-vt,"Spring Boot, virtual threads",client_p50_ms,5,7.0665,0.4635,7.0405,7.5040,5.9580,9.6555
load,boot-vt,"Spring Boot, virtual threads",client_p95_ms,5,836.2696,190.0371,778.7979,968.8350,767.7513,1066.0911
load,boot-vt,"Spring Boot, virtual threads",client_p99_ms,5,1283.5404,574.6006,1080.3691,1654.9697,977.7755,1713.7298
load,boot-vt,"Spring Boot, virtual threads",client_max_ms,5,2431.7510,939.3600,1582.3120,2521.6720,1565.3070,2534.9940
load,boot-vt,"Spring Boot, virtual threads",server_p50_ms,5,2.9872,0.1383,2.9081,3.0464,2.6787,3.2421
load,boot-vt,"Spring Boot, virtual threads",server_p95_ms,5,665.7273,7.5291,662.3683,669.8974,636.7057,726.9210
load,boot-vt,"Spring Boot, virtual threads",server_p99_ms,5,1073.4253,301.6980,919.7285,1221.4265,837.5789,1274.2003
load,boot-vt,"Spring Boot, virtual threads",server_mean_ms,5,96.6203,5.3229,96.0446,101.3676,91.2729,102.1042
load,boot-vt,"Spring Boot, virtual threads",throughput_rps,5,47.0945,1.2813,46.4276,47.7089,46.2608,47.8604
load,boot-vt,"Spring Boot, virtual threads",requests_total,5,10064.0000,200.0000,9924.0000,10124.0000,9828.0000,10148.0000
load,boot-vt,"Spring Boot, virtual threads",error_rate,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load,boot-vt,"Spring Boot, virtual threads",rss_peak_bytes,5,1102577664.0000,24851251.2000,1090519040.0000,1115370291.2000,1056335462.4000,1141794406.4000
load,boot-vt,"Spring Boot, virtual threads",rss_steady_bytes,5,1063308492.8000,32453427.2000,1058222899.2000,1090676326.4000,1026818048.0000,1108973977.6000
load,boot-vt,"Spring Boot, virtual threads",cpu_mean_percent_of_one_core,5,87.7598,2.8175,86.0032,88.8208,85.8994,92.0683
load,boot-vt,"Spring Boot, virtual threads",jvm_heap_used_steady_bytes,5,64637504.0000,5740008.0000,63315040.0000,69055048.0000,62996636.0000,69797896.0000
load,boot-vt,"Spring Boot, virtual threads",jvm_heap_used_peak_bytes,5,102211192.0000,2369600.0000,100347392.0000,102716992.0000,95124200.0000,135744616.0000
load,boot-vt,"Spring Boot, virtual threads",jvm_heap_committed_steady_bytes,5,105906176.0000,7340032.0000,100663296.0000,108003328.0000,98566144.0000,110100480.0000
load,boot-vt,"Spring Boot, virtual threads",jvm_heap_committed_peak_bytes,5,120586240.0000,8388608.0000,114294784.0000,122683392.0000,103809024.0000,159383552.0000
load,boot-vt,"Spring Boot, virtual threads",gc_pause_count,5,112.0000,47.0000,77.0000,124.0000,32.0000,136.0000
load,boot-vt,"Spring Boot, virtual threads",gc_pause_total_seconds,5,0.3460,0.1530,0.1960,0.3490,0.1590,0.4260
load,boot-vt,"Spring Boot, virtual threads",db_pool_pending_median,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
load,boot-vt,"Spring Boot, virtual threads",db_pool_pending_peak,5,7.0000,6.0000,3.0000,9.0000,0.0000,21.0000
load,boot-vt,"Spring Boot, virtual threads",db_pool_active_peak,5,20.0000,0.0000,20.0000,20.0000,20.0000,20.0000
load,boot-vt,"Spring Boot, virtual threads",db_wait_mean_ms,5,51.9384,28.1683,24.5625,52.7308,23.4286,59.5029
load,boot-vt,"Spring Boot, virtual threads",probe_p50_ms,5,3.0440,0.0725,3.0095,3.0820,2.9620,3.2490
load,boot-vt,"Spring Boot, virtual threads",probe_p95_ms,5,201.0930,65.1153,192.3060,257.4213,109.4738,279.9370
load,boot-vt,"Spring Boot, virtual threads",probe_p99_ms,5,989.7365,231.7484,789.2227,1020.9712,754.4639,1110.0210
load,boot-vt,"Spring Boot, virtual threads",k6_cpu_mean_percent_of_one_core,5,2.5554,0.0331,2.5521,2.5853,2.4868,2.5896
load,boot-vt,"Spring Boot, virtual threads",k6_cpu_peak_percent_of_one_core,5,4.1395,0.0053,4.1373,4.1426,3.8957,4.1475
load,boot-vt,"Spring Boot, virtual threads",k6_rss_peak_bytes,5,81575936.0000,2834432.0000,80855040.0000,83689472.0000,80773120.0000,83722240.0000
load,boot-vt,"Spring Boot, virtual threads",server_throughput_peak_rps,5,118.0000,4.2000,114.0000,118.2000,109.8000,122.0000
load,boot-vt,"Spring Boot, virtual threads",ep_get_users_p95_ms,5,746.2454,481.9430,664.5180,1146.4610,625.8228,1211.1788
load,boot-vt,"Spring Boot, virtual threads",ep_get_products_p95_ms,5,7.7000,1.8850,6.4965,8.3815,4.9604,11.0292
load,boot-vt,"Spring Boot, virtual threads",ep_post_users_p95_ms,5,1216.5150,503.9920,1018.3250,1522.3170,904.0182,1553.9960
load,boot-vt,"Spring Boot, virtual threads",ep_post_orders_p95_ms,5,19.2480,1.0228,18.3992,19.4220,17.4042,23.7722
stress,vapor,Vapor,client_p50_ms,5,8495.0590,192.0630,8418.2480,8610.3110,8128.4270,8997.9800
stress,vapor,Vapor,client_p95_ms,5,23206.3438,396.6524,23106.4455,23503.0978,21607.8522,24198.0180
stress,vapor,Vapor,client_p99_ms,5,25906.0463,678.1924,25693.3558,26371.5482,25595.6202,26394.9504
stress,vapor,Vapor,client_max_ms,5,30196.5660,698.0570,30000.0460,30698.1030,29194.4530,31093.8240
stress,vapor,Vapor,server_p50_ms,5,7545.6104,168.7312,7412.6339,7581.3652,7155.4382,7847.9179
stress,vapor,Vapor,server_p95_ms,5,22240.8221,554.1802,21972.2844,22526.4646,21846.0273,23130.9140
stress,vapor,Vapor,server_p99_ms,5,27092.2891,587.2411,26741.2660,27328.5071,26287.1087,27619.3483
stress,vapor,Vapor,server_mean_ms,5,8511.8168,72.3157,8508.4457,8580.7614,8501.0008,8625.6841
stress,vapor,Vapor,throughput_rps,5,35.8929,0.1255,35.8080,35.9335,35.6690,36.2553
stress,vapor,Vapor,requests_total,5,7311.0000,72.0000,7250.0000,7322.0000,7229.0000,7332.0000
stress,vapor,Vapor,error_rate,5,0.0948,0.0057,0.0914,0.0971,0.0841,0.1273
stress,vapor,Vapor,rss_peak_bytes,5,77806436.3520,1887436.8000,76145491.9680,78032928.7680,71303168.0000,79921414.1440
stress,vapor,Vapor,rss_steady_bytes,5,54089744.3840,786432.0000,53401878.5280,54188310.5280,53086257.1520,54597255.1680
stress,vapor,Vapor,cpu_mean_percent_of_one_core,5,145.6860,1.2483,144.8492,146.0976,143.2706,146.1712
stress,vapor,Vapor,probe_p50_ms,5,3.0610,0.0485,3.0370,3.0855,3.0050,3.2020
stress,vapor,Vapor,probe_p95_ms,5,2185.1666,199.6226,1991.4188,2191.0414,1893.4868,2387.8942
stress,vapor,Vapor,probe_p99_ms,5,3693.5603,311.3651,3684.2469,3995.6121,3596.5678,4434.4344
stress,vapor,Vapor,k6_cpu_mean_percent_of_one_core,5,2.4704,0.0542,2.4242,2.4783,2.3904,2.5757
stress,vapor,Vapor,k6_cpu_peak_percent_of_one_core,5,6.7587,0.2232,6.7301,6.9533,6.4521,8.0838
stress,vapor,Vapor,k6_rss_peak_bytes,5,259915776.0000,9060352.0000,256376832.0000,265437184.0000,246824960.0000,269844480.0000
stress,vapor,Vapor,server_throughput_peak_rps,5,605.7000,647.2000,66.0000,713.2000,55.1250,808.3000
stress,vapor,Vapor,ep_get_users_p95_ms,5,14245.9971,260.4643,14033.3940,14293.8583,13897.9013,14801.7911
stress,vapor,Vapor,ep_post_users_p95_ms,5,24732.8504,303.9094,24495.3462,24799.2556,23701.0088,25403.4886
stress,boot-t200,"Spring Boot, Tomcat 200",client_p50_ms,5,10747.1420,258.0230,10606.6600,10864.6830,9692.6560,11128.8800
stress,boot-t200,"Spring Boot, Tomcat 200",client_p95_ms,5,33312.7670,247.4857,33110.8600,33358.3457,33078.7728,34432.1998
stress,boot-t200,"Spring Boot, Tomcat 200",client_p99_ms,5,42594.4796,362.8380,42337.9588,42700.7968,41351.9191,42875.1708
stress,boot-t200,"Spring Boot, Tomcat 200",client_max_ms,5,50400.6520,1594.0670,50301.4430,51895.5100,50300.5090,53003.5180
stress,boot-t200,"Spring Boot, Tomcat 200",server_p50_ms,5,1841.4307,72.6738,1816.9905,1889.6643,1809.0529,1892.6725
stress,boot-t200,"Spring Boot, Tomcat 200",server_p95_ms,5,22061.3739,242.5651,21944.6533,22187.2184,21810.5566,22273.7732
stress,boot-t200,"Spring Boot, Tomcat 200",server_p99_ms,5,30000.0000,0.0000,30000.0000,30000.0000,30000.0000,30000.0000
stress,boot-t200,"Spring Boot, Tomcat 200",server_mean_ms,5,5917.9306,62.2818,5888.1795,5950.4612,5806.2353,5974.9428
stress,boot-t200,"Spring Boot, Tomcat 200",throughput_rps,5,24.7129,0.1976,24.5877,24.7853,24.4700,25.0175
