scenario,config,n,client_p95_ms_median,server_p95_ms_median,difference_ms,ratio_client_over_server,client_requests_median,server_requests_median,server_minus_client,probe_samples_median
load,vapor,5,1199.23,954.57,244.66,1.26,9836,12305,2469,1191
load,boot-t200,5,2587.77,2262.04,325.73,1.14,8048,10070,2022,939
load,boot-t64,5,2588.53,2258.09,330.44,1.15,8080,10110,2030,954
load,boot-vt,5,836.27,665.73,170.54,1.26,10064,12590,2526,1029
stress,vapor,5,23206.34,22240.82,965.52,1.04,7311,7334,23,429
stress,boot-t200,5,33312.77,22061.37,11251.39,1.51,5199,5468,269,192
stress,boot-vt,5,21990.30,22280.33,-290.03,0.99,9725,9802,77,195
spike,vapor,5,14.73,8.38,6.35,1.76,64872,64882,10,888
spike,boot-t200,5,15.31,4.34,10.97,3.53,65096,65106,10,876
spike,boot-t64,5,14.84,3.81,11.02,3.89,64992,65002,10,873
spike,boot-vt,5,13.80,6.60,7.20,2.09,65350,65360,10,876
soak,vapor,5,98.39,98.61,-0.22,1.00,6180,6190,10,1410
soak,boot-t200,5,122.59,122.77,-0.18,1.00,6173,6183,10,1392
soak,boot-t64,5,115.47,115.69,-0.22,1.00,6180,6190,10,1392
soak,boot-vt,5,264.68,268.26,-3.58,0.99,6043,6053,10,1335
