scenario,config,metric,n,median,iqr,note
load,vapor,cpu_mean_percent_of_one_core,5,82.1030,1.2548,"Mean CPU, percent of one core, summed over the three containers; the quota is 450"
load,vapor,probe_p50_ms,5,2.0150,0.1285,"Control-plane probe median, identical instrumentation on both stacks"
load,vapor,probe_p95_ms,5,86.8104,0.6046,"Control-plane probe 95th percentile, identical instrumentation on both stacks"
load,vapor,probe_p99_ms,5,198.5708,20.7311,"Control-plane probe 99th percentile, identical instrumentation on both stacks"
load,boot-t200,cpu_mean_percent_of_one_core,5,104.6532,2.8213,"Mean CPU, percent of one core, summed over the three containers; the quota is 450"
load,boot-t200,gc_pause_count,5,73.0000,32.0000,Garbage-collection pauses during the window (JVM only)
load,boot-t200,gc_pause_total_seconds,5,0.4550,0.1620,Total garbage-collection pause time in seconds (JVM only)
load,boot-t200,tomcat_busy_threads_median,5,1.0000,0.0000,"Busy Tomcat threads, steady state (JVM only)"
load,boot-t200,tomcat_busy_threads_peak,5,64.0000,8.0000,"Busy Tomcat threads, peak (JVM only)"
load,boot-t200,db_pool_pending_median,5,0.0000,0.0000,"Threads waiting for a database connection, steady state (JVM only)"
load,boot-t200,db_pool_pending_peak,5,43.0000,8.0000,"Threads waiting for a database connection, peak (JVM only)"
load,boot-t200,db_wait_mean_ms,5,326.5859,13.6213,"Mean time to acquire a database connection, milliseconds (JVM only)"
load,boot-t200,probe_p50_ms,5,3.3890,0.2940,"Control-plane probe median, identical instrumentation on both stacks"
load,boot-t200,probe_p95_ms,5,194.3656,10.0360,"Control-plane probe 95th percentile, identical instrumentation on both stacks"
load,boot-t200,probe_p99_ms,5,1578.7971,200.8538,"Control-plane probe 99th percentile, identical instrumentation on both stacks"
load,boot-t64,cpu_mean_percent_of_one_core,5,104.5445,1.4290,"Mean CPU, percent of one core, summed over the three containers; the quota is 450"
load,boot-t64,gc_pause_count,5,91.0000,11.0000,Garbage-collection pauses during the window (JVM only)
load,boot-t64,gc_pause_total_seconds,5,0.6210,0.0650,Total garbage-collection pause time in seconds (JVM only)
load,boot-t64,tomcat_busy_threads_median,5,1.0000,0.0000,"Busy Tomcat threads, steady state (JVM only)"
load,boot-t64,tomcat_busy_threads_peak,5,58.0000,6.0000,"Busy Tomcat threads, peak (JVM only)"
load,boot-t64,db_pool_pending_median,5,0.0000,0.0000,"Threads waiting for a database connection, steady state (JVM only)"
load,boot-t64,db_pool_pending_peak,5,37.0000,2.0000,"Threads waiting for a database connection, peak (JVM only)"
load,boot-t64,db_wait_mean_ms,5,327.9373,9.4758,"Mean time to acquire a database connection, milliseconds (JVM only)"
load,boot-t64,probe_p50_ms,5,3.3570,0.1230,"Control-plane probe median, identical instrumentation on both stacks"
load,boot-t64,probe_p95_ms,5,187.5802,14.7047,"Control-plane probe 95th percentile, identical instrumentation on both stacks"
load,boot-t64,probe_p99_ms,5,1457.1099,32.4706,"Control-plane probe 99th percentile, identical instrumentation on both stacks"
load,boot-vt,cpu_mean_percent_of_one_core,5,87.7598,2.8175,"Mean CPU, percent of one core, summed over the three containers; the quota is 450"
load,boot-vt,gc_pause_count,5,112.0000,47.0000,Garbage-collection pauses during the window (JVM only)
load,boot-vt,gc_pause_total_seconds,5,0.3460,0.1530,Total garbage-collection pause time in seconds (JVM only)
load,boot-vt,db_pool_pending_median,5,0.0000,0.0000,"Threads waiting for a database connection, steady state (JVM only)"
load,boot-vt,db_pool_pending_peak,5,7.0000,6.0000,"Threads waiting for a database connection, peak (JVM only)"
load,boot-vt,db_wait_mean_ms,5,51.9384,28.1683,"Mean time to acquire a database connection, milliseconds (JVM only)"
load,boot-vt,probe_p50_ms,5,3.0440,0.0725,"Control-plane probe median, identical instrumentation on both stacks"
load,boot-vt,probe_p95_ms,5,201.0930,65.1153,"Control-plane probe 95th percentile, identical instrumentation on both stacks"
load,boot-vt,probe_p99_ms,5,989.7365,231.7484,"Control-plane probe 99th percentile, identical instrumentation on both stacks"
stress,vapor,cpu_mean_percent_of_one_core,5,145.6860,1.2483,"Mean CPU, percent of one core, summed over the three containers; the quota is 450"
stress,vapor,probe_p50_ms,5,3.0610,0.0485,"Control-plane probe median, identical instrumentation on both stacks"
stress,vapor,probe_p95_ms,5,2185.1666,199.6226,"Control-plane probe 95th percentile, identical instrumentation on both stacks"
stress,vapor,probe_p99_ms,5,3693.5603,311.3651,"Control-plane probe 99th percentile, identical instrumentation on both stacks"
stress,boot-t200,cpu_mean_percent_of_one_core,5,149.5435,0.5540,"Mean CPU, percent of one core, summed over the three containers; the quota is 450"
stress,boot-t200,gc_pause_count,5,59.0000,11.0000,Garbage-collection pauses during the window (JVM only)
stress,boot-t200,gc_pause_total_seconds,5,0.6700,0.0750,Total garbage-collection pause time in seconds (JVM only)
stress,boot-t200,tomcat_busy_threads_median,5,1.0000,0.0000,"Busy Tomcat threads, steady state (JVM only)"
stress,boot-t200,tomcat_busy_threads_peak,5,200.0000,0.0000,"Busy Tomcat threads, peak (JVM only)"
stress,boot-t200,db_pool_pending_median,5,0.0000,0.0000,"Threads waiting for a database connection, steady state (JVM only)"
stress,boot-t200,db_pool_pending_peak,5,179.0000,1.0000,"Threads waiting for a database connection, peak (JVM only)"
stress,boot-t200,db_wait_mean_ms,5,3045.9452,167.0672,"Mean time to acquire a database connection, milliseconds (JVM only)"
stress,boot-t200,probe_p50_ms,5,5.4595,0.5240,"Control-plane probe median, identical instrumentation on both stacks"
stress,boot-t200,probe_p95_ms,5,1474.7401,603.2328,"Control-plane probe 95th percentile, identical instrumentation on both stacks"
stress,boot-t200,probe_p99_ms,5,6582.5524,664.4901,"Control-plane probe 99th percentile, identical instrumentation on both stacks"
stress,boot-t64,cpu_mean_percent_of_one_core,5,149.0127,0.4731,"Mean CPU, percent of one core, summed over the three containers; the quota is 450"
stress,boot-t64,gc_pause_count,5,49.0000,24.0000,Garbage-collection pauses during the window (JVM only)
stress,boot-t64,gc_pause_total_seconds,5,0.2960,0.3130,Total garbage-collection pause time in seconds (JVM only)
stress,boot-t64,tomcat_busy_threads_median,5,1.0000,0.0000,"Busy Tomcat threads, steady state (JVM only)"
stress,boot-t64,tomcat_busy_threads_peak,5,64.0000,0.0000,"Busy Tomcat threads, peak (JVM only)"
stress,boot-t64,db_pool_pending_median,5,0.0000,0.0000,"Threads waiting for a database connection, steady state (JVM only)"
stress,boot-t64,db_pool_pending_peak,5,43.0000,0.0000,"Threads waiting for a database connection, peak (JVM only)"
stress,boot-t64,db_wait_mean_ms,5,1035.6248,55.7864,"Mean time to acquire a database connection, milliseconds (JVM only)"
stress,boot-t64,probe_p50_ms,5,5.7485,0.4455,"Control-plane probe median, identical instrumentation on both stacks"
stress,boot-t64,probe_p95_ms,5,2139.0560,259.7624,"Control-plane probe 95th percentile, identical instrumentation on both stacks"
stress,boot-t64,probe_p99_ms,5,6999.0333,1418.2308,"Control-plane probe 99th percentile, identical instrumentation on both stacks"
stress,boot-vt,cpu_mean_percent_of_one_core,5,145.1600,0.3706,"Mean CPU, percent of one core, summed over the three containers; the quota is 450"
stress,boot-vt,gc_pause_count,5,147.0000,102.0000,Garbage-collection pauses during the window (JVM only)
stress,boot-vt,gc_pause_total_seconds,5,1.1060,0.5180,Total garbage-collection pause time in seconds (JVM only)
stress,boot-vt,db_pool_pending_median,5,0.0000,0.0000,"Threads waiting for a database connection, steady state (JVM only)"
stress,boot-vt,db_pool_pending_peak,5,769.0000,4.0000,"Threads waiting for a database connection, peak (JVM only)"
stress,boot-vt,db_wait_mean_ms,5,6609.7057,89.0444,"Mean time to acquire a database connection, milliseconds (JVM only)"
stress,boot-vt,probe_p50_ms,5,4.3360,0.2105,"Control-plane probe median, identical instrumentation on both stacks"
stress,boot-vt,probe_p95_ms,5,4113.0425,712.4778,"Control-plane probe 95th percentile, identical instrumentation on both stacks"
stress,boot-vt,probe_p99_ms,5,7541.7978,711.3374,"Control-plane probe 99th percentile, identical instrumentation on both stacks"
spike,vapor,cpu_mean_percent_of_one_core,5,71.5341,0.3884,"Mean CPU, percent of one core, summed over the three containers; the quota is 450"
spike,vapor,probe_p50_ms,5,3.0040,0.0430,"Control-plane probe median, identical instrumentation on both stacks"
spike,vapor,probe_p95_ms,5,6.7503,0.6010,"Control-plane probe 95th percentile, identical instrumentation on both stacks"
spike,vapor,probe_p99_ms,5,12.3096,1.2972,"Control-plane probe 99th percentile, identical instrumentation on both stacks"
spike,boot-t200,cpu_mean_percent_of_one_core,5,48.5508,1.3665,"Mean CPU, percent of one core, summed over the three containers; the quota is 450"
spike,boot-t200,gc_pause_count,5,129.0000,29.0000,Garbage-collection pauses during the window (JVM only)
spike,boot-t200,gc_pause_total_seconds,5,0.7450,0.0400,Total garbage-collection pause time in seconds (JVM only)
spike,boot-t200,tomcat_busy_threads_median,5,1.0000,0.0000,"Busy Tomcat threads, steady state (JVM only)"
spike,boot-t200,tomcat_busy_threads_peak,5,4.0000,2.0000,"Busy Tomcat threads, peak (JVM only)"
spike,boot-t200,db_pool_pending_median,5,0.0000,0.0000,"Threads waiting for a database connection, steady state (JVM only)"
spike,boot-t200,db_pool_pending_peak,5,0.0000,0.0000,"Threads waiting for a database connection, peak (JVM only)"
spike,boot-t200,db_wait_mean_ms,5,4.8119,16.5699,"Mean time to acquire a database connection, milliseconds (JVM only)"
