scenario,config,endpoint,n,p95_ms_median,p95_ms_iqr,median_ms_median,requests_median
load,vapor,GET /users,5,486.71,16.91,4.52,2459
load,vapor,GET /products,5,9.86,2.07,1.53,2459
load,vapor,POST /users,5,2193.57,113.05,80.04,2459
load,vapor,POST /orders,5,14.97,1.98,3.65,2459
load,boot-t200,GET /users,5,1698.74,193.88,86.14,2012
load,boot-t200,GET /products,5,11.51,0.39,1.66,2012
load,boot-t200,POST /users,5,3603.64,91.37,1135.16,2012
load,boot-t200,POST /orders,5,18.18,1.08,5.62,2012
load,boot-t64,GET /users,5,1701.05,94.79,83.95,2020
load,boot-t64,GET /products,5,11.26,0.44,1.62,2020
load,boot-t64,POST /users,5,3687.64,104.69,1179.77,2020
load,boot-t64,POST /orders,5,17.60,1.65,5.40,2020
load,boot-vt,GET /users,5,746.25,481.94,10.85,2516
load,boot-vt,GET /products,5,7.70,1.88,1.51,2516
load,boot-vt,POST /users,5,1216.51,503.99,322.92,2516
load,boot-vt,POST /orders,5,19.25,1.02,6.18,2516
stress,vapor,GET /users,5,14246.00,260.46,5702.75,3662
stress,vapor,POST /users,5,24732.85,303.91,11986.38,3640
stress,boot-t200,GET /users,5,31088.30,699.46,8190.90,2800
stress,boot-t200,POST /users,5,36701.47,1130.32,12888.02,2395
stress,boot-t64,GET /users,5,26587.05,589.21,10706.23,2838
stress,boot-t64,POST /users,5,29627.19,705.15,12501.19,2423
stress,boot-vt,GET /users,5,20318.84,394.45,3565.29,4896
stress,boot-vt,POST /users,5,23253.95,1841.30,5813.55,4829
spike,vapor,GET /users,5,18.82,2.65,5.11,32436
spike,vapor,GET /products,5,11.45,1.01,3.56,32436
spike,boot-t200,GET /users,5,18.09,1.96,4.67,32548
spike,boot-t200,GET /products,5,11.85,0.88,2.37,32548
spike,boot-t64,GET /users,5,17.20,1.35,4.39,32496
spike,boot-t64,GET /products,5,11.35,0.74,2.51,32496
spike,boot-vt,GET /users,5,16.74,0.19,3.90,32675
spike,boot-vt,GET /products,5,8.88,0.89,1.76,32675
soak,vapor,GET /products,5,5.28,0.22,2.61,4928
soak,vapor,POST /users,5,220.93,42.73,80.37,1250
soak,boot-t200,GET /products,5,4.54,0.20,1.58,4925
soak,boot-t200,POST /users,5,196.59,101.22,93.50,1248
soak,boot-t64,GET /products,5,4.61,0.20,1.23,4932
soak,boot-t64,POST /users,5,181.19,8.73,93.30,1248
soak,boot-vt,GET /products,5,6.18,1.91,2.78,4820
soak,boot-vt,POST /users,5,395.53,359.22,226.59,1223
