scenario,config,quantity,definition,n,median_mb,iqr_mb,ci95_low_mb,ci95_high_mb
load,vapor,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,39.9,11.6,37.7,49.7
load,vapor,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,48.5,10.2,47.1,60.0
load,boot-t200,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,1033.3,53.0,1012.1,1081.8
load,boot-t200,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,1057.0,70.4,1048.8,1180.5
load,boot-t200,jvm_heap_used_steady_bytes,"JVM used heap, steady state, summed over the three services (JVM only)",5,63.0,1.6,62.9,65.8
load,boot-t200,jvm_heap_used_peak_bytes,"JVM used heap, peak, summed over the three services (JVM only)",5,113.1,3.5,102.5,164.5
load,boot-t200,jvm_heap_committed_steady_bytes,"JVM committed heap, steady state, summed over the three services (JVM only)",5,101.0,19.0,92.0,126.0
load,boot-t200,jvm_heap_committed_peak_bytes,"JVM committed heap, peak, summed over the three services (JVM only)",5,126.0,12.0,116.0,238.0
load,boot-t64,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,1026.2,47.8,997.5,1048.3
load,boot-t64,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,1057.5,46.1,1032.8,1095.2
load,boot-t64,jvm_heap_used_steady_bytes,"JVM used heap, steady state, summed over the three services (JVM only)",5,63.6,5.4,59.9,67.0
load,boot-t64,jvm_heap_used_peak_bytes,"JVM used heap, peak, summed over the three services (JVM only)",5,100.0,11.1,84.6,121.7
load,boot-t64,jvm_heap_committed_steady_bytes,"JVM committed heap, steady state, summed over the three services (JVM only)",5,96.0,9.0,86.0,114.0
load,boot-t64,jvm_heap_committed_peak_bytes,"JVM committed heap, peak, summed over the three services (JVM only)",5,108.0,20.0,94.0,152.0
load,boot-vt,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,1014.0,31.0,979.2,1057.6
load,boot-vt,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,1051.5,23.7,1007.4,1088.9
load,boot-vt,jvm_heap_used_steady_bytes,"JVM used heap, steady state, summed over the three services (JVM only)",5,61.6,5.5,60.1,66.6
load,boot-vt,jvm_heap_used_peak_bytes,"JVM used heap, peak, summed over the three services (JVM only)",5,97.5,2.3,90.7,129.5
load,boot-vt,jvm_heap_committed_steady_bytes,"JVM committed heap, steady state, summed over the three services (JVM only)",5,101.0,7.0,94.0,105.0
load,boot-vt,jvm_heap_committed_peak_bytes,"JVM committed heap, peak, summed over the three services (JVM only)",5,115.0,8.0,99.0,152.0
stress,vapor,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,51.6,0.8,50.6,52.1
stress,vapor,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,74.2,1.8,68.0,76.2
stress,boot-t200,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,1041.6,25.0,1004.0,1074.2
stress,boot-t200,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,1080.6,36.2,1055.7,1124.2
stress,boot-t200,jvm_heap_used_steady_bytes,"JVM used heap, steady state, summed over the three services (JVM only)",5,59.8,7.3,58.2,68.4
stress,boot-t200,jvm_heap_used_peak_bytes,"JVM used heap, peak, summed over the three services (JVM only)",5,116.3,9.1,97.4,121.5
stress,boot-t200,jvm_heap_committed_steady_bytes,"JVM committed heap, steady state, summed over the three services (JVM only)",5,93.0,9.5,85.0,111.0
stress,boot-t200,jvm_heap_committed_peak_bytes,"JVM committed heap, peak, summed over the three services (JVM only)",5,132.0,1.0,129.0,135.0
stress,boot-t64,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,1018.4,83.2,972.9,1081.6
stress,boot-t64,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,1040.5,59.3,1017.0,1105.9
stress,boot-t64,jvm_heap_used_steady_bytes,"JVM used heap, steady state, summed over the three services (JVM only)",5,62.0,1.1,55.3,70.7
stress,boot-t64,jvm_heap_used_peak_bytes,"JVM used heap, peak, summed over the three services (JVM only)",5,87.9,17.5,84.8,131.1
stress,boot-t64,jvm_heap_committed_steady_bytes,"JVM committed heap, steady state, summed over the three services (JVM only)",5,97.0,9.0,89.0,106.5
stress,boot-t64,jvm_heap_committed_peak_bytes,"JVM committed heap, peak, summed over the three services (JVM only)",5,102.0,34.0,93.0,152.0
stress,boot-vt,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,1080.1,43.9,1044.4,1156.9
stress,boot-vt,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,1285.0,141.9,1239.4,1445.6
stress,boot-vt,jvm_heap_used_steady_bytes,"JVM used heap, steady state, summed over the three services (JVM only)",5,69.4,4.0,62.7,70.6
stress,boot-vt,jvm_heap_used_peak_bytes,"JVM used heap, peak, summed over the three services (JVM only)",5,344.5,32.4,283.5,435.0
stress,boot-vt,jvm_heap_committed_steady_bytes,"JVM committed heap, steady state, summed over the three services (JVM only)",5,107.0,11.0,90.0,128.0
stress,boot-vt,jvm_heap_committed_peak_bytes,"JVM committed heap, peak, summed over the three services (JVM only)",5,395.0,107.0,345.0,525.0
spike,vapor,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,45.6,0.4,45.2,46.1
spike,vapor,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,47.8,0.5,47.5,48.4
spike,boot-t200,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,1054.2,49.2,998.6,1060.7
spike,boot-t200,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,1067.3,54.3,1011.5,1098.9
spike,boot-t200,jvm_heap_used_steady_bytes,"JVM used heap, steady state, summed over the three services (JVM only)",5,69.2,10.9,61.6,75.0
spike,boot-t200,jvm_heap_used_peak_bytes,"JVM used heap, peak, summed over the three services (JVM only)",5,115.4,18.0,93.3,124.1
spike,boot-t200,jvm_heap_committed_steady_bytes,"JVM committed heap, steady state, summed over the three services (JVM only)",5,99.0,10.0,91.0,123.0
spike,boot-t200,jvm_heap_committed_peak_bytes,"JVM committed heap, peak, summed over the three services (JVM only)",5,126.0,19.0,104.0,143.0
spike,boot-t64,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,1034.4,24.5,998.3,1122.6
spike,boot-t64,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,1040.9,44.4,1011.8,1137.7
spike,boot-t64,jvm_heap_used_steady_bytes,"JVM used heap, steady state, summed over the three services (JVM only)",5,68.0,5.5,60.5,74.8
spike,boot-t64,jvm_heap_used_peak_bytes,"JVM used heap, peak, summed over the three services (JVM only)",5,115.1,12.8,100.3,126.3
spike,boot-t64,jvm_heap_committed_steady_bytes,"JVM committed heap, steady state, summed over the three services (JVM only)",5,99.0,20.0,88.0,137.0
spike,boot-t64,jvm_heap_committed_peak_bytes,"JVM committed heap, peak, summed over the three services (JVM only)",5,130.0,13.0,113.0,168.0
spike,boot-vt,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,1044.3,4.7,1032.7,1061.6
spike,boot-vt,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,1058.2,6.2,1048.7,1068.0
spike,boot-vt,jvm_heap_used_steady_bytes,"JVM used heap, steady state, summed over the three services (JVM only)",5,73.7,6.6,65.5,73.9
spike,boot-vt,jvm_heap_used_peak_bytes,"JVM used heap, peak, summed over the three services (JVM only)",5,123.0,11.5,105.6,133.7
