run_id,config,scenario,repetition,target,k6_returncode,server_metrics_incomplete,k6_wall_seconds,window_seconds,finished_iso,iterations,vus_max,error_count,server_request_count,probe_samples,probe_failures,cpu_quota_percent,tomcat_threads_max_config,db_pool_active_peak,swift_rss_internal_bytes,server_throughput_p90_rps,client_p50_ms,client_p95_ms,client_p99_ms,client_max_ms,server_p50_ms,server_p95_ms,server_p99_ms,server_mean_ms,throughput_rps,requests_total,error_rate,rss_peak_bytes,rss_steady_bytes,cpu_mean_percent_of_one_core,jvm_heap_used_steady_bytes,jvm_heap_used_peak_bytes,jvm_heap_committed_steady_bytes,jvm_heap_committed_peak_bytes,gc_pause_count,gc_pause_total_seconds,tomcat_busy_threads_median,tomcat_busy_threads_peak,db_pool_pending_median,db_pool_pending_peak,db_wait_mean_ms,probe_p50_ms,probe_p95_ms,probe_p99_ms,k6_cpu_mean_percent_of_one_core,k6_cpu_peak_percent_of_one_core,k6_rss_peak_bytes,server_throughput_peak_rps,ep_get_users_p95_ms,ep_get_products_p95_ms,ep_post_users_p95_ms,ep_post_orders_p95_ms
boot-t200_load_rep1,boot-t200,load,1,java,0,0,213.78682279586792,215.63129496574402,2026-09-23T00:02:41,2009.0,100.0,0.0,10055.0,933,0,450.0,200.0,20.0,,72.69999999999999,9.2405,2587.76775,3897.1140499999997,7400.819,3.149973699652778,2262.035773721154,3644.1749929622015,318.20931741939336,37.67701651403419,8036.0,0.0,1237843968.0,1134349516.8000002,107.43211538461537,69009480.0,172497336.0,132120576.0,249561088.0,56.0,0.448,1.0,64.0,0.0,43.0,336.7157907598328,3.389,204.34719999999984,1880.0251999999991,2.3754620209741404,3.9055032620902983,80838656.0,79.8,1698.7445999999995,11.506199999999994,3688.4085999999998,18.177999999999997
boot-t200_load_rep2,boot-t200,load,2,java,0,0,213.97468519210815,217.50966095924377,2026-09-23T00:51:55,1982.0,100.0,0.0,9920.0,927,0,450.0,200.0,20.0,,73.2,9.297,2689.0705,4084.47441,10089.418,3.0864203140794224,2324.2312721851854,3793.887775599994,327.7964157112903,37.124681608910834,7928.0,0.0,1108344832.0,1083493580.8,102.38320754716983,66035320.0,116366968.0,105906176.0,132120576.0,98.0,0.61,1.0,58.0,0.0,37.0,357.0260623177123,3.586,194.36559999999994,1578.7971,2.3078970768583775,3.6235925255386956,80478208.0,80.2,1788.8619999999999,12.830399999999996,3803.7833999999993,18.59595
boot-t200_load_rep3,boot-t200,load,3,java,0,0,214.9571487903595,218.39248204231262,2026-09-23T02:43:59,2014.0,100.0,0.0,10080.0,957,0,450.0,200.0,20.0,,75.38000000000001,8.575,2496.545,3694.91685,8478.433,3.06533525,2172.7211684807694,3512.6696791000063,302.7030219167659,37.560498407112696,8056.0,0.0,1180591718.4,1132357222.4,103.93830188679244,67759896.0,120009096.0,125829120.0,141557760.0,66.0,0.427,1.0,68.0,0.0,48.0,312.4418316391347,3.674,184.37839999999997,1684.4294399999885,2.3757063375035545,3.894745492558134,81559552.0,85.2,1593.4452,11.896199999999999,3589.9969,18.4671
boot-t200_load_rep4,boot-t200,load,4,java,0,0,212.602135181427,214.44841384887695,2026-09-23T03:31:36,2027.0,100.0,0.0,10145.0,942,0,450.0,200.0,20.0,,79.2,7.7645,2590.9784999999997,3799.3365999999996,9202.476,2.8550619809027777,2249.8246645046875,3617.011700105808,306.322905388763,38.225801023004095,8108.0,0.0,1106771968.0,1076835123.2,106.75961538461539,65985540.0,118627824.0,105906176.0,128974848.0,73.0,0.455,1.0,52.0,0.0,29.0,323.0944558060429,3.281,193.6597999999999,1289.4621000000006,2.4090233517331305,3.897943139483618,81854464.0,86.6,1588.0038,10.620299999999997,3597.0344,16.792199999999987
boot-t200_load_rep5,boot-t200,load,5,java,0,0,213.250981092453,217.01436305046082,2026-09-23T04:19:38,2012.0,100.0,0.0,10070.0,939,0,450.0,200.0,20.0,,73.98,8.4875,2584.5657499999998,3793.609,7894.752,3.009326,2269.6288808333334,3596.654348538292,315.27984957924525,37.823560871315735,8048.0,0.0,1099746508.8000002,1061263769.6,104.65320754716981,66039952.0,107453624.0,96468992.0,121634816.0,121.0,0.655,1.0,66.0,0.0,45.0,326.58585976614484,3.292,203.69579999999198,1483.5756800000001,2.3656892319957255,3.8886268227196568,78675968.0,84.4,1787.32935,11.5122,3603.6401,17.38505
boot-t64_load_rep1,boot-t64,load,1,java,0,0,213.0149199962616,214.8705871105194,2026-09-23T00:19:09,2008.0,100.0,0.0,10050.0,933,0,450.0,64.0,20.0,,73.8,9.119,2595.04,3993.2895399999998,10598.521,3.140307007751938,2258.0889968229167,3703.032698269231,318.0451984711443,37.792514568574425,8032.0,0.0,1138753536.0,1099222220.8000002,108.34596153846155,70292588.0,114608904.0,119537664.0,132120576.0,80.0,0.758,1.0,57.0,0.0,37.0,337.11541959197655,3.586,190.32479999999995,1457.1099199999944,2.423075740831251,3.8478595596359453,77758464.0,85.6,1686.7673,11.3599,3684.2089499999997,18.481449999999995
boot-t64_load_rep2,boot-t64,load,2,java,0,0,214.77317667007446,217.34958577156067,2026-09-23T01:08:21,2010.0,100.0,0.0,10060.0,936,0,450.0,64.0,20.0,,72.66,8.812999999999999,2584.3775,3696.8805899999998,7501.769,3.134369592057762,2233.564215088608,3492.643541924997,312.80438833200805,37.52310401122542,8040.0,0.0,1082969292.8,1045954559.9999999,104.54452830188679,62828736.0,88695976.0,90177536.0,98566144.0,116.0,0.57,1.0,58.0,0.0,33.0,326.3992701001245,3.3434999999999997,187.58024999999998,1440.7431999999983,2.4135802045241697,4.1496387530406516,80412672.0,89.0,1675.6199499999993,10.922799999999993,3495.1009999999997,18.506849999999996
boot-t64_load_rep3,boot-t64,load,3,java,0,0,213.41735410690308,215.26282382011414,2026-09-23T01:56:10,2051.0,100.0,0.0,10265.0,954,0,450.0,64.0,20.0,,74.14,7.3685,2605.891649999999,4087.6180600000002,7999.415,2.7438801280864196,2268.5090341009613,3812.9019537156273,298.49253519688256,38.52934160587666,8204.0,0.0,1148400435.2,1097701785.6,103.74288461538463,69900488.0,127588472.0,104857600.0,159383552.0,100.0,0.635,1.0,64.0,0.0,40.0,335.87503835194053,3.35,175.62014999999968,1383.5900400000003,2.4648889334902657,4.136827646705086,80707584.0,94.2,1781.5574999999997,11.437,3788.8955,16.83449999999999
boot-t64_load_rep4,boot-t64,load,4,java,0,0,214.07416892051697,215.94984197616577,2026-09-23T03:48:02,2020.0,100.0,0.0,10110.0,957,0,450.0,64.0,20.0,,74.74,7.9445,2588.53295,4022.349909999994,8581.661,2.896596478723404,2273.494768239645,3772.8797834108664,306.66737670039555,37.83038385015669,8080.0,0.0,1090414182.4,1047579852.8000001,102.4853846153846,64240280.0,102992280.0,95420416.0,111149056.0,91.0,0.621,1.0,64.0,0.0,38.0,327.93734632344285,3.473,190.65599999999978,1473.2137999999884,2.3472106331720988,3.899140977568553,83705856.0,87.0,1701.0481499999999,10.659899999999997,3794.5237,16.44705
boot-t64_load_rep5,boot-t64,load,5,java,0,0,215.05173897743225,218.43317008018494,2026-09-23T04:36:07,2052.0,100.0,0.0,10270.0,963,0,450.0,64.0,20.0,,73.94,7.778499999999999,2585.5359499999995,3898.0589800000002,6990.983,2.862490224137931,2213.5415891308726,3688.0366313468026,291.6318419221032,38.25770442838662,8208.0,0.0,1108869120.0,1076048691.2,105.17188679245284,66707192.0,104888048.0,100663296.0,113246208.0,89.0,0.55,1.0,58.0,0.0,36.0,324.27494854945587,3.357,161.09039999999845,1624.2136599999997,2.3809311414841483,4.074790863364684,80789504.0,99.4,1797.1660499999998,11.25875,3687.6363499999998,17.598399999999998
