scenario,metric,config_a,config_b,n_a,n_b,median_a,median_b,U,p_value,rank_biserial,vargha_delaney_a12,significant_at_0.05,direction
load,client_p95_ms,vapor,boot-t200,5,5,1199.2254,2587.7677,0.0,0.00794,-1.000,0.000,yes,vapor lower
load,client_p95_ms,vapor,boot-t64,5,5,1199.2254,2588.5329,0.0,0.00794,-1.000,0.000,yes,vapor lower
load,client_p95_ms,vapor,boot-vt,5,5,1199.2254,836.2696,25.0,0.00794,1.000,1.000,yes,vapor higher
load,client_p99_ms,vapor,boot-t200,5,5,2296.2103,3799.3366,0.0,0.00794,-1.000,0.000,yes,vapor lower
load,client_p99_ms,vapor,boot-t64,5,5,2296.2103,3993.2895,0.0,0.00794,-1.000,0.000,yes,vapor lower
load,client_p99_ms,vapor,boot-vt,5,5,2296.2103,1283.5404,25.0,0.00794,1.000,1.000,yes,vapor higher
load,server_p95_ms,vapor,boot-t200,5,5,954.5657,2262.0358,0.0,0.00794,-1.000,0.000,yes,vapor lower
load,server_p95_ms,vapor,boot-t64,5,5,954.5657,2258.0890,0.0,0.00794,-1.000,0.000,yes,vapor lower
load,server_p95_ms,vapor,boot-vt,5,5,954.5657,665.7273,24.0,0.01587,0.920,0.960,yes,vapor higher
load,throughput_rps,vapor,boot-t200,5,5,46.2495,37.6770,25.0,0.00794,1.000,1.000,yes,vapor higher
load,throughput_rps,vapor,boot-t64,5,5,46.2495,37.8304,25.0,0.00794,1.000,1.000,yes,vapor higher
load,throughput_rps,vapor,boot-vt,5,5,46.2495,47.0945,4.0,0.09524,-0.680,0.160,no,vapor lower
load,rss_steady_bytes,vapor,boot-t200,5,5,41859153.9200,1083493580.8000,0.0,0.00794,-1.000,0.000,yes,vapor lower
load,rss_steady_bytes,vapor,boot-t64,5,5,41859153.9200,1076048691.2000,0.0,0.00794,-1.000,0.000,yes,vapor lower
load,rss_steady_bytes,vapor,boot-vt,5,5,41859153.9200,1063308492.8000,0.0,0.00794,-1.000,0.000,yes,vapor lower
load,rss_peak_bytes,vapor,boot-t200,5,5,50824478.7200,1108344832.0000,0.0,0.00794,-1.000,0.000,yes,vapor lower
load,rss_peak_bytes,vapor,boot-t64,5,5,50824478.7200,1108869120.0000,0.0,0.00794,-1.000,0.000,yes,vapor lower
