t,service,latency_ms
1790111761.477,java-user-service,11.014
1790111761.485,java-product-service,6.839
1790111761.494,java-order-service,7.516
1790111766.518,java-user-service,12.603
1790111766.531,java-product-service,9.786
1790111766.544,java-order-service,7.574
1790111771.558,java-user-service,7.853
1790111771.569,java-product-service,7.849
1790111771.577,java-order-service,6.239
1790111776.602,java-user-service,17.895
1790111776.622,java-product-service,14.112
1790111776.636,java-order-service,7.784
1790111781.664,java-user-service,13.941
1790111781.678,java-product-service,7.830
1790111781.688,java-order-service,6.396
1790111786.716,java-user-service,19.235
1790111786.731,java-product-service,10.174
1790111786.743,java-order-service,6.640
1790111791.772,java-user-service,16.472
1790111791.785,java-product-service,8.089
1790111791.797,java-order-service,6.124
1790111796.817,java-user-service,6.950
1790111796.827,java-product-service,5.529
1790111796.836,java-order-service,5.474
1790111801.863,java-user-service,14.550
1790111801.878,java-product-service,9.944
1790111801.889,java-order-service,6.717
1790111806.909,java-user-service,6.896
1790111806.920,java-product-service,5.680
1790111806.931,java-order-service,4.953
1790111811.949,java-user-service,5.366
1790111811.959,java-product-service,5.270
1790111811.974,java-order-service,9.624
1790111816.993,java-user-service,4.793
1790111817.001,java-product-service,5.223
1790111817.012,java-order-service,5.319
1790111822.031,java-user-service,8.319
1790111822.042,java-product-service,4.761
1790111822.052,java-order-service,5.048
1790111827.068,java-user-service,6.584
1790111827.079,java-product-service,6.443
1790111827.088,java-order-service,5.066
1790111832.106,java-user-service,5.280
1790111832.114,java-product-service,4.932
1790111832.124,java-order-service,5.159
1790111837.140,java-user-service,9.624
1790111837.151,java-product-service,5.354
1790111837.161,java-order-service,5.399
1790111842.170,java-user-service,6.488
1790111842.179,java-product-service,5.285
1790111842.189,java-order-service,5.583
1790111847.199,java-user-service,5.918
1790111847.209,java-product-service,6.136
1790111847.217,java-order-service,5.188
1790111852.236,java-user-service,5.982
1790111852.246,java-product-service,5.886
1790111852.254,java-order-service,6.773
1790111857.265,java-user-service,5.886
1790111857.275,java-product-service,5.089
1790111857.284,java-order-service,5.391
1790111862.308,java-user-service,8.577
1790111862.317,java-product-service,6.262
1790111862.328,java-order-service,6.132
1790111867.357,java-user-service,25.630
1790111867.365,java-product-service,6.377
1790111867.373,java-order-service,5.431
1790111872.457,java-user-service,79.904
1790111872.470,java-product-service,10.020
1790111872.483,java-order-service,6.788
1790111877.658,java-user-service,170.226
1790111877.669,java-product-service,6.995
1790111877.680,java-order-service,6.040
1790111883.062,java-user-service,369.757
1790111883.072,java-product-service,7.012
1790111883.083,java-order-service,6.495
1790111888.153,java-user-service,66.017
1790111888.166,java-product-service,5.901
1790111888.173,java-order-service,4.225
1790111893.455,java-user-service,273.940
1790111893.464,java-product-service,6.216
1790111893.479,java-order-service,10.081
1790111898.665,java-user-service,172.464
1790111898.673,java-product-service,4.911
1790111898.680,java-order-service,4.663
1790111903.964,java-user-service,271.127
1790111903.970,java-product-service,4.076
1790111903.980,java-order-service,3.713
1790111909.067,java-user-service,72.928
1790111909.076,java-product-service,5.202
1790111909.086,java-order-service,5.258
1790111914.447,java-user-service,348.335
1790111914.457,java-product-service,7.092
1790111914.466,java-order-service,4.912
1790111919.668,java-user-service,187.559
1790111919.681,java-product-service,6.506
1790111919.693,java-order-service,5.626
1790111924.954,java-user-service,249.078
1790111924.964,java-product-service,7.027
1790111924.974,java-order-service,5.156
1790111930.152,java-user-service,171.789
1790111930.161,java-product-service,5.395
1790111930.174,java-order-service,8.287
1790111935.364,java-user-service,184.143
1790111935.378,java-product-service,11.000
1790111935.392,java-order-service,7.731
1790111940.666,java-user-service,267.458
1790111940.679,java-product-service,9.701
1790111940.696,java-order-service,11.571
1790111945.867,java-user-service,167.180
1790111945.876,java-product-service,5.951
1790111945.888,java-order-service,6.815
1790111951.060,java-user-service,158.744
1790111951.070,java-product-service,6.824
1790111951.080,java-order-service,5.657
1790111956.357,java-user-service,263.042
1790111956.366,java-product-service,6.303
1790111956.377,java-order-service,5.076
1790111961.396,java-user-service,5.609
1790111961.407,java-product-service,5.094
1790111961.416,java-order-service,3.808
1790111966.430,java-user-service,10.318
1790111966.444,java-product-service,8.919
1790111966.455,java-order-service,8.456
1790111971.482,java-user-service,18.596
1790111971.497,java-product-service,11.401
1790111971.510,java-order-service,9.855
1790111976.554,java-user-service,39.462
1790111976.562,java-product-service,6.074
1790111976.574,java-order-service,5.843
