t,service,latency_ms,status
1790100003.616,java-user-service,6.236,200
1790100003.624,java-product-service,7.708,200
1790100003.631,java-order-service,7.388,200
1790100004.151,java-user-service,10.977,200
1790100004.160,java-product-service,8.789,200
1790100004.167,java-order-service,6.980,200
1790100004.681,java-user-service,13.637,200
1790100004.691,java-product-service,9.578,200
1790100004.697,java-order-service,6.400,200
1790100005.211,java-user-service,10.846,200
1790100005.221,java-product-service,10.339,200
1790100005.227,java-order-service,5.591,200
1790100005.735,java-user-service,3.109,200
1790100005.738,java-product-service,2.270,200
1790100005.741,java-order-service,2.893,200
1790100006.252,java-user-service,10.585,200
1790100006.259,java-product-service,7.319,200
1790100006.268,java-order-service,8.095,200
1790100006.786,java-user-service,8.316,200
1790100006.791,java-product-service,4.849,200
1790100006.796,java-order-service,5.070,200
1790100007.318,java-user-service,11.884,200
1790100007.326,java-product-service,8.491,200
1790100007.334,java-order-service,7.845,200
1790100007.842,java-user-service,5.918,200
1790100007.846,java-product-service,3.686,200
1790100007.849,java-order-service,3.856,200
1790100008.364,java-user-service,4.897,200
1790100008.368,java-product-service,3.283,200
1790100008.371,java-order-service,3.471,200
1790100008.881,java-user-service,5.492,200
1790100008.885,java-product-service,3.685,200
1790100008.889,java-order-service,4.012,200
1790100009.402,java-user-service,10.207,200
1790100009.411,java-product-service,8.886,200
1790100009.418,java-order-service,6.701,200
1790100009.934,java-user-service,10.835,200
1790100009.941,java-product-service,7.654,200
1790100009.949,java-order-service,7.522,200
1790100010.470,java-user-service,10.677,200
1790100010.478,java-product-service,8.143,200
1790100010.486,java-order-service,7.995,200
1790100010.996,java-user-service,3.317,200
1790100010.998,java-product-service,2.295,200
1790100011.001,java-order-service,2.906,200
1790100011.522,java-user-service,10.726,200
1790100011.530,java-product-service,8.127,200
1790100011.536,java-order-service,6.788,200
1790100012.050,java-user-service,3.188,200
1790100012.052,java-product-service,2.227,200
1790100012.055,java-order-service,2.514,200
1790100012.570,java-user-service,11.699,200
1790100012.579,java-product-service,8.201,200
1790100012.585,java-order-service,6.200,200
1790100013.097,java-user-service,2.877,200
1790100013.099,java-product-service,2.215,200
1790100013.102,java-order-service,2.710,200
1790100013.619,java-user-service,11.132,200
1790100013.628,java-product-service,8.502,200
1790100013.635,java-order-service,7.314,200
1790100014.147,java-user-service,4.058,200
1790100014.149,java-product-service,2.207,200
1790100014.151,java-order-service,2.302,200
1790100014.670,java-user-service,8.769,200
1790100014.679,java-product-service,8.796,200
1790100014.685,java-order-service,6.417,200
1790100015.195,java-user-service,3.303,200
1790100015.197,java-product-service,2.495,200
1790100015.200,java-order-service,2.967,200
1790100015.721,java-user-service,10.626,200
1790100015.729,java-product-service,7.537,200
1790100015.735,java-order-service,6.743,200
1790100016.246,java-user-service,4.292,200
1790100016.248,java-product-service,2.346,200
1790100016.251,java-order-service,2.572,200
1790100016.762,java-user-service,10.062,200
1790100016.770,java-product-service,7.819,200
1790100016.778,java-order-service,8.029,200
1790100017.286,java-user-service,4.388,200
1790100017.288,java-product-service,2.539,200
1790100017.291,java-order-service,2.373,200
1790100017.803,java-user-service,10.813,200
1790100017.812,java-product-service,8.198,200
1790100017.818,java-order-service,6.414,200
1790100018.325,java-user-service,4.252,200
1790100018.328,java-product-service,2.613,200
1790100018.331,java-order-service,2.964,200
1790100018.842,java-user-service,4.517,200
1790100018.845,java-product-service,3.500,200
1790100018.849,java-order-service,3.698,200
1790100019.363,java-user-service,3.641,200
1790100019.365,java-product-service,2.452,200
1790100019.368,java-order-service,2.671,200
1790100019.881,java-user-service,10.872,200
1790100019.889,java-product-service,8.339,200
1790100019.895,java-order-service,6.186,200
1790100020.401,java-user-service,4.324,200
1790100020.404,java-product-service,3.141,200
1790100020.407,java-order-service,2.487,200
1790100020.923,java-user-service,10.730,200
1790100020.930,java-product-service,7.800,200
1790100020.939,java-order-service,8.363,200
1790100021.444,java-user-service,3.992,200
1790100021.447,java-product-service,2.523,200
1790100021.449,java-order-service,2.471,200
1790100021.970,java-user-service,10.901,200
1790100021.978,java-product-service,7.725,200
1790100021.984,java-order-service,5.600,200
1790100022.493,java-user-service,4.436,200
1790100022.496,java-product-service,2.933,200
1790100022.499,java-order-service,3.168,200
1790100023.013,java-user-service,10.683,200
1790100023.022,java-product-service,8.339,200
1790100023.028,java-order-service,6.081,200
1790100023.539,java-user-service,4.258,200
1790100023.542,java-product-service,2.984,200
1790100023.545,java-order-service,3.183,200
1790100024.063,java-user-service,7.681,200
1790100024.067,java-product-service,4.221,200
1790100024.071,java-order-service,3.876,200
1790100024.577,java-user-service,4.568,200
1790100024.581,java-product-service,3.137,200
1790100024.584,java-order-service,3.399,200
1790100025.101,java-user-service,10.947,200
1790100025.109,java-product-service,8.100,200
1790100025.118,java-order-service,9.456,200
