t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790112467.594,java-order-service,4.5,268120883.2,24.98,38
1790112467.594,java-product-service,5.86,350119526.4,32.60,43
1790112467.594,java-user-service,27.34,418486681.6,38.97,44
1790112467.594,research-postgres,0.43,139670323.2,13.00,44
1790112467.594,research-redis,0.8,8199864.32,1.53,8
1790112471.716,java-order-service,1.63,268016025.6,24.96,38
1790112471.716,java-product-service,2.99,350329241.6,32.63,43
1790112471.716,java-user-service,13.73,418381824.0,38.97,44
1790112471.716,research-postgres,1.9,139984896.0,13.03,44
1790112471.716,research-redis,2.24,7479492.608,1.39,8
1790112475.894,java-order-service,2.53,268330598.4,24.99,38
1790112475.894,java-product-service,6.45,350748672.0,32.66,43
1790112475.894,java-user-service,28.65,419220684.8,39.04,44
1790112475.894,research-postgres,0.13,139670323.2,13.00,44
1790112475.894,research-redis,0.8,7709130.752,1.44,8
1790112480.035,java-order-service,0.87,268645171.2,25.02,38
1790112480.035,java-product-service,3.61,350853529.6,32.68,43
1790112480.035,java-user-service,18.1,419744972.8,39.09,44
1790112480.035,research-postgres,0.31,139565465.6,12.99,44
1790112480.035,research-redis,0.74,7655653.376,1.43,8
1790112484.163,java-order-service,1.31,268959744.0,25.05,38
1790112484.163,java-product-service,2.89,351168102.4,32.70,43
1790112484.163,java-user-service,28.24,420478976.0,39.16,44
1790112484.163,research-postgres,0.27,139775180.8,13.02,44
1790112484.163,research-redis,0.7,7700742.144,1.43,8
1790112488.290,java-order-service,1.64,267386880.0,24.90,38
1790112488.290,java-product-service,2.87,351797248.0,32.76,43
1790112488.290,java-user-service,38.25,421003264.0,39.21,44
1790112488.290,research-postgres,0.3,139984896.0,13.04,44
1790112488.290,research-redis,0.56,7581204.48,1.41,8
1790112492.396,java-order-service,2.38,267911168.0,24.95,38
1790112492.396,java-product-service,5.47,352216678.4,32.80,43
1790112492.396,java-user-service,32.78,421422694.4,39.25,44
1790112492.396,research-postgres,0.24,139146035.2,12.96,44
1790112492.396,research-redis,0.66,7540310.016,1.40,8
1790112496.500,java-order-service,1.28,273363763.2,25.46,38
1790112496.500,java-product-service,6.51,351902105.6,32.77,43
1790112496.500,java-user-service,42.69,422261555.2,39.33,44
1790112496.500,research-postgres,0.3,139355750.4,12.98,44
1790112496.500,research-redis,0.43,7450132.48,1.39,8
1790112500.619,java-order-service,1.89,273992908.8,25.52,38
1790112500.619,java-product-service,7.3,352321536.0,32.82,43
1790112500.619,java-user-service,42.96,423310131.2,39.42,44
1790112500.619,research-postgres,2.4,140404326.4,13.07,44
1790112500.619,research-redis,2.48,7741636.608,1.44,8
1790112504.728,java-order-service,1.79,274517196.8,25.57,38
1790112504.728,java-product-service,3.28,352845824.0,32.86,43
1790112504.728,java-user-service,44.8,423519846.4,39.44,44
1790112504.728,research-postgres,0.43,140404326.4,13.08,44
1790112504.728,research-redis,0.73,7946108.928,1.48,8
1790112508.825,java-order-service,1.02,274831769.6,25.60,38
1790112508.825,java-product-service,6.17,352950681.6,32.87,43
1790112508.825,java-user-service,39.27,424358707.2,39.52,44
1790112508.825,research-postgres,0.62,140194611.2,13.06,44
1790112508.825,research-redis,0.69,7921991.68,1.48,8
1790112512.938,java-order-service,1.25,275356057.6,25.64,38
1790112512.938,java-product-service,5.7,353160396.8,32.89,43
1790112512.938,java-user-service,49.04,421946982.4,39.29,44
1790112512.938,research-postgres,0.59,140509184.0,13.09,44
1790112512.938,research-redis,0.73,8167358.464,1.52,8
1790112517.087,java-order-service,2.36,275565772.8,25.67,38
1790112517.087,java-product-service,13.55,353474969.6,32.92,43
1790112517.087,java-user-service,49.2,421212979.2,39.23,45
1790112517.087,research-postgres,0.37,141872332.8,13.22,45
1790112517.087,research-redis,0.73,7864320.0,1.46,8
1790112521.200,java-order-service,1.71,275985203.2,25.70,38
1790112521.200,java-product-service,10.78,354418688.0,33.01,43
1790112521.200,java-user-service,40.13,420898406.4,39.20,44
1790112521.200,research-postgres,2.76,142396620.8,13.26,45
1790112521.200,research-redis,0.5,7847542.784,1.46,8
1790112525.327,java-order-service,0.78,276194918.4,25.72,38
1790112525.327,java-product-service,5.89,355257548.8,33.08,43
1790112525.327,java-user-service,91.44,421212979.2,39.22,45
1790112525.327,research-postgres,1.09,144074342.4,13.42,46
1790112525.327,research-redis,0.65,7795113.984,1.45,8
1790112529.467,java-order-service,2.88,275985203.2,25.70,38
1790112529.467,java-product-service,13.54,355676979.2,33.12,43
1790112529.467,java-user-service,1.9,422156697.6,39.32,45
1790112529.467,research-postgres,0.34,143864627.2,13.39,46
1790112529.467,research-redis,0.42,7806648.32,1.45,8
1790112533.595,java-order-service,1.45,276194918.4,25.72,38
1790112533.595,java-product-service,6.63,355781836.8,33.14,43
1790112533.595,java-user-service,105.59,422471270.4,39.35,44
1790112533.595,research-postgres,1.06,143130624.0,13.33,46
1790112533.595,research-redis,0.56,7270825.984,1.35,8
1790112537.715,java-order-service,1.41,276404633.6,25.74,38
1790112537.715,java-product-service,10.27,355781836.8,33.13,43
1790112537.715,java-user-service,5.96,422576128.0,39.36,44
1790112537.715,research-postgres,0.22,143654912.0,13.38,46
1790112537.715,research-redis,0.69,7237271.552,1.35,8
1790112541.869,java-order-service,2.11,276824064.0,25.78,38
1790112541.869,java-product-service,7.24,356201267.2,33.18,43
1790112541.869,java-user-service,48.75,427294720.0,39.80,44
1790112541.869,research-postgres,0.25,143654912.0,13.38,46
1790112541.869,research-redis,1.14,7799308.288,1.45,8
1790112546.012,java-order-service,0.91,276614348.8,25.76,38
1790112546.012,java-product-service,3.9,356620697.6,33.21,43
1790112546.012,java-user-service,90.52,428028723.2,39.87,44
1790112546.012,research-postgres,0.53,143864627.2,13.40,46
1790112546.012,research-redis,0.97,7933526.016,1.48,8
1790112550.191,java-order-service,1.78,276299776.0,25.73,38
1790112550.191,java-product-service,11.91,356935270.4,33.24,44
1790112550.191,java-user-service,79.57,429182156.8,39.97,44
1790112550.191,research-postgres,0.13,144179200.0,13.43,46
1790112550.191,research-redis,0.97,8233418.752,1.53,8
1790112554.348,java-order-service,1.15,276824064.0,25.78,38
1790112554.348,java-product-service,9.38,356830412.8,33.23,44
1790112554.348,java-user-service,1.83,427294720.0,39.79,46
1790112554.348,research-postgres,0.34,144493772.8,13.45,46
1790112554.348,research-redis,0.99,8109686.784,1.51,8
1790112558.523,java-order-service,1.65,277138636.8,25.81,38
1790112558.523,java-product-service,9.6,356725555.2,33.22,44
1790112558.523,java-user-service,64.64,430545305.6,40.10,46
1790112558.523,research-postgres,0.18,144179200.0,13.43,46
1790112558.523,research-redis,1.08,8306819.072,1.55,8
1790112562.664,java-order-service,0.88,277453209.6,25.84,38
1790112562.664,java-product-service,4.1,356620697.6,33.21,44
1790112562.664,java-user-service,85.56,430964736.0,40.14,46
1790112562.664,research-postgres,0.38,144179200.0,13.43,46
1790112562.664,research-redis,0.61,7754219.52,1.44,8
1790112566.824,java-order-service,4.49,278082355.2,25.90,38
1790112566.824,java-product-service,8.58,356620697.6,33.21,44
1790112566.824,java-user-service,1.84,431489024.0,40.19,46
1790112566.824,research-postgres,0.13,144388915.2,13.45,46
1790112566.824,research-redis,0.66,7737442.304,1.44,8
1790112570.975,java-order-service,1.3,278082355.2,25.90,38
1790112570.975,java-product-service,8.85,356725555.2,33.22,44
1790112570.975,java-user-service,1.68,431803596.8,40.22,46
1790112570.975,research-postgres,2.49,144388915.2,13.45,46
1790112570.975,research-redis,0.72,7700742.144,1.43,8
1790112575.113,java-order-service,1.18,278082355.2,25.90,38
1790112575.113,java-product-service,5.71,356830412.8,33.23,44
1790112575.113,java-user-service,34.66,432327884.8,40.26,46
1790112575.113,research-postgres,0.2,144284057.6,13.44,46
1790112575.113,research-redis,0.86,7659847.68,1.43,8
1790112579.267,java-order-service,2.12,278187212.8,25.90,38
1790112579.267,java-product-service,5.37,356201267.2,33.18,44
1790112579.267,java-user-service,52.94,432118169.6,40.24,46
1790112579.267,research-postgres,0.38,144179200.0,13.43,46
1790112579.267,research-redis,0.45,7340032.0,1.37,8
1790112583.389,java-order-service,0.58,278606643.2,25.95,38
1790112583.389,java-product-service,3.58,356515840.0,33.21,44
1790112583.389,java-user-service,67.69,432327884.8,40.26,46
1790112583.389,research-postgres,0.44,143969484.8,13.41,46
1790112583.389,research-redis,0.57,7266631.68,1.35,8
1790112587.552,java-order-service,2.26,279235788.8,26.01,38
1790112587.552,java-product-service,5.27,356515840.0,33.21,44
1790112587.552,java-user-service,74.89,432747315.2,40.30,46
1790112587.552,research-postgres,0.52,144074342.4,13.42,46
1790112587.552,research-redis,0.82,7483686.912,1.39,8
1790112591.703,java-order-service,1.82,279235788.8,26.01,38
1790112591.703,java-product-service,7.73,356830412.8,33.23,44
1790112591.703,java-user-service,3.29,432957030.4,40.32,46
1790112591.703,research-postgres,1.95,143969484.8,13.41,46
1790112591.703,research-redis,0.87,7417626.624,1.38,8
1790112595.843,java-order-service,1.19,279760076.8,26.05,38
1790112595.843,java-product-service,2.9,356830412.8,33.23,44
1790112595.843,java-user-service,4.39,433481318.4,40.37,46
1790112595.843,research-postgres,0.16,144703488.0,13.48,46
1790112595.843,research-redis,1.04,7450132.48,1.39,8
1790112600.013,java-order-service,1.48,280179507.2,26.09,38
1790112600.013,java-product-service,5.56,356306124.8,33.19,44
1790112600.013,java-user-service,75.83,433795891.2,40.40,46
1790112600.013,research-postgres,0.64,144388915.2,13.45,46
1790112600.013,research-redis,0.63,7634681.856,1.42,8
1790112604.141,java-order-service,1.13,280179507.2,26.09,38
1790112604.141,java-product-service,3.09,356620697.6,33.21,44
1790112604.141,java-user-service,22.28,433795891.2,40.40,46
1790112604.141,research-postgres,0.18,144179200.0,13.43,46
1790112604.141,research-redis,0.95,8126464.0,1.51,8
1790112608.362,java-order-service,1.62,279340646.4,26.02,38
1790112608.362,java-product-service,2.69,356725555.2,33.23,44
1790112608.362,java-user-service,5.63,432537600.0,40.29,46
1790112608.362,research-postgres,0.7,145227776.0,13.52,46
1790112608.362,research-redis,0.46,7729053.696,1.44,8
1790112612.490,java-order-service,1.85,279864934.4,26.07,38
1790112612.490,java-product-service,12.0,356935270.4,33.24,44
1790112612.490,java-user-service,4.16,434844467.2,40.50,46
1790112612.490,research-postgres,0.1,144074342.4,13.41,46
1790112612.490,research-redis,2.79,7135559.68,1.33,8
1790112616.665,java-order-service,3.33,280389222.4,26.11,38
1790112616.665,java-product-service,11.27,356935270.4,33.25,44
1790112616.665,java-user-service,3.27,434739609.6,40.48,46
1790112616.665,research-postgres,0.13,144703488.0,13.48,46
1790112616.665,research-redis,0.54,7806648.32,1.45,8
1790112620.836,java-order-service,0.56,280179507.2,26.09,38
1790112620.836,java-product-service,4.89,356935270.4,33.25,44
1790112620.836,java-user-service,37.0,435054182.4,40.52,46
1790112620.836,research-postgres,0.8,144703488.0,13.48,46
1790112620.836,research-redis,0.84,7778336.768,1.45,8
1790112624.989,java-order-service,1.25,280389222.4,26.11,38
1790112624.989,java-product-service,4.34,357144985.6,33.26,43
1790112624.989,java-user-service,80.81,435054182.4,40.52,46
1790112624.989,research-postgres,0.6,144808345.6,13.49,46
1790112624.989,research-redis,0.68,7754219.52,1.44,8
1790112629.136,java-order-service,1.13,280389222.4,26.11,38
1790112629.136,java-product-service,4.4,356935270.4,33.24,43
1790112629.136,java-user-service,1.65,435159040.0,40.52,46
1790112629.136,research-postgres,0.85,144598630.4,13.46,46
1790112629.136,research-redis,0.78,7462715.392,1.39,8
1790112633.283,java-order-service,1.4,280598937.6,26.14,38
1790112633.283,java-product-service,7.79,358927564.8,33.42,43
1790112633.283,java-user-service,1.78,435368755.2,40.54,46
1790112633.283,research-postgres,0.97,144703488.0,13.48,46
1790112633.283,research-redis,0.93,8027897.856,1.50,8
1790112637.490,java-order-service,2.92,287938969.6,26.81,44
1790112637.490,java-product-service,6.79,358822707.2,33.41,43
1790112637.490,java-user-service,5.27,435473612.8,40.56,46
1790112637.490,research-postgres,0.16,144598630.4,13.46,46
1790112637.490,research-redis,0.91,7999586.304,1.49,8
1790112641.622,java-order-service,3.01,281018368.0,26.17,38
1790112641.622,java-product-service,3.27,358927564.8,33.43,43
1790112641.622,java-user-service,47.08,435683328.0,40.57,46
1790112641.622,research-postgres,2.26,144808345.6,13.48,46
1790112641.622,research-redis,2.2,7991197.696,1.49,8
1790112645.759,java-order-service,0.55,281228083.2,26.19,38
1790112645.759,java-product-service,2.95,359976140.8,33.53,43
1790112645.759,java-user-service,120.55,435893043.2,40.59,46
1790112645.759,research-postgres,0.75,144703488.0,13.48,46
1790112645.759,research-redis,0.62,7937720.32,1.48,8
1790112649.888,java-order-service,0.82,281123225.6,26.18,38
1790112649.888,java-product-service,5.98,359661568.0,33.50,43
1790112649.888,java-user-service,104.77,435788185.6,40.59,46
1790112649.888,research-postgres,0.66,145227776.0,13.53,46
1790112649.888,research-redis,0.65,7799308.288,1.45,8
1790112654.044,java-order-service,1.16,281018368.0,26.18,38
1790112654.044,java-product-service,13.17,359976140.8,33.52,43
1790112654.044,java-user-service,1.36,435997900.8,40.60,46
1790112654.044,research-postgres,1.06,145122918.4,13.52,46
1790112654.044,research-redis,1.08,7786725.376,1.45,8
1790112658.206,java-order-service,3.32,281437798.4,26.21,38
1790112658.206,java-product-service,9.1,359871283.2,33.51,43
1790112658.206,java-user-service,4.58,436102758.4,40.61,46
1790112658.206,research-postgres,0.11,144598630.4,13.47,46
