t,service,latency_ms
1790106535.292,java-user-service,12.438
1790106535.304,java-product-service,10.429
1790106535.313,java-order-service,7.773
1790106540.326,java-user-service,7.828
1790106540.339,java-product-service,7.229
1790106540.351,java-order-service,7.306
1790106545.379,java-user-service,16.211
1790106545.394,java-product-service,9.348
1790106545.406,java-order-service,7.697
1790106550.431,java-user-service,18.047
1790106550.448,java-product-service,13.710
1790106550.463,java-order-service,9.872
1790106555.490,java-user-service,19.286
1790106555.504,java-product-service,10.845
1790106555.516,java-order-service,7.670
1790106560.526,java-user-service,7.688
1790106560.538,java-product-service,5.911
1790106560.548,java-order-service,6.390
1790106565.565,java-user-service,10.083
1790106565.577,java-product-service,6.513
1790106565.585,java-order-service,5.623
1790106570.601,java-user-service,8.210
1790106570.612,java-product-service,7.780
1790106570.621,java-order-service,6.133
1790106575.631,java-user-service,7.152
1790106575.643,java-product-service,6.377
1790106575.656,java-order-service,9.356
1790106580.674,java-user-service,13.486
1790106580.686,java-product-service,8.092
1790106580.696,java-order-service,5.545
1790106585.713,java-user-service,7.832
1790106585.732,java-product-service,13.147
1790106585.741,java-order-service,6.516
1790106590.759,java-user-service,11.577
1790106590.769,java-product-service,6.880
1790106590.781,java-order-service,9.599
1790106595.797,java-user-service,7.044
1790106595.810,java-product-service,7.042
1790106595.818,java-order-service,5.239
1790106600.839,java-user-service,9.719
1790106600.852,java-product-service,7.189
1790106600.860,java-order-service,6.303
1790106605.881,java-user-service,8.623
1790106605.893,java-product-service,6.794
1790106605.903,java-order-service,7.246
1790106610.925,java-user-service,17.839
1790106610.936,java-product-service,5.868
1790106610.945,java-order-service,5.882
1790106615.967,java-user-service,9.795
1790106615.978,java-product-service,6.784
1790106615.988,java-order-service,6.331
1790106621.001,java-user-service,10.197
1790106621.011,java-product-service,6.859
1790106621.023,java-order-service,9.436
1790106626.040,java-user-service,6.632
1790106626.051,java-product-service,4.922
1790106626.061,java-order-service,5.192
1790106631.085,java-user-service,15.100
1790106631.097,java-product-service,8.805
1790106631.106,java-order-service,6.711
1790106636.125,java-user-service,17.410
1790106636.137,java-product-service,7.096
1790106636.146,java-order-service,6.369
1790106641.160,java-user-service,9.868
1790106641.170,java-product-service,5.779
1790106641.181,java-order-service,5.832
1790106646.202,java-user-service,12.564
1790106646.216,java-product-service,8.752
1790106646.228,java-order-service,8.086
1790106651.248,java-user-service,8.330
1790106651.261,java-product-service,6.703
1790106651.273,java-order-service,8.458
1790106656.301,java-user-service,16.142
1790106656.318,java-product-service,11.972
1790106656.333,java-order-service,9.036
1790106661.347,java-user-service,6.879
1790106661.357,java-product-service,5.480
1790106661.369,java-order-service,8.024
1790106666.398,java-user-service,23.824
1790106666.410,java-product-service,8.688
1790106666.419,java-order-service,5.802
1790106671.434,java-user-service,12.587
1790106671.451,java-product-service,11.125
1790106671.461,java-order-service,6.031
1790106676.482,java-user-service,8.101
1790106676.492,java-product-service,5.911
1790106676.503,java-order-service,5.921
1790106681.519,java-user-service,13.205
1790106681.534,java-product-service,9.843
1790106681.543,java-order-service,5.971
1790106686.555,java-user-service,12.613
1790106686.567,java-product-service,6.770
1790106686.577,java-order-service,6.272
