t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790112277.046,java-order-service,1.6,274412339.2,25.56,38
1790112277.046,java-product-service,5.99,333447168.0,31.05,43
1790112277.046,java-user-service,25.06,380528230.4,35.44,44
1790112277.046,research-postgres,0.33,138621747.2,12.91,44
1790112277.046,research-redis,0.68,7778336.768,1.45,8
1790112281.183,java-order-service,1.53,275041484.8,25.61,38
1790112281.183,java-product-service,4.94,333656883.2,31.07,43
1790112281.183,java-user-service,12.93,381157376.0,35.50,44
1790112281.183,research-postgres,3.36,139250892.8,12.97,44
1790112281.183,research-redis,1.06,8003780.608,1.49,8
1790112285.351,java-order-service,4.31,283849523.2,26.43,40
1790112285.351,java-product-service,16.95,333656883.2,31.07,43
1790112285.351,java-user-service,12.29,381681664.0,35.55,44
1790112285.351,research-postgres,0.15,139146035.2,12.96,44
1790112285.351,research-redis,0.97,8130658.304,1.51,8
1790112289.510,java-order-service,1.91,275460915.2,25.65,38
1790112289.510,java-product-service,10.09,333552025.6,31.06,43
1790112289.510,java-user-service,10.13,381681664.0,35.55,44
1790112289.510,research-postgres,0.14,138831462.4,12.93,44
1790112289.510,research-redis,1.05,7614758.912,1.42,8
1790112293.680,java-order-service,2.13,276194918.4,25.72,38
1790112293.680,java-product-service,10.94,334286028.8,31.13,43
1790112293.680,java-user-service,17.88,381996236.8,35.58,44
1790112293.680,research-postgres,1.27,138831462.4,12.93,44
1790112293.680,research-redis,1.18,7376732.16,1.37,8
1790112297.860,java-order-service,0.95,275775488.0,25.68,38
1790112297.860,java-product-service,17.86,335124889.6,31.21,43
1790112297.860,java-user-service,22.92,383778816.0,35.75,44
1790112297.860,research-postgres,0.06,138831462.4,12.93,44
1790112297.860,research-redis,0.94,7769948.16,1.45,8
1790112302.012,java-order-service,3.6,275985203.2,25.70,38
1790112302.012,java-product-service,14.31,336383180.8,31.33,43
1790112302.012,java-user-service,18.13,383883673.6,35.75,44
1790112302.012,research-postgres,0.17,139250892.8,12.97,44
1790112302.012,research-redis,1.37,8093958.144,1.51,8
1790112306.207,java-order-service,3.15,276404633.6,25.74,38
1790112306.207,java-product-service,22.04,335963750.4,31.29,43
1790112306.207,java-user-service,25.63,384617676.8,35.82,44
1790112306.207,research-postgres,0.13,139250892.8,12.97,44
1790112306.207,research-redis,1.02,7901020.16,1.47,8
1790112310.366,java-order-service,0.88,275985203.2,25.70,38
1790112310.366,java-product-service,19.57,337536614.4,31.43,43
1790112310.366,java-user-service,34.93,385351680.0,35.89,44
1790112310.366,research-postgres,1.82,138831462.4,12.93,44
1790112310.366,research-redis,2.93,7438598.144,1.39,8
1790112314.476,java-order-service,1.14,277033779.2,25.80,38
1790112314.476,java-product-service,37.11,338060902.4,31.49,43
1790112314.476,java-user-service,41.04,388497408.0,36.18,47
1790112314.476,research-postgres,0.05,139250892.8,12.96,44
1790112314.476,research-redis,1.66,7483686.912,1.39,8
1790112318.596,java-order-service,0.99,277348352.0,25.83,38
1790112318.596,java-product-service,27.83,341521203.2,31.80,47
1790112318.596,java-user-service,50.52,391538278.4,36.47,51
