t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790109133.651,java-order-service,1.78,267911168.0,24.95,38
1790109133.651,java-product-service,6.43,333237452.8,31.03,43
1790109133.651,java-user-service,17.62,377277644.8,35.14,44
1790109133.651,research-postgres,0.3,138202316.8,12.87,44
1790109133.651,research-redis,1.11,7638876.16,1.42,8
1790109137.765,java-order-service,2.32,268435456.0,25.00,38
1790109137.765,java-product-service,0.8,333237452.8,31.04,43
1790109137.765,java-user-service,133.53,378955366.4,35.29,44
1790109137.765,research-postgres,1.05,139146035.2,12.96,44
1790109137.765,research-redis,0.59,7520387.072,1.40,8
1790109141.866,java-order-service,0.69,268330598.4,24.99,38
1790109141.866,java-product-service,0.97,333237452.8,31.04,43
1790109141.866,java-user-service,148.89,380108800.0,35.40,48
1790109141.866,research-postgres,3.68,148058931.2,13.79,48
1790109141.866,research-redis,0.89,7483686.912,1.39,8
1790109146.032,java-order-service,1.76,268854886.4,25.03,38
1790109146.032,java-product-service,0.64,333132595.2,31.03,43
1790109146.032,java-user-service,150.29,382520524.8,35.63,56
1790109146.032,research-postgres,4.43,160327270.4,14.93,54
1790109146.032,research-redis,0.88,7872708.608,1.47,8
1790109150.197,java-order-service,1.5,268959744.0,25.05,38
1790109150.197,java-product-service,0.25,333447168.0,31.05,43
1790109150.197,java-user-service,155.36,383988531.2,35.76,63
1790109150.197,research-postgres,2.01,163158425.6,15.19,55
1790109150.197,research-redis,0.66,7569670.144,1.41,8
1790109154.373,java-order-service,0.63,269379174.4,25.09,38
1790109154.373,java-product-service,0.95,333447168.0,31.06,43
1790109154.373,java-user-service,149.11,384198246.4,35.78,69
1790109154.373,research-postgres,1.19,163053568.0,15.18,55
1790109154.373,research-redis,0.71,7851737.088,1.46,8
1790109158.532,java-order-service,2.47,269484032.0,25.10,38
1790109158.532,java-product-service,0.91,333447168.0,31.06,43
1790109158.532,java-user-service,147.69,387448832.0,36.09,75
1790109158.532,research-postgres,1.36,163158425.6,15.19,55
1790109158.532,research-redis,0.61,7679770.624,1.43,8
1790109162.686,java-order-service,0.21,269274316.8,25.07,38
1790109162.686,java-product-service,2.2,333866598.4,31.09,43
1790109162.686,java-user-service,147.83,388916838.4,36.22,83
1790109162.686,research-postgres,2.37,163263283.2,15.21,55
1790109162.686,research-redis,4.11,7389315.072,1.38,8
1790109166.821,java-order-service,0.21,269274316.8,25.07,38
1790109166.821,java-product-service,1.18,333552025.6,31.07,43
1790109166.821,java-user-service,158.33,390909132.8,36.41,93
1790109166.821,research-postgres,1.49,163263283.2,15.21,55
1790109166.821,research-redis,0.88,7537164.288,1.40,8
1790109170.971,java-order-service,0.17,269379174.4,25.09,38
1790109170.971,java-product-service,0.25,333552025.6,31.07,43
1790109170.971,java-user-service,148.57,393006284.8,36.60,106
1790109170.971,research-postgres,1.14,163158425.6,15.19,55
1790109170.971,research-redis,0.83,7692353.536,1.43,8
1790109175.124,java-order-service,0.33,269379174.4,25.08,38
1790109175.124,java-product-service,0.4,334181171.2,31.12,43
1790109175.124,java-user-service,154.75,394369433.6,36.73,118
1790109175.124,research-postgres,1.28,162948710.4,15.17,55
1790109175.124,research-redis,0.89,7716470.784,1.44,8
1790109179.296,java-order-service,2.16,270008320.0,25.14,38
1790109179.296,java-product-service,0.24,334181171.2,31.12,43
1790109179.296,java-user-service,148.69,398458880.0,37.11,136
1790109179.296,research-postgres,2.15,163158425.6,15.19,55
1790109179.296,research-redis,0.67,7499415.552,1.40,8
1790109183.428,java-order-service,0.16,268435456.0,25.00,38
1790109183.428,java-product-service,0.23,334390886.4,31.14,43
1790109183.428,java-user-service,148.44,401814323.2,37.43,149
1790109183.428,research-postgres,0.91,163892428.8,15.26,55
1790109183.428,research-redis,0.51,7569670.144,1.41,8
1790109187.573,java-order-service,2.08,270532608.0,25.20,38
1790109187.573,java-product-service,0.24,334390886.4,31.14,43
1790109187.573,java-user-service,150.79,405064908.8,37.72,165
1790109187.573,research-postgres,1.47,163158425.6,15.20,55
1790109187.573,research-redis,0.98,8351907.84,1.56,8
1790109191.704,java-order-service,0.23,270322892.8,25.18,38
1790109191.704,java-product-service,0.23,334390886.4,31.14,43
1790109191.704,java-user-service,148.96,408210636.8,38.02,174
1790109191.704,research-postgres,2.85,162948710.4,15.18,55
1790109191.704,research-redis,1.93,7614758.912,1.42,8
1790109195.845,java-order-service,2.36,270637465.6,25.20,38
1790109195.845,java-product-service,2.58,333866598.4,31.10,43
1790109195.845,java-user-service,148.75,416389529.6,38.78,191
1790109195.845,research-postgres,1.23,163368140.8,15.21,55
1790109195.845,research-redis,0.66,7565475.84,1.41,8
1790109199.999,java-order-service,0.21,269693747.2,25.12,38
1790109199.999,java-product-service,0.25,334181171.2,31.12,43
1790109199.999,java-user-service,148.4,413558374.4,38.52,207
1790109199.999,research-postgres,1.22,162948710.4,15.18,55
1790109199.999,research-redis,0.7,7950303.232,1.48,8
1790109204.142,java-order-service,0.18,270218035.2,25.16,38
1790109204.142,java-product-service,0.23,334286028.8,31.13,43
1790109204.142,java-user-service,152.23,421317836.8,39.24,222
1790109204.142,research-postgres,1.36,163682713.6,15.25,55
1790109204.142,research-redis,0.73,7709130.752,1.44,8
1790109208.292,java-order-service,2.77,270322892.8,25.17,38
