t,service,latency_ms
1790112017.026,java-user-service,18.439
1790112017.039,java-product-service,10.729
1790112017.050,java-order-service,10.270
1790112022.067,java-user-service,7.125
1790112022.079,java-product-service,9.442
1790112022.103,java-order-service,19.305
1790112027.217,java-user-service,112.035
1790112027.228,java-product-service,8.024
1790112027.240,java-order-service,6.958
1790112032.816,java-user-service,563.258
1790112032.829,java-product-service,9.257
1790112032.862,java-order-service,28.145
1790112038.222,java-user-service,348.536
1790112038.233,java-product-service,8.200
1790112038.243,java-order-service,6.168
1790112043.428,java-user-service,175.301
1790112043.443,java-product-service,10.801
1790112043.455,java-order-service,7.023
1790112048.826,java-user-service,364.638
1790112048.839,java-product-service,7.854
1790112048.851,java-order-service,7.332
1790112054.228,java-user-service,363.548
1790112054.245,java-product-service,11.456
1790112054.261,java-order-service,11.017
1790112059.429,java-user-service,159.322
1790112059.446,java-product-service,11.286
1790112059.458,java-order-service,9.342
1790112064.915,java-user-service,447.479
1790112064.925,java-product-service,6.975
1790112064.934,java-order-service,7.394
1790112070.220,java-user-service,274.300
1790112070.233,java-product-service,8.650
1790112070.251,java-order-service,14.734
1790112075.414,java-user-service,151.534
1790112075.429,java-product-service,11.528
1790112075.441,java-order-service,7.320
1790112080.820,java-user-service,367.447
1790112080.834,java-product-service,9.208
1790112080.846,java-order-service,7.300
1790112086.325,java-user-service,476.611
1790112086.347,java-product-service,18.782
1790112086.370,java-order-service,19.340
1790112091.427,java-user-service,45.633
1790112091.439,java-product-service,6.489
1790112091.450,java-order-service,6.256
1790112097.311,java-user-service,850.568
1790112097.320,java-product-service,6.103
1790112097.332,java-order-service,7.146
1790112104.420,java-user-service,2078.290
1790112104.430,java-product-service,7.258
1790112104.441,java-order-service,6.795
1790112113.424,java-user-service,3977.271
1790112113.440,java-product-service,10.836
1790112113.451,java-order-service,7.150
1790112123.457,java-user-service,5002.810
1790112123.469,java-product-service,11.869
1790112123.482,java-order-service,8.367
1790112133.488,java-user-service,5003.799
1790112133.502,java-product-service,13.553
1790112133.518,java-order-service,13.331
1790112143.524,java-user-service,5003.582
1790112143.532,java-product-service,7.822
1790112143.544,java-order-service,7.703
1790112153.554,java-user-service,5003.415
1790112153.569,java-product-service,15.641
1790112153.588,java-order-service,14.595
1790112163.609,java-user-service,5004.170
1790112163.630,java-product-service,21.397
1790112163.642,java-order-service,7.869
1790112173.656,java-user-service,5002.884
1790112173.667,java-product-service,11.171
1790112173.686,java-order-service,13.513
1790112183.703,java-user-service,5003.797
1790112183.764,java-product-service,61.129
1790112183.778,java-order-service,10.486
1790112193.788,java-user-service,5002.550
1790112193.801,java-product-service,12.862
1790112193.820,java-order-service,17.385
1790112203.831,java-user-service,5003.668
1790112203.840,java-product-service,9.019
1790112203.851,java-order-service,6.080
1790112213.863,java-user-service,5002.293
1790112213.877,java-product-service,13.799
1790112213.889,java-order-service,9.169
1790112223.902,java-user-service,5003.378
1790112223.928,java-product-service,26.465
1790112223.940,java-order-service,9.340
1790112233.954,java-user-service,5003.183
1790112233.966,java-product-service,11.710
1790112233.978,java-order-service,7.728
