t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790097334.627,java-order-service,2.89,282066944.0,26.27,38
1790097334.627,java-product-service,5.89,374761062.4,34.90,43
1790097334.627,java-user-service,41.15,383464243.2,35.72,44
1790097334.627,research-postgres,0.47,134322585.6,12.51,43
1790097334.627,research-redis,0.62,40254832.64,7.50,8
1790097339.057,java-order-service,5.08,288672972.8,26.88,39
1790097339.057,java-product-service,6.37,375495065.6,34.97,43
1790097339.057,java-user-service,8.26,383778816.0,35.74,44
1790097339.057,research-postgres,0.36,134742016.0,12.54,43
1790097339.057,research-redis,0.95,40202403.84,7.49,8
1790097343.221,java-order-service,4.19,288882688.0,26.91,39
1790097343.221,java-product-service,6.65,375390208.0,34.96,43
1790097343.221,java-user-service,11.52,383988531.2,35.77,44
1790097343.221,research-postgres,0.46,134427443.2,12.52,43
1790097343.221,research-redis,0.61,39573258.24,7.37,8
1790097347.343,java-order-service,3.02,289197260.8,26.93,39
1790097347.343,java-product-service,1.69,376124211.2,35.03,43
1790097347.343,java-user-service,14.11,384512819.2,35.81,44
1790097347.343,research-postgres,0.29,134532300.8,12.53,43
1790097347.343,research-redis,0.82,40317747.2,7.51,8
1790097351.453,java-order-service,1.89,289616691.2,26.98,39
1790097351.453,java-product-service,2.35,375599923.2,34.98,43
1790097351.453,java-user-service,13.57,384512819.2,35.81,44
1790097351.453,research-postgres,0.2,134322585.6,12.51,43
1790097351.453,research-redis,0.77,39762001.92,7.41,8
1790097355.576,java-order-service,0.94,294125568.0,27.39,39
1790097355.576,java-product-service,2.18,376333926.4,35.05,43
1790097355.576,java-user-service,11.71,384512819.2,35.81,44
1790097355.576,research-postgres,0.24,134742016.0,12.55,43
1790097355.576,research-redis,0.82,40170946.56,7.48,8
1790097359.721,java-order-service,6.1,295488716.8,27.52,39
1790097359.721,java-product-service,8.91,376333926.4,35.05,43
1790097359.721,java-user-service,20.59,385246822.4,35.87,44
1790097359.721,research-postgres,1.67,134846873.6,12.56,43
1790097359.721,research-redis,0.69,40066088.96,7.46,8
1790097363.865,java-order-service,6.2,296222720.0,27.59,39
1790097363.865,java-product-service,5.26,376543641.6,35.07,43
1790097363.865,java-user-service,25.71,385141964.8,35.87,44
1790097363.865,research-postgres,4.22,134742016.0,12.55,44
1790097363.865,research-redis,0.71,39866859.52,7.43,8
1790097368.020,java-order-service,6.06,296956723.2,27.66,39
1790097368.020,java-product-service,3.12,376858214.4,35.10,43
1790097368.020,java-user-service,30.09,385456537.6,35.90,44
1790097368.020,research-postgres,0.58,135476019.2,12.62,43
1790097368.020,research-redis,0.61,40254832.64,7.50,8
1790097372.147,java-order-service,3.6,297900441.6,27.74,39
1790097372.147,java-product-service,4.27,377382502.4,35.15,43
1790097372.147,java-user-service,19.07,385456537.6,35.90,44
1790097372.147,research-postgres,0.49,135161446.4,12.59,43
1790097372.147,research-redis,0.68,40055603.2,7.46,8
1790097376.280,java-order-service,10.38,299997593.6,27.94,39
1790097376.280,java-product-service,2.5,377592217.6,35.17,43
1790097376.280,java-user-service,38.97,385980825.6,35.95,44
1790097376.280,research-postgres,0.52,135476019.2,12.62,43
1790097376.280,research-redis,0.63,40370176.0,7.52,8
1790097380.402,java-order-service,4.48,301151027.2,28.04,39
1790097380.402,java-product-service,4.77,378116505.6,35.22,43
1790097380.402,java-user-service,52.86,387239116.8,36.06,44
1790097380.402,research-postgres,0.48,135476019.2,12.62,43
1790097380.402,research-redis,2.06,40191918.08,7.49,8
1790097384.536,java-order-service,9.21,302199603.2,28.15,39
1790097384.536,java-product-service,6.68,378116505.6,35.22,43
1790097384.536,java-user-service,60.72,387134259.2,36.06,44
1790097384.536,research-postgres,1.39,135056588.8,12.58,43
1790097384.536,research-redis,0.53,40108032.0,7.47,8
1790097388.667,java-order-service,5.33,303562752.0,28.27,39
1790097388.667,java-product-service,5.62,384093388.8,35.77,43
1790097388.667,java-user-service,56.97,387658547.2,36.10,44
1790097388.667,research-postgres,0.74,135371161.6,12.61,43
1790097388.667,research-redis,0.46,40139489.28,7.48,8
1790097392.757,java-order-service,11.91,304611328.0,28.37,39
1790097392.757,java-product-service,5.1,381576806.4,35.54,43
1790097392.757,java-user-service,19.65,387239116.8,36.06,44
1790097392.757,research-postgres,0.68,135476019.2,12.61,43
1790097392.757,research-redis,0.74,39583744.0,7.37,8
1790097396.890,java-order-service,5.71,305345331.2,28.44,39
1790097396.890,java-product-service,4.61,381576806.4,35.53,43
1790097396.890,java-user-service,56.22,387868262.4,36.12,44
1790097396.890,research-postgres,0.75,136105164.8,12.67,43
1790097396.890,research-redis,0.57,39950745.6,7.44,8
1790097401.015,java-order-service,9.08,307547340.8,28.64,39
1790097401.015,java-product-service,4.57,382310809.6,35.61,43
1790097401.015,java-user-service,89.03,387553689.6,36.09,44
1790097401.015,research-postgres,0.98,136000307.2,12.67,43
1790097401.015,research-redis,1.76,40265318.4,7.50,8
1790097405.136,java-order-service,9.3,308910489.6,28.77,39
1790097405.136,java-product-service,6.73,382625382.4,35.64,43
1790097405.136,java-user-service,78.88,388602265.6,36.19,44
1790097405.136,research-postgres,1.07,136524595.2,12.72,43
1790097405.136,research-redis,0.53,39887831.04,7.43,8
1790097410.243,java-order-service,6.21,310063923.2,28.88,39
1790097410.243,java-product-service,6.52,383149670.4,35.68,43
1790097410.243,java-user-service,92.59,389021696.0,36.23,44
1790097410.243,research-postgres,1.91,136419737.6,12.70,43
1790097410.243,research-redis,0.52,40328232.96,7.51,8
1790097414.344,java-order-service,11.73,311112499.2,28.97,39
1790097414.344,java-product-service,6.27,385456537.6,35.90,43
1790097414.344,java-user-service,98.74,389755699.2,36.29,44
1790097414.344,research-postgres,1.35,135895449.6,12.66,43
1790097414.344,research-redis,0.6,40307261.44,7.51,8
1790097418.426,java-order-service,9.52,312580505.6,29.11,39
1790097418.426,java-product-service,4.78,385875968.0,35.94,43
1790097418.426,java-user-service,103.68,389860556.8,36.31,44
1790097418.426,research-postgres,1.25,136419737.6,12.71,43
1790097418.426,research-redis,0.53,39982202.88,7.45,8
1790097422.529,java-order-service,5.4,312580505.6,29.11,39
1790097422.529,java-product-service,3.07,382625382.4,35.64,43
1790097422.529,java-user-service,79.82,390070272.0,36.33,44
1790097422.529,research-postgres,0.84,136734310.4,12.73,43
1790097422.529,research-redis,0.47,39940259.84,7.44,8
1790097426.682,java-order-service,7.85,314363084.8,29.28,39
1790097426.682,java-product-service,6.29,385456537.6,35.90,43
1790097426.682,java-user-service,103.66,389965414.4,36.31,44
1790097426.682,research-postgres,1.36,136210022.4,12.69,43
1790097426.682,research-redis,0.72,39919288.32,7.43,8
1790097430.780,java-order-service,5.3,314363084.8,29.28,39
1790097430.780,java-product-service,3.97,389021696.0,36.23,49
1790097430.780,java-user-service,110.52,389965414.4,36.32,44
1790097430.780,research-postgres,1.27,136524595.2,12.72,43
1790097430.780,research-redis,1.83,39898316.8,7.43,8
1790097434.890,java-order-service,7.12,315306803.2,29.37,39
1790097434.890,java-product-service,3.04,390699417.6,36.39,43
1790097434.890,java-user-service,98.09,396361728.0,36.92,44
1790097434.890,research-postgres,1.1,136314880.0,12.70,43
1790097434.890,research-redis,0.65,39950745.6,7.44,8
1790097439.002,java-order-service,10.82,315306803.2,29.37,39
1790097439.002,java-product-service,7.06,394684006.4,36.76,43
