t,k6_cpu_percent_of_one_core,k6_rss_bytes
1790100284.406,nan,56000512.0
1790100288.525,0.7241908723340922,58376192.0
1790100292.668,0.7196106629168644,60030976.0
1790100296.835,0.7236364981039417,61751296.0
1790100300.982,0.7253347844357734,63619072.0
1790100305.114,1.9316594879446984,61964288.0
1790100309.256,1.2090596221515721,62095360.0
1790100313.395,0.9648673084424884,62324736.0
1790100317.537,1.4271911359502354,60129280.0
1790100321.745,2.182818784758941,61390848.0
1790100325.868,1.4533538919531286,61669376.0
1790100329.992,1.9405605298863804,62177280.0
1790100334.110,2.4191158824210355,62455808.0
1790100338.245,2.191044971905799,62423040.0
1790100342.359,2.6669421239665363,63094784.0
1790100346.478,2.1882028786468437,63438848.0
1790100350.598,2.9078466941904506,63913984.0
1790100354.719,2.432329568483007,64356352.0
1790100358.836,3.1649028071109413,64634880.0
1790100362.944,2.6541078451292446,65110016.0
1790100367.078,3.4101078128295668,65503232.0
1790100371.185,2.6536318716428697,65568768.0
1790100375.330,3.151855267252137,70238208.0
1790100379.459,2.6729611747709177,70467584.0
1790100383.570,2.9290826149420712,70631424.0
1790100387.666,4.1496387530406516,71614464.0
1790100391.762,2.9053783933743174,71680000.0
1790100395.897,3.629297818979521,72450048.0
1790100400.036,2.9017743772199345,70746112.0
1790100404.162,3.367413875267443,72171520.0
1790100408.329,2.4122803662604544,72450048.0
1790100412.464,2.641841168106867,72548352.0
1790100416.638,3.3892338616001565,74104832.0
1790100420.759,2.6630081961767615,74153984.0
1790100424.895,2.406226362217528,74350592.0
1790100429.054,3.3889267647000296,74874880.0
1790100433.186,2.646433307102649,75235328.0
1790100437.333,3.6425033526144466,76169216.0
1790100441.461,2.641451546869607,76152832.0
1790100445.624,2.416351975092065,76169216.0
1790100449.759,3.8587808357659354,77578240.0
1790100453.901,2.164638203731671,77840384.0
1790100458.064,2.8894155328009994,77873152.0
1790100462.211,3.3661267091244604,79298560.0
1790100466.372,2.646022602371391,79478784.0
1790100470.532,2.1810402610402577,79364096.0
1790100474.658,3.146061119471609,79872000.0
1790100478.792,2.4168069886180246,79822848.0
1790100482.933,2.392803580068434,79790080.0
1790100487.106,2.1875424701687414,79265792.0
1790100491.223,2.652481417332173,80379904.0
1790100495.374,0.9582757039711592,80412672.0
1790100499.548,0.0,0.0
