t,service,latency_ms,status
1790103155.680,java-user-service,9.993,200
1790103155.686,java-product-service,6.308,200
1790103155.693,java-order-service,6.219,200
1790103156.204,java-user-service,10.512,200
1790103156.210,java-product-service,5.726,200
1790103156.218,java-order-service,8.134,200
1790103156.738,java-user-service,9.985,200
1790103156.745,java-product-service,6.337,200
1790103156.750,java-order-service,5.672,200
1790103157.270,java-user-service,10.997,200
1790103157.279,java-product-service,8.327,200
1790103157.285,java-order-service,6.441,200
1790103157.798,java-user-service,2.982,200
1790103157.800,java-product-service,2.396,200
1790103157.803,java-order-service,2.827,200
1790103158.321,java-user-service,11.062,200
1790103158.328,java-product-service,7.580,200
1790103158.336,java-order-service,7.863,200
1790103158.865,java-user-service,20.586,200
1790103158.872,java-product-service,6.943,200
1790103158.878,java-order-service,5.988,200
1790103159.399,java-user-service,10.945,200
1790103159.407,java-product-service,8.086,200
1790103159.415,java-order-service,8.392,200
1790103159.931,java-user-service,6.093,200
1790103159.935,java-product-service,3.617,200
1790103159.939,java-order-service,3.889,200
1790103160.460,java-user-service,11.182,200
1790103160.468,java-product-service,7.703,200
1790103160.474,java-order-service,6.177,200
1790103160.986,java-user-service,10.998,200
1790103160.994,java-product-service,8.449,200
1790103161.002,java-order-service,7.936,200
1790103161.513,java-user-service,10.228,200
1790103161.521,java-product-service,7.969,200
1790103161.528,java-order-service,7.499,200
1790103162.042,java-user-service,10.907,200
1790103162.051,java-product-service,8.202,200
1790103162.058,java-order-service,7.590,200
1790103162.570,java-user-service,10.757,200
1790103162.578,java-product-service,7.889,200
1790103162.584,java-order-service,6.061,200
1790103163.098,java-user-service,11.337,200
1790103163.107,java-product-service,8.357,200
1790103163.112,java-order-service,5.734,200
1790103163.633,java-user-service,11.379,200
1790103163.641,java-product-service,8.118,200
1790103163.649,java-order-service,7.373,200
1790103164.172,java-user-service,12.393,200
1790103164.180,java-product-service,8.357,200
1790103164.187,java-order-service,7.164,200
1790103164.700,java-user-service,10.802,200
1790103164.708,java-product-service,8.056,200
1790103164.714,java-order-service,5.235,200
1790103165.231,java-user-service,11.012,200
1790103165.239,java-product-service,7.675,200
1790103165.246,java-order-service,7.361,200
1790103165.759,java-user-service,5.386,200
1790103165.764,java-product-service,4.622,200
1790103165.768,java-order-service,4.452,200
1790103166.279,java-user-service,4.823,200
1790103166.282,java-product-service,2.852,200
1790103166.284,java-order-service,2.571,200
1790103166.805,java-user-service,10.749,200
1790103166.813,java-product-service,7.800,200
1790103166.819,java-order-service,5.864,200
1790103167.336,java-user-service,10.926,200
