t,service,latency_ms
1790110574.784,java-user-service,10.910
1790110574.795,java-product-service,8.825
1790110574.803,java-order-service,7.457
1790110579.836,java-user-service,21.404
1790110579.855,java-product-service,13.883
1790110579.869,java-order-service,10.174
1790110584.890,java-user-service,18.599
1790110584.910,java-product-service,13.919
1790110584.932,java-order-service,16.754
1790110589.959,java-user-service,18.118
1790110589.980,java-product-service,14.062
1790110590.005,java-order-service,21.644
1790110595.031,java-user-service,19.675
1790110595.044,java-product-service,10.700
1790110595.052,java-order-service,6.427
1790110600.074,java-user-service,14.222
1790110600.088,java-product-service,8.511
1790110600.098,java-order-service,6.950
1790110605.116,java-user-service,9.258
1790110605.128,java-product-service,6.975
1790110605.139,java-order-service,6.238
1790110610.158,java-user-service,7.192
1790110610.170,java-product-service,6.039
1790110610.180,java-order-service,5.639
1790110615.194,java-user-service,6.048
1790110615.205,java-product-service,5.151
1790110615.214,java-order-service,4.760
1790110620.230,java-user-service,6.251
1790110620.240,java-product-service,4.973
1790110620.249,java-order-service,4.513
1790110625.263,java-user-service,5.591
1790110625.271,java-product-service,4.640
1790110625.281,java-order-service,5.666
1790110630.333,java-user-service,49.362
1790110630.342,java-product-service,6.593
1790110630.352,java-order-service,6.894
1790110635.361,java-user-service,5.647
1790110635.369,java-product-service,5.047
1790110635.377,java-order-service,5.277
1790110640.401,java-user-service,17.317
1790110640.416,java-product-service,10.373
1790110640.425,java-order-service,6.333
1790110645.450,java-user-service,16.493
1790110645.463,java-product-service,9.736
1790110645.476,java-order-service,8.065
1790110650.498,java-user-service,16.465
1790110650.514,java-product-service,12.165
1790110650.527,java-order-service,8.781
1790110655.548,java-user-service,16.240
1790110655.563,java-product-service,11.999
1790110655.578,java-order-service,9.893
1790110660.604,java-user-service,14.680
1790110660.618,java-product-service,9.120
1790110660.627,java-order-service,6.692
1790110665.656,java-user-service,17.488
1790110665.669,java-product-service,9.163
1790110665.680,java-order-service,7.007
1790110670.703,java-user-service,17.594
1790110670.717,java-product-service,10.818
1790110670.726,java-order-service,6.742
1790110675.742,java-user-service,11.357
1790110675.752,java-product-service,6.669
1790110675.761,java-order-service,6.475
1790110680.786,java-user-service,15.613
1790110680.800,java-product-service,10.956
1790110680.813,java-order-service,8.181
1790110685.831,java-user-service,6.840
1790110685.842,java-product-service,5.377
1790110685.852,java-order-service,5.524
1790110690.865,java-user-service,8.329
1790110690.878,java-product-service,6.286
1790110690.887,java-order-service,6.080
1790110695.898,java-user-service,5.640
1790110695.909,java-product-service,4.461
1790110695.919,java-order-service,4.961
1790110700.936,java-user-service,5.014
1790110700.943,java-product-service,4.126
1790110700.951,java-order-service,4.865
1790110705.967,java-user-service,5.230
1790110705.973,java-product-service,5.095
1790110705.980,java-order-service,4.449
1790110711.000,java-user-service,9.294
1790110711.008,java-product-service,4.794
1790110711.015,java-order-service,4.816
1790110716.038,java-user-service,15.437
1790110716.056,java-product-service,11.903
1790110716.068,java-order-service,8.638
1790110721.083,java-user-service,7.197
1790110721.095,java-product-service,5.768
1790110721.105,java-order-service,5.834
1790110726.131,java-user-service,13.439
1790110726.152,java-product-service,16.849
1790110726.163,java-order-service,6.890
1790110731.181,java-user-service,11.915
1790110731.191,java-product-service,5.997
1790110731.201,java-order-service,5.292
1790110736.219,java-user-service,13.139
1790110736.234,java-product-service,10.574
1790110736.248,java-order-service,8.701
1790110741.266,java-user-service,10.742
1790110741.278,java-product-service,7.055
1790110741.289,java-order-service,5.999
1790110746.315,java-user-service,14.354
1790110746.331,java-product-service,11.507
1790110746.344,java-order-service,9.569
1790110751.370,java-user-service,15.072
1790110751.388,java-product-service,10.979
1790110751.402,java-order-service,10.389
1790110756.425,java-user-service,11.325
1790110756.453,java-product-service,20.514
1790110756.466,java-order-service,11.214
1790110761.490,java-user-service,11.917
1790110761.504,java-product-service,8.735
1790110761.518,java-order-service,8.011
1790110766.540,java-user-service,9.142
1790110766.553,java-product-service,7.016
1790110766.565,java-order-service,6.975
1790110771.576,java-user-service,4.990
1790110771.585,java-product-service,3.826
1790110771.593,java-order-service,3.548
1790110776.610,java-user-service,5.258
1790110776.619,java-product-service,3.779
1790110776.628,java-order-service,4.083
1790110781.638,java-user-service,4.976
1790110781.646,java-product-service,4.957
1790110781.655,java-order-service,4.858
1790110786.730,java-user-service,69.409
1790110786.740,java-product-service,7.037
1790110786.750,java-order-service,7.573
1790110791.771,java-user-service,15.119
1790110791.784,java-product-service,9.641
1790110791.798,java-order-service,11.329
1790110796.824,java-user-service,14.577
1790110796.837,java-product-service,9.361
1790110796.851,java-order-service,10.084
1790110801.869,java-user-service,12.234
1790110801.883,java-product-service,10.261
1790110801.897,java-order-service,8.890
1790110806.923,java-user-service,13.749
1790110806.938,java-product-service,10.593
1790110806.953,java-order-service,10.908
1790110811.980,java-user-service,14.237
1790110811.995,java-product-service,11.625
1790110812.008,java-order-service,9.587
1790110817.026,java-user-service,13.788
1790110817.039,java-product-service,10.437
1790110817.053,java-order-service,8.556
