t,service,latency_ms,status
1790113272.463,java-user-service,6.223,200
1790113272.468,java-product-service,4.895,200
1790113272.476,java-order-service,7.935,200
1790113272.998,java-user-service,13.007,200
1790113273.007,java-product-service,8.995,200
1790113273.014,java-order-service,7.028,200
1790113273.528,java-user-service,11.816,200
1790113273.535,java-product-service,7.709,200
1790113273.541,java-order-service,5.596,200
1790113274.063,java-user-service,11.473,200
1790113274.071,java-product-service,8.170,200
1790113274.077,java-order-service,6.348,200
1790113274.590,java-user-service,3.450,200
1790113274.593,java-product-service,2.686,200
1790113274.596,java-order-service,3.565,200
1790113275.117,java-user-service,10.972,200
1790113275.125,java-product-service,7.522,200
1790113275.133,java-order-service,8.362,200
1790113275.647,java-user-service,11.216,200
1790113275.655,java-product-service,8.189,200
1790113275.663,java-order-service,8.124,200
1790113276.175,java-user-service,4.748,200
1790113276.178,java-product-service,3.078,200
1790113276.181,java-order-service,3.268,200
1790113276.693,java-user-service,6.159,200
1790113276.697,java-product-service,3.489,200
1790113276.701,java-order-service,4.067,200
1790113277.212,java-user-service,10.461,200
1790113277.220,java-product-service,7.957,200
1790113277.227,java-order-service,7.211,200
1790113277.745,java-user-service,7.841,200
1790113277.751,java-product-service,5.448,200
1790113277.756,java-order-service,5.339,200
1790113278.270,java-user-service,9.655,200
1790113278.278,java-product-service,7.696,200
1790113278.285,java-order-service,7.198,200
1790113278.799,java-user-service,7.867,200
1790113278.805,java-product-service,5.738,200
1790113278.810,java-order-service,5.091,200
1790113279.336,java-user-service,15.639,200
1790113279.346,java-product-service,10.609,200
1790113279.351,java-order-service,4.538,200
1790113279.861,java-user-service,9.188,200
1790113279.868,java-product-service,6.816,200
1790113279.874,java-order-service,5.901,200
1790113280.395,java-user-service,10.461,200
1790113280.403,java-product-service,7.806,200
1790113280.411,java-order-service,8.248,200
1790113280.929,java-user-service,11.795,200
1790113280.937,java-product-service,7.794,200
1790113280.943,java-order-service,5.698,200
1790113281.460,java-user-service,10.070,200
1790113281.467,java-product-service,7.423,200
1790113281.473,java-order-service,5.637,200
1790113281.982,java-user-service,7.045,200
1790113281.987,java-product-service,4.581,200
1790113281.992,java-order-service,5.282,200
1790113282.503,java-user-service,4.914,200
1790113282.507,java-product-service,3.530,200
1790113282.510,java-order-service,3.763,200
1790113283.027,java-user-service,12.448,200
1790113283.036,java-product-service,8.223,200
1790113283.043,java-order-service,6.997,200
1790113283.551,java-user-service,5.079,200
1790113283.556,java-product-service,4.372,200
1790113283.562,java-order-service,6.203,200
1790113284.078,java-user-service,14.361,200
1790113284.089,java-product-service,10.636,200
1790113284.099,java-order-service,9.600,200
1790113284.611,java-user-service,10.958,200
1790113284.619,java-product-service,8.318,200
1790113284.628,java-order-service,8.093,200
1790113285.142,java-user-service,11.466,200
1790113285.149,java-product-service,7.585,200
1790113285.156,java-order-service,6.722,200
1790113285.671,java-user-service,12.112,200
1790113285.680,java-product-service,9.104,200
1790113285.687,java-order-service,7.116,200
1790113286.198,java-user-service,10.918,200
1790113286.207,java-product-service,8.758,200
1790113286.214,java-order-service,6.927,200
1790113286.724,java-user-service,8.672,200
1790113286.732,java-product-service,7.697,200
1790113286.739,java-order-service,6.585,200
1790113287.255,java-user-service,9.407,200
1790113287.262,java-product-service,7.689,200
1790113287.270,java-order-service,8.054,200
1790113287.786,java-user-service,8.492,200
1790113287.793,java-product-service,7.071,200
1790113287.799,java-order-service,5.860,200
1790113288.311,java-user-service,10.410,200
1790113288.319,java-product-service,7.847,200
1790113288.324,java-order-service,5.138,200
1790113288.834,java-user-service,8.842,200
1790113288.842,java-product-service,8.054,200
1790113288.850,java-order-service,8.553,200
1790113289.368,java-user-service,9.734,200
1790113289.376,java-product-service,8.203,200
1790113289.383,java-order-service,6.497,200
1790113289.899,java-user-service,9.241,200
1790113289.907,java-product-service,7.568,200
1790113289.914,java-order-service,7.451,200
1790113290.434,java-user-service,10.130,200
1790113290.442,java-product-service,7.711,200
1790113290.449,java-order-service,7.335,200
1790113290.963,java-user-service,8.749,200
1790113290.971,java-product-service,7.830,200
1790113290.979,java-order-service,7.493,200
1790113291.495,java-user-service,11.074,200
1790113291.502,java-product-service,7.108,200
1790113291.508,java-order-service,5.415,200
1790113292.018,java-user-service,10.185,200
1790113292.038,java-product-service,19.259,200
1790113292.044,java-order-service,5.987,200
1790113292.557,java-user-service,6.988,200
1790113292.561,java-product-service,3.912,200
1790113292.565,java-order-service,4.241,200
1790113293.071,java-user-service,5.216,200
1790113293.075,java-product-service,3.527,200
1790113293.080,java-order-service,4.800,200
1790113293.591,java-user-service,5.276,200
1790113293.594,java-product-service,3.427,200
1790113293.598,java-order-service,3.548,200
1790113294.111,java-user-service,8.807,200
1790113294.118,java-product-service,7.692,200
1790113294.125,java-order-service,6.903,200
1790113294.634,java-user-service,5.289,200
1790113294.638,java-product-service,3.748,200
1790113294.642,java-order-service,4.192,200
1790113295.156,java-user-service,11.016,200
1790113295.165,java-product-service,9.439,200
1790113295.172,java-order-service,6.561,200
1790113295.684,java-user-service,11.101,200
1790113295.692,java-product-service,7.755,200
1790113295.699,java-order-service,7.039,200
1790113296.212,java-user-service,11.316,200
1790113296.220,java-product-service,8.097,200
1790113296.227,java-order-service,6.920,200
1790113296.744,java-user-service,10.544,200
1790113296.752,java-product-service,7.704,200
1790113296.760,java-order-service,7.984,200
1790113297.277,java-user-service,6.453,200
1790113297.281,java-product-service,4.241,200
1790113297.286,java-order-service,5.055,200
1790113297.800,java-user-service,7.217,200
1790113297.805,java-product-service,4.808,200
1790113297.808,java-order-service,3.913,200
1790113298.321,java-user-service,9.026,200
1790113298.329,java-product-service,7.612,200
1790113298.337,java-order-service,8.257,200
1790113298.850,java-user-service,7.709,200
1790113298.855,java-product-service,5.677,200
1790113298.861,java-order-service,5.548,200
1790113299.380,java-user-service,10.534,200
1790113299.391,java-product-service,10.962,200
1790113299.398,java-order-service,7.238,200
1790113299.913,java-user-service,9.828,200
1790113299.921,java-product-service,8.218,200
1790113299.929,java-order-service,8.238,200
1790113300.438,java-user-service,8.200,200
1790113300.445,java-product-service,7.163,200
1790113300.453,java-order-service,7.076,200
1790113300.970,java-user-service,9.578,200
1790113300.977,java-product-service,7.558,200
1790113300.986,java-order-service,8.324,200
1790113301.500,java-user-service,10.655,200
1790113301.509,java-product-service,8.201,200
1790113301.516,java-order-service,7.201,200
1790113302.032,java-user-service,6.048,200
1790113302.036,java-product-service,4.232,200
1790113302.042,java-order-service,5.030,200
1790113302.556,java-user-service,4.133,200
1790113302.559,java-product-service,2.981,200
1790113302.562,java-order-service,3.282,200
1790113303.077,java-user-service,8.234,200
1790113303.082,java-product-service,4.126,200
1790113303.086,java-order-service,4.280,200
1790113303.607,java-user-service,10.898,200
1790113303.615,java-product-service,8.541,200
1790113303.624,java-order-service,8.528,200
1790113304.138,java-user-service,4.587,200
1790113304.141,java-product-service,3.490,200
1790113304.145,java-order-service,3.216,200
1790113304.665,java-user-service,10.375,200
1790113304.673,java-product-service,7.792,200
1790113304.682,java-order-service,9.380,200
1790113305.187,java-user-service,4.596,200
1790113305.190,java-product-service,2.626,200
1790113305.193,java-order-service,3.125,200
1790113305.702,java-user-service,7.592,200
1790113305.707,java-product-service,5.110,200
1790113305.712,java-order-service,5.522,200
1790113306.227,java-user-service,4.231,200
1790113306.230,java-product-service,3.267,200
1790113306.234,java-order-service,4.000,200
1790113306.740,java-user-service,4.591,200
1790113306.744,java-product-service,3.700,200
1790113306.749,java-order-service,4.874,200
1790113307.255,java-user-service,6.099,200
1790113307.260,java-product-service,4.974,200
1790113307.264,java-order-service,3.895,200
1790113307.775,java-user-service,3.595,200
1790113307.780,java-product-service,5.542,200
1790113307.784,java-order-service,3.296,200
1790113308.295,java-user-service,5.421,200
1790113308.300,java-product-service,4.627,200
1790113308.306,java-order-service,6.238,200
1790113308.818,java-user-service,5.079,200
1790113308.822,java-product-service,3.689,200
1790113308.826,java-order-service,4.205,200
1790113309.341,java-user-service,5.709,200
1790113309.345,java-product-service,3.962,200
1790113309.349,java-order-service,3.752,200
1790113309.861,java-user-service,3.596,200
1790113309.864,java-product-service,2.608,200
1790113309.867,java-order-service,3.186,200
1790113310.376,java-user-service,4.249,200
1790113310.379,java-product-service,3.569,200
1790113310.383,java-order-service,3.748,200
1790113310.894,java-user-service,3.486,200
1790113310.897,java-product-service,2.312,200
1790113310.899,java-order-service,2.505,200
1790113311.409,java-user-service,3.819,200
1790113311.412,java-product-service,2.256,200
1790113311.414,java-order-service,2.571,200
1790113311.926,java-user-service,5.155,200
1790113311.929,java-product-service,3.129,200
1790113311.932,java-order-service,3.563,200
1790113312.437,java-user-service,3.885,200
1790113312.440,java-product-service,2.753,200
1790113312.443,java-order-service,3.472,200
1790113312.949,java-user-service,3.977,200
1790113312.952,java-product-service,3.053,200
1790113312.955,java-order-service,3.219,200
1790113313.461,java-user-service,3.260,200
1790113313.463,java-product-service,2.262,200
1790113313.466,java-order-service,2.528,200
1790113313.973,java-user-service,3.558,200
1790113313.976,java-product-service,2.347,200
1790113313.979,java-order-service,3.030,200
1790113314.488,java-user-service,3.844,200
1790113314.490,java-product-service,2.723,200
1790113314.494,java-order-service,3.014,200
1790113315.005,java-user-service,4.287,200
1790113315.008,java-product-service,2.881,200
1790113315.011,java-order-service,3.329,200
1790113315.523,java-user-service,5.127,200
1790113315.527,java-product-service,3.688,200
1790113315.531,java-order-service,4.237,200
1790113316.035,java-user-service,3.311,200
1790113316.038,java-product-service,3.102,200
1790113316.041,java-order-service,3.310,200
1790113316.555,java-user-service,5.118,200
1790113316.558,java-product-service,3.611,200
1790113316.566,java-order-service,7.270,200
1790113317.071,java-user-service,4.042,200
1790113317.074,java-product-service,2.597,200
1790113317.077,java-order-service,3.454,200
1790113317.592,java-user-service,5.780,200
1790113317.597,java-product-service,4.563,200
1790113317.605,java-order-service,8.347,200
1790113318.119,java-user-service,5.407,200
1790113318.124,java-product-service,4.660,200
1790113318.127,java-order-service,3.891,200
1790113318.632,java-user-service,2.904,200
1790113318.634,java-product-service,2.081,200
1790113318.636,java-order-service,2.472,200
1790113319.146,java-user-service,7.731,200
1790113319.150,java-product-service,4.363,200
1790113319.155,java-order-service,5.443,200
1790113319.664,java-user-service,3.090,200
1790113319.666,java-product-service,2.151,200
1790113319.668,java-order-service,2.203,200
1790113320.178,java-user-service,5.677,200
1790113320.182,java-product-service,4.087,200
1790113320.186,java-order-service,4.612,200
1790113320.690,java-user-service,2.788,200
1790113320.692,java-product-service,2.259,200
1790113320.696,java-order-service,3.173,200
1790113321.208,java-user-service,2.909,200
1790113321.210,java-product-service,2.440,200
1790113321.213,java-order-service,2.452,200
1790113321.722,java-user-service,4.400,200
1790113321.724,java-product-service,2.267,200
1790113321.727,java-order-service,2.758,200
1790113322.231,java-user-service,3.478,200
1790113322.235,java-product-service,3.666,200
1790113322.238,java-order-service,3.664,200
1790113322.756,java-user-service,7.289,200
1790113322.758,java-product-service,2.533,200
1790113322.761,java-order-service,3.205,200
1790113323.273,java-user-service,3.588,200
1790113323.276,java-product-service,2.390,200
1790113323.279,java-order-service,2.864,200
1790113323.790,java-user-service,6.220,200
1790113323.794,java-product-service,3.692,200
1790113323.798,java-order-service,4.117,200
1790113324.302,java-user-service,3.520,200
1790113324.304,java-product-service,2.423,200
1790113324.308,java-order-service,3.346,200
1790113324.818,java-user-service,3.633,200
1790113324.821,java-product-service,2.130,200
1790113324.823,java-order-service,2.599,200
1790113325.350,java-user-service,22.098,200
1790113325.353,java-product-service,3.497,200
1790113325.357,java-order-service,3.323,200
