t,service,latency_ms,status
1790097590.869,java-user-service,7.047,200
1790097590.875,java-product-service,5.740,200
1790097590.881,java-order-service,6.416,200
1790097591.405,java-user-service,13.876,200
1790097591.414,java-product-service,9.122,200
1790097591.419,java-order-service,5.723,200
1790097591.938,java-user-service,14.146,200
1790097591.948,java-product-service,10.135,200
1790097591.954,java-order-service,6.042,200
1790097592.471,java-user-service,9.898,200
1790097592.480,java-product-service,9.458,200
1790097592.487,java-order-service,6.292,200
1790097592.997,java-user-service,3.673,200
1790097593.000,java-product-service,2.868,200
1790097593.004,java-order-service,3.825,200
1790097593.516,java-user-service,3.748,200
1790097593.519,java-product-service,2.766,200
1790097593.522,java-order-service,2.685,200
1790097594.034,java-user-service,4.261,200
1790097594.038,java-product-service,4.002,200
1790097594.043,java-order-service,4.517,200
1790097594.554,java-user-service,3.524,200
1790097594.556,java-product-service,2.513,200
1790097594.559,java-order-service,2.638,200
1790097595.072,java-user-service,2.938,200
1790097595.075,java-product-service,3.025,200
1790097595.078,java-order-service,3.139,200
1790097595.593,java-user-service,4.121,200
1790097595.596,java-product-service,3.379,200
1790097595.599,java-order-service,2.573,200
1790097596.109,java-user-service,3.078,200
1790097596.112,java-product-service,2.457,200
1790097596.114,java-order-service,2.549,200
1790097596.639,java-user-service,17.500,200
1790097596.644,java-product-service,4.775,200
1790097596.649,java-order-service,4.757,200
1790097597.161,java-user-service,3.102,200
1790097597.164,java-product-service,2.938,200
1790097597.167,java-order-service,3.250,200
1790097597.733,java-user-service,57.122,200
1790097597.739,java-product-service,5.633,200
1790097597.744,java-order-service,5.529,200
1790097598.250,java-user-service,4.548,200
1790097598.254,java-product-service,4.246,200
1790097598.258,java-order-service,3.521,200
1790097598.949,java-user-service,183.269,200
1790097598.958,java-product-service,9.171,200
1790097598.963,java-order-service,4.361,200
1790097599.537,java-user-service,68.674,200
1790097599.546,java-product-service,8.783,200
1790097599.552,java-order-service,5.528,200
1790097600.248,java-user-service,185.965,200
1790097600.254,java-product-service,6.514,200
1790097600.292,java-order-service,37.375,200
1790097600.854,java-user-service,53.524,200
1790097600.860,java-product-service,5.408,200
1790097600.864,java-order-service,4.006,200
1790097601.445,java-user-service,72.231,200
1790097601.455,java-product-service,9.794,200
1790097601.458,java-order-service,3.802,200
1790097602.041,java-user-service,75.123,200
1790097602.048,java-product-service,6.908,200
1790097602.051,java-order-service,3.110,200
1790097602.848,java-user-service,287.337,200
1790097602.863,java-product-service,15.615,200
1790097602.868,java-order-service,4.207,200
1790097603.652,java-user-service,277.800,200
1790097603.657,java-product-service,5.744,200
1790097603.661,java-order-service,3.864,200
1790097604.352,java-user-service,183.863,200
1790097604.357,java-product-service,4.939,200
1790097604.360,java-order-service,3.104,200
1790097605.162,java-user-service,293.085,200
1790097605.168,java-product-service,6.311,200
1790097605.173,java-order-service,4.238,200
1790097606.051,java-user-service,370.520,200
1790097606.061,java-product-service,10.220,200
1790097606.066,java-order-service,5.264,200
1790097606.656,java-user-service,81.204,200
1790097606.660,java-product-service,4.723,200
1790097606.664,java-order-service,3.690,200
1790097607.551,java-user-service,377.286,200
1790097607.560,java-product-service,8.528,200
1790097607.564,java-order-service,3.590,200
1790097608.453,java-user-service,380.660,200
1790097608.461,java-product-service,7.300,200
1790097608.464,java-order-service,3.086,200
1790097609.547,java-user-service,581.438,200
1790097609.554,java-product-service,7.269,200
1790097609.558,java-order-service,3.985,200
1790097610.345,java-user-service,279.743,200
1790097610.354,java-product-service,8.727,200
1790097610.358,java-order-service,3.793,200
1790097611.563,java-user-service,701.649,200
1790097611.567,java-product-service,3.978,200
1790097611.571,java-order-service,3.197,200
1790097612.962,java-user-service,887.409,200
1790097612.968,java-product-service,5.521,200
1790097612.972,java-order-service,4.057,200
1790097614.063,java-user-service,581.186,200
1790097614.069,java-product-service,5.731,200
1790097614.072,java-order-service,3.316,200
1790097615.454,java-user-service,879.358,200
1790097615.460,java-product-service,5.766,200
1790097615.464,java-order-service,3.956,200
1790097616.163,java-user-service,195.476,200
1790097616.167,java-product-service,4.070,200
1790097616.170,java-order-service,3.180,200
1790097618.253,java-user-service,1575.866,200
1790097618.259,java-product-service,5.903,200
1790097618.262,java-order-service,2.599,200
1790097619.061,java-user-service,295.855,200
1790097619.069,java-product-service,8.349,200
1790097619.073,java-order-service,4.255,200
1790097621.353,java-user-service,1769.137,200
1790097621.364,java-product-service,11.485,200
1790097621.369,java-order-service,5.065,200
1790097622.054,java-user-service,174.563,200
1790097622.059,java-product-service,5.345,200
1790097622.063,java-order-service,3.171,200
1790097624.462,java-user-service,1894.076,200
1790097624.468,java-product-service,6.559,200
1790097624.473,java-order-service,4.227,200
1790097628.358,java-user-service,3382.045,200
1790097628.363,java-product-service,5.192,200
1790097628.366,java-order-service,3.095,200
1790097633.864,java-user-service,4989.432,200
1790097633.871,java-product-service,6.799,200
1790097633.877,java-order-service,6.075,200
1790097642.662,java-user-service,8275.207,200
1790097642.668,java-product-service,5.734,200
1790097642.674,java-order-service,6.214,200
1790097645.263,java-user-service,2079.122,200
1790097645.269,java-product-service,6.802,200
1790097645.274,java-order-service,4.313,200
1790097648.654,java-user-service,2873.598,200
1790097648.668,java-product-service,14.246,200
1790097648.672,java-order-service,3.356,200
1790097651.860,java-user-service,2678.462,200
1790097651.870,java-product-service,10.346,200
1790097651.875,java-order-service,4.500,200
1790097655.468,java-user-service,3087.580,200
1790097655.474,java-product-service,6.284,200
1790097655.478,java-order-service,3.632,200
1790097661.262,java-user-service,5274.084,200
1790097661.269,java-product-service,7.201,200
1790097661.275,java-order-service,5.171,200
1790097668.354,java-user-service,6571.843,200
1790097668.366,java-product-service,11.925,200
1790097668.371,java-order-service,4.823,200
1790097673.169,java-user-service,4294.345,200
1790097673.175,java-product-service,5.447,200
1790097673.178,java-order-service,3.304,200
1790097683.685,java-user-service,10002.541,0
1790097683.692,java-product-service,6.260,200
1790097683.696,java-order-service,4.502,200
1790097694.204,java-user-service,10003.527,0
1790097694.215,java-product-service,10.859,200
1790097694.222,java-order-service,6.762,200
1790097704.726,java-user-service,10002.650,0
1790097704.736,java-product-service,9.894,200
1790097704.742,java-order-service,6.091,200
1790097715.256,java-user-service,10003.962,0
1790097715.270,java-product-service,14.314,200
1790097715.278,java-order-service,7.252,200
1790097725.786,java-user-service,10004.115,0
1790097725.794,java-product-service,8.425,200
1790097725.802,java-order-service,7.858,200
1790097736.315,java-user-service,10002.661,0
1790097736.326,java-product-service,10.818,200
1790097736.335,java-order-service,8.949,200
1790097746.845,java-user-service,10004.021,0
1790097746.871,java-product-service,25.644,200
1790097746.877,java-order-service,5.717,200
1790097757.381,java-user-service,10003.376,0
1790097757.386,java-product-service,4.751,200
1790097757.390,java-order-service,3.755,200
1790097767.903,java-user-service,10003.024,0
1790097767.909,java-product-service,5.389,200
1790097767.914,java-order-service,4.650,200
1790097778.419,java-user-service,10003.724,0
1790097778.427,java-product-service,7.583,200
1790097778.432,java-order-service,4.648,200
1790097788.943,java-user-service,10003.031,0
1790097788.959,java-product-service,15.790,200
1790097788.965,java-order-service,6.183,200
1790097799.468,java-user-service,10001.117,0
1790097799.478,java-product-service,9.601,200
1790097799.481,java-order-service,3.591,200
1790097809.996,java-user-service,10004.226,0
1790097810.003,java-product-service,6.902,200
1790097810.008,java-order-service,5.388,200
