t,k6_cpu_percent_of_one_core,k6_rss_bytes
1790113004.597,nan,162004992.0
1790113008.698,1.9443167912661357,166969344.0
1790113012.812,2.169272601014483,170557440.0
1790113016.958,1.6764587954376324,173965312.0
1790113021.142,1.6899799419365473,177733632.0
1790113025.275,1.9251797811563407,168902656.0
1790113029.440,1.6893775326886784,156073984.0
1790113033.576,1.6880417082470642,156778496.0
1790113037.730,2.1663674396983645,160956416.0
1790113041.879,1.9269771548124235,163659776.0
1790113046.036,1.9296415090368293,169066496.0
1790113050.179,1.9225394015521429,175079424.0
1790113054.231,1.7342250298378745,160169984.0
1790113058.370,5.5421965665943205,188219392.0
1790113062.524,1.6868745814791017,189808640.0
1790113066.673,2.167068989559202,191512576.0
1790113070.832,2.1699585705110422,193527808.0
1790113074.978,2.1666879994526527,195461120.0
1790113079.134,1.6921427170921477,167542784.0
1790113083.262,2.140907268047896,171753472.0
1790113087.474,3.1182538449357406,176930816.0
1790113091.643,2.161917152675231,179339264.0
1790113095.806,2.155772237749375,184385536.0
1790113099.972,2.161350596776046,191168512.0
1790113104.136,2.9017158247238766,201457664.0
1790113108.272,6.279660744156468,215187456.0
1790113112.421,2.168771460424912,215023616.0
1790113116.567,1.92133430064939,215121920.0
1790113120.734,1.937271188262763,214532096.0
1790113124.855,2.4300894415515777,215449600.0
1790113128.972,2.1627196523032413,208306176.0
1790113133.140,2.6545105255905432,208027648.0
1790113137.276,2.1604017211223527,169689088.0
1790113141.450,2.6592959849235607,189202432.0
1790113145.587,2.406512420439233,199557120.0
1790113149.742,1.9212830345459948,208551936.0
1790113153.898,2.1647730146589073,216629248.0
1790113158.060,2.3952200036285487,224100352.0
1790113162.235,7.497418844250444,233750528.0
1790113166.373,2.403460273520764,235290624.0
1790113170.534,2.4083115061231632,237027328.0
1790113174.686,2.8590215649963424,237518848.0
1790113178.878,1.9218115587051936,236666880.0
1790113183.046,1.6772315608588255,237830144.0
1790113187.210,1.688427387414998,237993984.0
1790113191.358,1.2014095287613566,238108672.0
1790113195.518,1.445453340840743,239386624.0
1790113199.678,1.2007537003235786,239779840.0
1790113203.842,2.4147346399551273,241188864.0
1790113207.974,1.686403688015536,241909760.0
1790113212.134,2.169937365175549,219398144.0
1790113216.272,0.0,0.0
