t,service,latency_ms,status
1790101275.052,java-user-service,6.039,200
1790101275.058,java-product-service,6.416,200
1790101275.064,java-order-service,6.099,200
1790101275.586,java-user-service,12.002,200
1790101275.596,java-product-service,9.178,200
1790101275.603,java-order-service,6.890,200
1790101276.119,java-user-service,9.649,200
1790101276.126,java-product-service,6.819,200
1790101276.130,java-order-service,4.750,200
1790101276.650,java-user-service,10.777,200
1790101276.658,java-product-service,8.315,200
1790101276.667,java-order-service,8.749,200
1790101277.171,java-user-service,2.996,200
1790101277.173,java-product-service,2.244,200
1790101277.176,java-order-service,3.180,200
1790101277.692,java-user-service,10.824,200
1790101277.700,java-product-service,8.062,200
1790101277.709,java-order-service,8.412,200
1790101278.227,java-user-service,11.037,200
1790101278.235,java-product-service,8.130,200
1790101278.242,java-order-service,6.773,200
1790101278.755,java-user-service,8.964,200
1790101278.761,java-product-service,6.449,200
1790101278.767,java-order-service,5.510,200
1790101279.283,java-user-service,6.493,200
1790101279.294,java-product-service,10.359,200
1790101279.297,java-order-service,3.408,200
1790101279.819,java-user-service,11.711,200
1790101279.828,java-product-service,8.953,200
1790101279.834,java-order-service,5.570,200
1790101280.348,java-user-service,10.091,200
1790101280.356,java-product-service,8.180,200
1790101280.362,java-order-service,6.149,200
1790101280.878,java-user-service,11.333,200
1790101280.889,java-product-service,10.488,200
1790101280.894,java-order-service,5.332,200
1790101281.417,java-user-service,12.272,200
1790101281.425,java-product-service,8.355,200
1790101281.433,java-order-service,7.485,200
1790101281.944,java-user-service,11.026,200
1790101281.953,java-product-service,9.042,200
1790101281.959,java-order-service,5.941,200
1790101282.475,java-user-service,11.412,200
1790101282.485,java-product-service,9.893,200
1790101282.492,java-order-service,6.126,200
1790101283.012,java-user-service,11.594,200
1790101283.020,java-product-service,8.365,200
1790101283.026,java-order-service,5.754,200
1790101283.544,java-user-service,12.875,200
1790101283.553,java-product-service,9.092,200
1790101283.562,java-order-service,8.416,200
1790101284.080,java-user-service,10.775,200
1790101284.089,java-product-service,8.920,200
1790101284.097,java-order-service,7.878,200
1790101284.606,java-user-service,9.299,200
1790101284.615,java-product-service,8.198,200
1790101284.621,java-order-service,5.815,200
1790101285.135,java-user-service,5.018,200
1790101285.139,java-product-service,4.079,200
1790101285.146,java-order-service,6.970,200
1790101285.661,java-user-service,5.479,200
1790101285.665,java-product-service,4.205,200
1790101285.669,java-order-service,3.580,200
1790101286.191,java-user-service,12.527,200
1790101286.200,java-product-service,8.234,200
1790101286.207,java-order-service,7.303,200
1790101286.720,java-user-service,11.107,200
1790101286.728,java-product-service,8.312,200
1790101286.736,java-order-service,7.897,200
1790101287.245,java-user-service,8.790,200
