t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790101275.043,java-order-service,1.66,267282022.4,24.89,35
1790101275.043,java-user-service,28.38,378116505.6,35.21,39
1790101275.043,java-product-service,2.91,356306124.8,33.18,38
1790101275.043,research-postgres,0.34,137887744.0,12.84,44
1790101275.043,research-redis,0.62,39919288.32,7.44,8
1790101279.160,java-order-service,4.11,272000614.4,25.33,36
1790101279.160,java-user-service,14.29,378850508.8,35.28,39
1790101279.160,java-product-service,6.52,357459558.4,33.29,38
1790101279.160,research-postgres,1.26,137468313.6,12.80,44
1790101279.160,research-redis,0.7,39877345.28,7.43,8
1790101283.312,java-order-service,5.42,272420044.8,25.37,36
1790101283.312,java-user-service,4.82,378745651.2,35.28,39
1790101283.312,java-product-service,3.97,357669273.6,33.31,38
1790101283.312,research-postgres,0.42,137992601.6,12.86,44
1790101283.312,research-redis,0.92,40129003.52,7.48,8
1790101287.476,java-order-service,3.16,272629760.0,25.39,36
1790101287.476,java-user-service,13.53,378955366.4,35.29,39
1790101287.476,java-product-service,2.06,357774131.2,33.32,38
1790101287.476,research-postgres,0.28,137678028.8,12.82,44
1790101287.476,research-redis,0.89,39950745.6,7.44,8
1790101291.637,java-order-service,6.27,273154048.0,25.44,36
1790101291.637,java-user-service,12.24,379374796.8,35.34,39
1790101291.637,java-product-service,3.6,358612992.0,33.39,38
1790101291.637,research-postgres,0.69,137992601.6,12.85,44
1790101291.637,research-redis,1.88,39741030.4,7.40,8
1790101295.781,java-order-service,4.77,274726912.0,25.59,36
1790101295.781,java-user-service,14.03,379479654.4,35.34,39
1790101295.781,java-product-service,5.14,358717849.6,33.41,38
1790101295.781,research-postgres,0.3,137782886.4,12.84,44
1790101295.781,research-redis,0.57,39730544.64,7.40,8
1790101299.913,java-order-service,3.65,279026073.6,25.99,36
1790101299.913,java-user-service,29.34,380528230.4,35.44,39
1790101299.913,java-product-service,3.46,358717849.6,33.41,38
1790101299.913,research-postgres,0.28,137678028.8,12.83,44
1790101299.913,research-redis,0.7,39583744.0,7.37,8
1790101304.069,java-order-service,1.15,279655219.2,26.05,36
1790101304.069,java-user-service,26.35,380947660.8,35.48,39
1790101304.069,java-product-service,9.06,359451852.8,33.48,38
1790101304.069,research-postgres,0.52,137887744.0,12.84,44
1790101304.069,research-redis,0.68,39992688.64,7.45,8
1790101308.216,java-order-service,3.84,280913510.4,26.16,36
1790101308.216,java-user-service,30.21,381471948.8,35.53,39
1790101308.216,java-product-service,1.51,359871283.2,33.52,38
1790101308.216,research-postgres,0.66,137678028.8,12.82,44
1790101308.216,research-redis,0.52,40055603.2,7.46,8
1790101312.372,java-order-service,5.14,282591232.0,26.31,36
1790101312.372,java-user-service,35.57,382205952.0,35.60,39
1790101312.372,java-product-service,4.0,360080998.4,33.54,38
1790101312.372,research-postgres,0.51,137782886.4,12.83,44
1790101312.372,research-redis,0.52,40034631.68,7.46,8
1790101316.482,java-order-service,2.13,283220377.6,26.38,36
1790101316.482,java-user-service,53.0,382835097.6,35.65,40
1790101316.482,java-product-service,7.95,359871283.2,33.52,38
1790101316.482,research-postgres,0.55,137992601.6,12.85,44
1790101316.482,research-redis,0.5,40653291.52,7.57,8
1790101320.603,java-order-service,4.17,283954380.8,26.45,37
1790101320.603,java-user-service,60.73,383778816.0,35.75,40
1790101320.603,java-product-service,2.78,360710144.0,33.60,38
1790101320.603,research-postgres,0.49,137782886.4,12.83,44
1790101320.603,research-redis,1.3,40170946.56,7.48,8
1790101324.730,java-order-service,7.13,285212672.0,26.56,37
1790101324.730,java-user-service,78.0,385456537.6,35.89,40
1790101324.730,java-product-service,6.22,360815001.6,33.60,38
1790101324.730,research-postgres,0.57,138412032.0,12.89,44
1790101324.730,research-redis,0.66,40013660.16,7.45,8
1790101328.891,java-order-service,5.01,286785536.0,26.71,37
1790101328.891,java-user-service,52.69,385141964.8,35.86,40
1790101328.891,java-product-service,5.95,361024716.8,33.62,38
1790101328.891,research-postgres,0.59,138726604.8,12.92,44
1790101328.891,research-redis,0.53,40024145.92,7.46,8
1790101333.010,java-order-service,7.26,287729254.4,26.80,37
1790101333.010,java-user-service,54.59,384932249.6,35.85,40
1790101333.010,java-product-service,3.21,361549004.8,33.67,38
1790101333.010,research-postgres,0.64,138412032.0,12.89,44
1790101333.010,research-redis,0.6,39992688.64,7.45,8
1790101337.115,java-order-service,5.14,289302118.4,26.94,37
1790101337.115,java-user-service,65.6,385666252.8,35.92,39
1790101337.115,java-product-service,3.04,361234432.0,33.65,38
1790101337.115,research-postgres,0.67,138936320.0,12.94,44
1790101337.115,research-redis,0.53,39436943.36,7.35,8
1790101341.215,java-order-service,9.47,290665267.2,27.07,37
1790101341.215,java-user-service,47.73,388916838.4,36.22,39
1790101341.215,java-product-service,3.18,361968435.2,33.71,38
1790101341.215,research-postgres,1.65,138936320.0,12.94,44
1790101341.215,research-redis,0.57,39887831.04,7.43,8
1790101345.313,java-order-service,8.9,291399270.4,27.14,37
1790101345.313,java-user-service,71.03,388602265.6,36.19,40
1790101345.313,java-product-service,4.73,360605286.4,33.59,38
1790101345.313,research-postgres,1.46,138831462.4,12.93,44
1790101345.313,research-redis,0.49,39657144.32,7.39,8
1790101349.412,java-order-service,11.64,292972134.4,27.28,37
1790101349.412,java-user-service,63.73,388182835.2,36.15,40
1790101349.412,java-product-service,3.83,360710144.0,33.59,38
1790101349.412,research-postgres,0.74,138621747.2,12.91,44
1790101349.412,research-redis,0.45,39908802.56,7.43,8
1790101353.524,java-order-service,16.18,294335283.2,27.41,37
1790101353.524,java-user-service,56.22,389231411.2,36.25,40
1790101353.524,java-product-service,10.26,360919859.2,33.61,38
1790101353.524,research-postgres,2.21,139250892.8,12.97,44
1790101353.524,research-redis,0.72,39646658.56,7.39,8
1790101357.656,java-order-service,5.09,295279001.6,27.50,37
1790101357.656,java-user-service,118.76,389021696.0,36.23,40
1790101357.656,java-product-service,3.81,361024716.8,33.62,38
1790101357.656,research-postgres,1.03,139355750.4,12.98,44
1790101357.656,research-redis,0.49,39573258.24,7.37,8
1790101361.767,java-order-service,5.02,296013004.8,27.57,37
