t,service,latency_ms
1790101275.055,java-user-service,11.461
1790101275.065,java-product-service,8.314
1790101275.075,java-order-service,8.811
1790101280.089,java-user-service,11.053
1790101280.102,java-product-service,8.410
1790101280.116,java-order-service,7.632
1790101285.141,java-user-service,11.935
1790101285.154,java-product-service,8.578
1790101285.168,java-order-service,7.949
1790101290.192,java-user-service,10.127
1790101290.204,java-product-service,7.729
1790101290.215,java-order-service,6.919
1790101295.237,java-user-service,14.621
1790101295.250,java-product-service,8.471
1790101295.260,java-order-service,7.363
1790101300.276,java-user-service,9.479
1790101300.287,java-product-service,6.850
1790101300.298,java-order-service,6.750
1790101305.314,java-user-service,5.997
1790101305.327,java-product-service,7.033
1790101305.338,java-order-service,5.501
1790101310.359,java-user-service,7.695
1790101310.367,java-product-service,7.097
1790101310.374,java-order-service,5.333
1790101315.383,java-user-service,6.525
1790101315.395,java-product-service,5.911
1790101315.404,java-order-service,5.229
1790101320.420,java-user-service,8.793
1790101320.434,java-product-service,7.365
1790101320.446,java-order-service,5.836
1790101325.462,java-user-service,6.707
1790101325.474,java-product-service,5.804
1790101325.486,java-order-service,5.383
1790101330.553,java-user-service,52.616
1790101330.562,java-product-service,5.596
1790101330.573,java-order-service,5.205
1790101335.582,java-user-service,5.305
1790101335.592,java-product-service,4.974
1790101335.601,java-order-service,4.822
1790101340.611,java-user-service,5.051
1790101340.622,java-product-service,5.014
1790101340.631,java-order-service,5.056
1790101345.652,java-user-service,7.157
1790101345.662,java-product-service,5.439
1790101345.672,java-order-service,5.130
1790101350.688,java-user-service,4.786
1790101350.697,java-product-service,4.206
1790101350.707,java-order-service,4.266
1790101355.728,java-user-service,7.611
1790101355.739,java-product-service,7.375
1790101355.749,java-order-service,6.618
1790101360.770,java-user-service,9.341
1790101360.779,java-product-service,6.071
1790101360.790,java-order-service,5.612
1790101365.813,java-user-service,14.304
1790101365.824,java-product-service,5.464
1790101365.834,java-order-service,5.765
1790101370.845,java-user-service,5.875
1790101370.855,java-product-service,5.472
1790101370.867,java-order-service,5.367
1790101375.884,java-user-service,6.409
1790101375.895,java-product-service,5.966
1790101375.906,java-order-service,7.994
1790101380.935,java-user-service,16.035
1790101380.944,java-product-service,5.183
1790101380.953,java-order-service,4.517
1790101386.039,java-user-service,73.173
1790101386.046,java-product-service,4.856
1790101386.056,java-order-service,4.520
1790101391.069,java-user-service,8.232
1790101391.081,java-product-service,6.633
1790101391.091,java-order-service,5.896
1790101396.115,java-user-service,17.629
1790101396.126,java-product-service,4.948
1790101396.135,java-order-service,4.544
1790101401.268,java-user-service,127.509
1790101401.275,java-product-service,4.673
1790101401.284,java-order-service,4.388
1790101406.353,java-user-service,56.000
1790101406.360,java-product-service,4.367
1790101406.369,java-order-service,3.879
1790101411.388,java-user-service,6.504
1790101411.399,java-product-service,4.679
1790101411.408,java-order-service,4.568
1790101416.641,java-user-service,228.053
1790101416.649,java-product-service,4.947
1790101416.657,java-order-service,4.820
1790101422.052,java-user-service,389.947
1790101422.060,java-product-service,4.598
1790101422.068,java-order-service,4.793
1790101427.278,java-user-service,206.099
1790101427.286,java-product-service,4.537
1790101427.294,java-order-service,3.586
1790101432.317,java-user-service,14.986
1790101432.325,java-product-service,4.409
1790101432.334,java-order-service,4.632
1790101438.242,java-user-service,900.705
1790101438.255,java-product-service,10.101
1790101438.266,java-order-service,7.688
1790101444.277,java-user-service,1007.647
1790101444.285,java-product-service,5.827
1790101444.295,java-order-service,5.187
1790101449.314,java-user-service,6.050
1790101449.338,java-product-service,19.570
1790101449.346,java-order-service,4.465
1790101454.782,java-user-service,424.289
1790101454.794,java-product-service,5.710
1790101454.803,java-order-service,3.775
1790101459.920,java-user-service,103.026
1790101459.930,java-product-service,4.398
1790101459.937,java-order-service,4.162
1790101464.956,java-user-service,5.152
1790101464.967,java-product-service,4.938
1790101464.978,java-order-service,4.743
1790101470.073,java-user-service,83.111
1790101470.080,java-product-service,4.532
1790101470.090,java-order-service,3.679
1790101475.145,java-user-service,48.189
1790101475.153,java-product-service,4.025
1790101475.160,java-order-service,3.450
1790101480.169,java-user-service,7.388
1790101480.182,java-product-service,6.948
1790101480.194,java-order-service,6.522
1790101485.220,java-user-service,15.549
1790101485.235,java-product-service,10.307
1790101485.247,java-order-service,7.229
