t,k6_cpu_percent_of_one_core,k6_rss_bytes
1790101960.993,nan,44711936.0
1790101965.112,0.957962834352675,46792704.0
1790101969.288,1.2094168974263315,48447488.0
1790101973.420,0.9733941958441357,48988160.0
1790101977.531,1.4602693817213566,49561600.0
1790101981.640,1.4566903920276117,49790976.0
1790101985.757,1.6985734821900487,50053120.0
1790101989.880,1.9371225527429585,50937856.0
1790101994.002,2.1947392518857227,51183616.0
1790101998.103,1.4605934742831936,52084736.0
1790102002.210,2.1891934775972177,53280768.0
1790102006.329,1.942252619364892,54001664.0
1790102010.448,1.4451681310346989,54067200.0
1790102014.592,1.932432426206383,54099968.0
1790102018.740,1.4468356615806663,53624832.0
1790102022.879,2.1668723207376934,53493760.0
1790102027.031,1.6923312539537712,50987008.0
1790102031.175,1.926632832457737,51216384.0
1790102035.329,1.9266559530800964,51314688.0
1790102039.481,1.9195870761290594,51036160.0
1790102043.649,2.164345550512702,51544064.0
1790102047.807,1.4435597516940564,51888128.0
1790102051.956,2.1756624725021654,52084736.0
1790102056.100,1.686142871959712,51888128.0
1790102060.252,2.166484188067227,52068352.0
1790102064.406,1.9160822293284623,52117504.0
1790102068.577,1.6867429761335488,52133888.0
1790102072.730,2.161379183589689,52297728.0
1790102076.895,1.689691081963296,52379648.0
1790102081.038,2.169517335483735,52314112.0
1790102085.186,1.678314188764132,52379648.0
1790102089.357,1.6786747995132971,52412416.0
1790102093.519,2.1683774157682176,52428800.0
1790102097.675,1.693865297795621,52068352.0
1790102101.810,2.1696512584082517,52133888.0
1790102105.959,1.6888550147874901,51953664.0
1790102110.102,2.1550579276132016,52117504.0
1790102114.280,1.682885654837985,52133888.0
1790102118.439,2.1462928046237373,52412416.0
1790102122.632,1.6775398505396177,50855936.0
1790102126.803,2.4048693411760587,51298304.0
1790102130.963,2.162315417286715,51412992.0
1790102135.125,1.6926411191583668,51200000.0
1790102139.261,2.156296456535059,51150848.0
1790102143.429,1.4444618997406955,51167232.0
1790102147.589,2.17346313593846,51216384.0
1790102151.728,1.5483644947251134,51445760.0
1790102156.895,1.9421915746992102,51511296.0
1790102161.017,1.6884008802878925,51527680.0
1790102165.156,1.9317283242222125,51544064.0
1790102169.294,1.6932785726969557,51544064.0
1790102173.437,1.9175031657481696,51544064.0
1790102177.609,1.4490805506360356,51560448.0
1790102181.746,1.9251667473351206,51560448.0
1790102185.905,1.4405696466429676,51576832.0
1790102190.065,1.2152626388005134,51560448.0
1790102194.178,1.2086581835040042,51675136.0
1790102198.315,0.7238222361149672,51675136.0
1790102202.466,0.0,0.0
