t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790101960.993,java-order-service,2.36,300731596.8,28.01,35
1790101960.993,java-user-service,39.29,366582169.6,34.14,39
1790101960.993,java-product-service,8.75,340472627.2,31.70,38
1790101960.993,research-postgres,0.3,137573171.2,12.82,44
1790101960.993,research-redis,0.74,39730544.64,7.40,8
1790101965.112,java-order-service,4.1,302828748.8,28.20,35
1790101965.112,java-user-service,10.24,369727897.6,34.43,39
1790101965.112,java-product-service,6.11,340892057.6,31.75,38
1790101965.112,research-postgres,1.3,137678028.8,12.82,44
1790101965.112,research-redis,0.57,40149975.04,7.48,8
1790101969.288,java-order-service,4.09,305240473.6,28.43,35
1790101969.288,java-user-service,13.69,366791884.8,34.16,39
1790101969.288,java-product-service,5.26,341730918.4,31.82,38
1790101969.288,research-postgres,0.21,137678028.8,12.83,44
1790101969.288,research-redis,0.77,40296775.68,7.51,8
1790101973.420,java-order-service,1.15,305659904.0,28.46,35
1790101973.420,java-user-service,18.75,367525888.0,34.23,39
1790101973.420,java-product-service,4.2,342360064.0,31.89,38
1790101973.420,research-postgres,0.2,138097459.2,12.87,44
1790101973.420,research-redis,1.53,39824916.48,7.42,8
1790101977.531,java-order-service,1.37,309015347.2,28.78,35
1790101977.531,java-user-service,28.09,367525888.0,34.23,39
1790101977.531,java-product-service,7.22,342255206.4,31.88,38
1790101977.531,research-postgres,0.28,137887744.0,12.84,44
1790101977.531,research-redis,0.6,39814430.72,7.42,8
1790101981.640,java-order-service,1.8,311217356.8,28.98,35
1790101981.640,java-user-service,34.12,367525888.0,34.23,39
1790101981.640,java-product-service,4.41,342674636.8,31.91,38
1790101981.640,research-postgres,1.94,137468313.6,12.81,44
1790101981.640,research-redis,0.7,40024145.92,7.45,8
1790101985.757,java-order-service,2.56,311427072.0,29.01,35
1790101985.757,java-user-service,33.11,368469606.4,34.32,40
1790101985.757,java-product-service,6.27,342779494.4,31.92,38
1790101985.757,research-postgres,0.19,137573171.2,12.81,44
1790101985.757,research-redis,0.59,40275804.16,7.50,8
1790101989.880,java-order-service,1.94,316250521.6,29.45,35
1790101989.880,java-user-service,44.93,368889036.8,34.35,40
1790101989.880,java-product-service,8.84,343723212.8,32.01,38
1790101989.880,research-postgres,0.27,137468313.6,12.80,44
1790101989.880,research-redis,0.63,40244346.88,7.50,8
1790101994.002,java-order-service,1.17,312265932.8,29.08,35
1790101994.002,java-user-service,52.92,368993894.4,34.36,40
