t,service,latency_ms
1790107688.842,java-user-service,15.564
1790107688.855,java-product-service,11.664
1790107688.865,java-order-service,8.488
1790107693.896,java-user-service,20.489
1790107693.915,java-product-service,13.717
1790107693.928,java-order-service,8.206
1790107698.961,java-user-service,23.809
1790107698.975,java-product-service,9.922
1790107698.988,java-order-service,7.934
1790107704.011,java-user-service,19.051
1790107704.028,java-product-service,12.683
1790107704.049,java-order-service,16.986
1790107709.066,java-user-service,10.321
1790107709.080,java-product-service,8.056
1790107709.092,java-order-service,6.938
1790107714.117,java-user-service,19.040
1790107714.132,java-product-service,11.862
1790107714.146,java-order-service,9.565
1790107719.163,java-user-service,9.137
1790107719.175,java-product-service,6.610
1790107719.185,java-order-service,5.729
1790107724.204,java-user-service,10.932
1790107724.216,java-product-service,6.436
1790107724.224,java-order-service,6.055
1790107729.238,java-user-service,6.918
1790107729.249,java-product-service,5.531
1790107729.258,java-order-service,4.871
1790107734.331,java-user-service,64.405
1790107734.341,java-product-service,5.369
1790107734.351,java-order-service,5.262
1790107739.435,java-user-service,75.662
1790107739.445,java-product-service,6.381
1790107739.454,java-order-service,6.240
1790107744.473,java-user-service,7.436
1790107744.481,java-product-service,4.872
1790107744.490,java-order-service,5.857
1790107749.561,java-user-service,58.516
1790107749.573,java-product-service,5.956
1790107749.580,java-order-service,5.215
1790107754.666,java-user-service,77.395
1790107754.674,java-product-service,5.046
1790107754.681,java-order-service,4.311
1790107759.706,java-user-service,17.324
1790107759.722,java-product-service,10.222
1790107759.733,java-order-service,7.289
1790107764.750,java-user-service,10.922
1790107764.770,java-product-service,14.467
1790107764.781,java-order-service,5.929
1790107769.801,java-user-service,10.637
1790107769.811,java-product-service,4.733
1790107769.821,java-order-service,5.040
1790107774.853,java-user-service,20.408
1790107774.868,java-product-service,9.088
1790107774.880,java-order-service,7.531
1790107779.911,java-user-service,19.289
1790107779.925,java-product-service,9.060
1790107779.935,java-order-service,7.127
1790107784.958,java-user-service,12.396
1790107784.968,java-product-service,5.995
1790107784.977,java-order-service,6.066
1790107790.007,java-user-service,17.599
1790107790.022,java-product-service,10.489
1790107790.033,java-order-service,7.092
1790107795.052,java-user-service,16.326
1790107795.068,java-product-service,12.464
1790107795.081,java-order-service,7.487
1790107800.108,java-user-service,15.946
1790107800.126,java-product-service,13.121
1790107800.140,java-order-service,11.525
1790107805.161,java-user-service,11.235
1790107805.176,java-product-service,9.232
1790107805.198,java-order-service,18.250
1790107810.211,java-user-service,7.380
1790107810.224,java-product-service,6.224
1790107810.236,java-order-service,6.747
1790107815.261,java-user-service,13.986
1790107815.269,java-product-service,5.092
1790107815.278,java-order-service,5.066
1790107820.297,java-user-service,16.800
1790107820.310,java-product-service,9.411
1790107820.320,java-order-service,6.172
1790107825.337,java-user-service,5.979
1790107825.345,java-product-service,4.150
1790107825.355,java-order-service,4.729
1790107830.444,java-user-service,77.798
1790107830.454,java-product-service,4.513
1790107830.462,java-order-service,4.119
1790107835.485,java-user-service,18.556
1790107835.499,java-product-service,10.104
1790107835.510,java-order-service,6.888
1790107840.538,java-user-service,15.593
1790107840.554,java-product-service,10.944
1790107840.569,java-order-service,9.681
1790107845.588,java-user-service,7.378
1790107845.600,java-product-service,5.228
1790107845.609,java-order-service,5.039
1790107850.743,java-user-service,121.605
1790107850.752,java-product-service,4.233
1790107850.761,java-order-service,4.364
1790107855.778,java-user-service,13.429
1790107855.789,java-product-service,6.624
1790107855.798,java-order-service,5.987
1790107860.819,java-user-service,13.645
1790107860.831,java-product-service,9.490
1790107860.840,java-order-service,6.470
1790107865.850,java-user-service,5.141
1790107865.859,java-product-service,3.976
1790107865.868,java-order-service,4.896
1790107871.208,java-user-service,328.826
1790107871.216,java-product-service,5.789
1790107871.224,java-order-service,5.274
1790107876.241,java-user-service,15.267
1790107876.259,java-product-service,13.074
1790107876.272,java-order-service,8.960
1790107881.306,java-user-service,21.983
1790107881.317,java-product-service,4.916
1790107881.326,java-order-service,5.152
1790107886.351,java-user-service,16.137
1790107886.362,java-product-service,7.869
1790107886.375,java-order-service,8.513
1790107891.391,java-user-service,6.634
1790107891.401,java-product-service,4.599
1790107891.410,java-order-service,5.193
1790107896.432,java-user-service,17.222
1790107896.446,java-product-service,10.463
1790107896.459,java-order-service,8.877
1790107901.480,java-user-service,11.061
1790107901.494,java-product-service,7.749
1790107901.504,java-order-service,5.167
1790107906.525,java-user-service,15.895
1790107906.537,java-product-service,8.875
1790107906.546,java-order-service,7.148
1790107911.563,java-user-service,10.970
1790107911.577,java-product-service,6.690
1790107911.588,java-order-service,7.359
1790107916.607,java-user-service,11.252
1790107916.618,java-product-service,6.938
1790107916.628,java-order-service,7.471
1790107921.654,java-user-service,18.903
1790107921.668,java-product-service,8.262
1790107921.678,java-order-service,5.810
1790107926.696,java-user-service,15.408
1790107926.707,java-product-service,7.620
1790107926.716,java-order-service,6.163
