t,service,latency_ms,status
1790114436.717,java-user-service,6.872,200
1790114436.721,java-product-service,4.927,200
1790114436.726,java-order-service,4.922,200
1790114437.246,java-user-service,9.800,200
1790114437.255,java-product-service,9.743,200
1790114437.260,java-order-service,4.766,200
1790114437.783,java-user-service,16.157,200
1790114437.795,java-product-service,11.454,200
1790114437.801,java-order-service,6.583,200
1790114438.321,java-user-service,13.793,200
1790114438.332,java-product-service,10.454,200
1790114438.342,java-order-service,10.139,200
1790114438.853,java-user-service,3.506,200
1790114438.856,java-product-service,3.356,200
1790114438.861,java-order-service,4.731,200
1790114439.382,java-user-service,10.834,200
1790114439.391,java-product-service,8.418,200
1790114439.399,java-order-service,8.273,200
1790114439.911,java-user-service,4.859,200
1790114439.915,java-product-service,3.504,200
1790114439.919,java-order-service,4.370,200
1790114440.440,java-user-service,12.148,200
1790114440.450,java-product-service,9.844,200
1790114440.458,java-order-service,7.941,200
1790114440.970,java-user-service,4.232,200
1790114440.973,java-product-service,3.167,200
1790114440.977,java-order-service,4.235,200
1790114441.498,java-user-service,11.623,200
1790114441.507,java-product-service,9.337,200
1790114441.514,java-order-service,6.610,200
1790114442.021,java-user-service,2.715,200
1790114442.023,java-product-service,2.521,200
1790114442.026,java-order-service,2.926,200
1790114442.541,java-user-service,11.858,200
1790114442.550,java-product-service,8.948,200
1790114442.559,java-order-service,8.846,200
1790114443.070,java-user-service,3.410,200
1790114443.073,java-product-service,2.649,200
1790114443.075,java-order-service,2.875,200
1790114443.598,java-user-service,12.376,200
1790114443.607,java-product-service,9.378,200
1790114443.616,java-order-service,8.978,200
1790114444.131,java-user-service,4.081,200
1790114444.134,java-product-service,2.860,200
1790114444.137,java-order-service,3.767,200
1790114444.658,java-user-service,11.446,200
1790114444.666,java-product-service,8.252,200
1790114444.674,java-order-service,7.496,200
1790114445.185,java-user-service,4.479,200
1790114445.188,java-product-service,3.100,200
1790114445.192,java-order-service,3.824,200
1790114445.714,java-user-service,12.138,200
1790114445.723,java-product-service,8.833,200
1790114445.731,java-order-service,8.249,200
1790114446.243,java-user-service,4.601,200
1790114446.246,java-product-service,3.644,200
1790114446.250,java-order-service,3.495,200
1790114446.767,java-user-service,11.049,200
1790114446.776,java-product-service,8.245,200
1790114446.783,java-order-service,6.983,200
1790114447.299,java-user-service,6.100,200
1790114447.303,java-product-service,3.613,200
1790114447.307,java-order-service,3.948,200
1790114447.820,java-user-service,11.227,200
1790114447.829,java-product-service,8.471,200
1790114447.836,java-order-service,6.955,200
1790114448.348,java-user-service,5.806,200
1790114448.359,java-product-service,10.963,200
1790114448.364,java-order-service,4.212,200
1790114448.885,java-user-service,12.210,200
1790114448.894,java-product-service,8.378,200
1790114448.900,java-order-service,6.589,200
1790114449.420,java-user-service,9.648,200
1790114449.426,java-product-service,6.304,200
1790114449.431,java-order-service,4.838,200
1790114449.951,java-user-service,10.899,200
1790114449.963,java-product-service,11.722,200
1790114449.971,java-order-service,8.393,200
1790114450.493,java-user-service,11.269,200
1790114450.501,java-product-service,8.395,200
1790114450.509,java-order-service,7.251,200
1790114451.022,java-user-service,11.713,200
1790114451.031,java-product-service,8.759,200
1790114451.037,java-order-service,6.750,200
1790114451.559,java-user-service,10.912,200
1790114451.567,java-product-service,8.116,200
1790114451.576,java-order-service,9.039,200
1790114452.089,java-user-service,11.402,200
1790114452.098,java-product-service,8.600,200
1790114452.105,java-order-service,6.890,200
1790114452.626,java-user-service,10.710,200
1790114452.635,java-product-service,8.787,200
1790114452.643,java-order-service,7.983,200
1790114453.156,java-user-service,9.304,200
1790114453.164,java-product-service,8.137,200
1790114453.172,java-order-service,7.701,200
1790114453.694,java-user-service,11.955,200
1790114453.704,java-product-service,9.625,200
1790114453.712,java-order-service,7.977,200
1790114454.260,java-user-service,41.041,200
1790114454.263,java-product-service,3.446,200
1790114454.266,java-order-service,2.995,200
1790114454.783,java-user-service,10.367,200
1790114454.791,java-product-service,7.987,200
1790114454.798,java-order-service,6.954,200
1790114455.311,java-user-service,2.953,200
1790114455.314,java-product-service,2.594,200
1790114455.317,java-order-service,2.540,200
1790114455.834,java-user-service,10.944,200
1790114455.843,java-product-service,8.626,200
1790114455.850,java-order-service,7.119,200
1790114456.354,java-user-service,2.534,200
1790114456.356,java-product-service,2.258,200
1790114456.359,java-order-service,2.497,200
1790114456.879,java-user-service,10.275,200
1790114456.888,java-product-service,8.443,200
1790114456.895,java-order-service,7.365,200
1790114457.400,java-user-service,4.609,200
1790114457.403,java-product-service,3.400,200
1790114457.407,java-order-service,3.450,200
1790114457.922,java-user-service,10.541,200
1790114457.930,java-product-service,8.082,200
1790114457.940,java-order-service,10.074,200
1790114458.451,java-user-service,3.525,200
1790114458.454,java-product-service,2.370,200
1790114458.457,java-order-service,2.931,200
1790114458.976,java-user-service,10.285,200
1790114458.984,java-product-service,7.993,200
1790114458.992,java-order-service,8.674,200
1790114459.501,java-user-service,2.792,200
1790114459.503,java-product-service,2.317,200
1790114459.506,java-order-service,2.451,200
1790114460.037,java-user-service,20.400,200
1790114460.042,java-product-service,5.074,200
1790114460.046,java-order-service,4.824,200
1790114460.554,java-user-service,3.306,200
1790114460.556,java-product-service,2.462,200
1790114460.560,java-order-service,3.536,200
1790114461.073,java-user-service,11.347,200
1790114461.081,java-product-service,8.611,200
1790114461.090,java-order-service,8.346,200
1790114461.595,java-user-service,3.247,200
1790114461.598,java-product-service,2.255,200
1790114461.600,java-order-service,2.443,200
1790114462.111,java-user-service,8.563,200
1790114462.115,java-product-service,4.452,200
1790114462.120,java-order-service,4.832,200
1790114462.627,java-user-service,3.125,200
1790114462.630,java-product-service,2.495,200
1790114462.632,java-order-service,2.650,200
