t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790098827.271,java-order-service,3.91,299787878.4,27.92,35
1790098827.271,java-user-service,1.58,404435763.2,37.67,40
1790098827.271,java-product-service,5.48,378745651.2,35.28,38
1790098827.271,research-postgres,0.26,135161446.4,12.59,43
1790098827.271,research-redis,0.68,39898316.8,7.43,8
1790098831.385,java-order-service,2.43,300102451.2,27.95,35
1790098831.385,java-user-service,12.81,405484339.2,37.76,39
1790098831.385,java-product-service,8.76,379584512.0,35.35,38
1790098831.385,research-postgres,1.0,135580876.8,12.62,43
1790098831.385,research-redis,0.81,40129003.52,7.48,8
1790098835.528,java-order-service,4.44,300626739.2,27.99,35
1790098835.528,java-user-service,13.43,405274624.0,37.75,39
1790098835.528,java-product-service,13.56,379794227.2,35.37,38
1790098835.528,research-postgres,0.11,135895449.6,12.65,43
1790098835.528,research-redis,1.0,40296775.68,7.51,8
1790098839.718,java-order-service,1.69,301780172.8,28.10,35
1790098839.718,java-user-service,15.04,405798912.0,37.79,39
1790098839.718,java-product-service,16.36,379165081.6,35.31,38
1790098839.718,research-postgres,0.16,135580876.8,12.62,43
1790098839.718,research-redis,1.16,40034631.68,7.46,8
1790098843.890,java-order-service,1.74,302199603.2,28.14,35
1790098843.890,java-user-service,12.78,405903769.6,37.81,39
1790098843.890,java-product-service,15.03,380108800.0,35.40,38
1790098843.890,research-postgres,2.27,136000307.2,12.67,43
1790098843.890,research-redis,3.06,39908802.56,7.43,8
1790098848.064,java-order-service,3.21,302094745.6,28.13,35
1790098848.064,java-user-service,21.41,406847488.0,37.89,39
1790098848.064,java-product-service,12.63,380947660.8,35.48,38
1790098848.064,research-postgres,0.09,135685734.4,12.63,43
1790098848.064,research-redis,0.94,39814430.72,7.42,8
1790098852.246,java-order-service,1.99,302304460.8,28.16,35
1790098852.246,java-user-service,22.61,407476633.6,37.95,39
1790098852.246,java-product-service,18.11,381157376.0,35.50,38
1790098852.246,research-postgres,0.09,135266304.0,12.59,43
1790098852.246,research-redis,1.42,40149975.04,7.48,8
1790098856.407,java-order-service,2.63,302619033.6,28.18,35
1790098856.407,java-user-service,19.19,402967756.8,37.53,39
1790098856.407,java-product-service,17.29,381367091.2,35.52,38
1790098856.407,research-postgres,0.11,135895449.6,12.65,43
1790098856.407,research-redis,0.94,39636172.8,7.38,8
1790098860.552,java-order-service,0.74,303248179.2,28.24,35
1790098860.552,java-user-service,37.48,411880652.8,38.36,39
1790098860.552,java-product-service,17.94,382939955.2,35.66,38
1790098860.552,research-postgres,0.16,135476019.2,12.62,43
1790098860.552,research-redis,1.12,39646658.56,7.38,8
1790098864.659,java-order-service,1.11,303457894.4,28.26,35
1790098864.659,java-user-service,39.01,404750336.0,37.69,39
1790098864.659,java-product-service,29.9,387029401.6,36.04,38
