t,service,latency_ms,status
1790101771.789,java-user-service,4.951,200
1790101771.795,java-product-service,5.175,200
1790101771.801,java-order-service,5.871,200
1790101772.326,java-user-service,14.862,200
1790101772.337,java-product-service,11.203,200
1790101772.346,java-order-service,8.656,200
1790101772.855,java-user-service,8.149,200
1790101772.861,java-product-service,5.514,200
1790101772.865,java-order-service,4.194,200
1790101773.388,java-user-service,13.414,200
1790101773.398,java-product-service,9.583,200
1790101773.406,java-order-service,7.691,200
1790101773.914,java-user-service,3.247,200
1790101773.917,java-product-service,2.519,200
1790101773.920,java-order-service,3.720,200
1790101774.438,java-user-service,11.092,200
1790101774.446,java-product-service,8.291,200
1790101774.455,java-order-service,8.079,200
1790101774.966,java-user-service,6.877,200
1790101774.978,java-product-service,12.265,200
1790101774.983,java-order-service,4.668,200
1790101775.495,java-user-service,10.856,200
1790101775.504,java-product-service,8.824,200
1790101775.511,java-order-service,6.756,200
1790101776.024,java-user-service,10.411,200
1790101776.031,java-product-service,7.672,200
1790101776.039,java-order-service,7.810,200
1790101776.553,java-user-service,11.104,200
1790101776.562,java-product-service,8.658,200
1790101776.570,java-order-service,8.522,200
1790101777.085,java-user-service,9.430,200
1790101777.092,java-product-service,7.212,200
1790101777.099,java-order-service,6.806,200
1790101777.620,java-user-service,11.040,200
1790101777.629,java-product-service,9.265,200
1790101777.636,java-order-service,6.691,200
1790101778.147,java-user-service,9.508,200
1790101778.154,java-product-service,6.398,200
1790101778.160,java-order-service,5.832,200
1790101778.675,java-user-service,9.205,200
1790101778.681,java-product-service,5.643,200
1790101778.687,java-order-service,6.714,200
1790101779.200,java-user-service,3.959,200
1790101779.202,java-product-service,2.418,200
1790101779.205,java-order-service,2.659,200
1790101779.725,java-user-service,10.310,200
1790101779.731,java-product-service,6.113,200
1790101779.739,java-order-service,8.031,200
1790101780.261,java-user-service,13.247,200
1790101780.270,java-product-service,8.992,200
1790101780.276,java-order-service,6.617,200
1790101780.790,java-user-service,10.629,200
1790101780.799,java-product-service,8.247,200
1790101780.807,java-order-service,8.573,200
1790101781.321,java-user-service,10.846,200
1790101781.329,java-product-service,8.084,200
1790101781.338,java-order-service,8.846,200
1790101781.859,java-user-service,10.913,200
1790101781.867,java-product-service,8.032,200
1790101781.874,java-order-service,6.571,200
1790101782.386,java-user-service,10.361,200
1790101782.395,java-product-service,9.646,200
1790101782.403,java-order-service,7.447,200
1790101782.920,java-user-service,11.170,200
