t,service,latency_ms
1790104642.669,java-user-service,10.793
1790104642.683,java-product-service,12.130
1790104642.694,java-order-service,10.810
1790104647.726,java-user-service,20.742
1790104647.745,java-product-service,13.001
1790104647.758,java-order-service,8.854
1790104652.786,java-user-service,18.256
1790104652.799,java-product-service,8.187
1790104652.812,java-order-service,7.591
1790104657.843,java-user-service,21.493
1790104657.862,java-product-service,14.003
1790104657.876,java-order-service,9.238
1790104662.911,java-user-service,21.795
1790104662.926,java-product-service,10.118
1790104662.936,java-order-service,7.132
1790104667.953,java-user-service,14.099
1790104667.962,java-product-service,7.373
1790104667.970,java-order-service,7.672
1790104672.994,java-user-service,12.349
1790104673.006,java-product-service,7.687
1790104673.017,java-order-service,6.823
1790104678.035,java-user-service,6.499
1790104678.042,java-product-service,5.773
1790104678.050,java-order-service,5.355
1790104683.066,java-user-service,9.264
1790104683.076,java-product-service,7.397
1790104683.090,java-order-service,8.807
1790104688.107,java-user-service,6.955
1790104688.116,java-product-service,5.131
1790104688.127,java-order-service,5.909
1790104693.142,java-user-service,8.854
1790104693.154,java-product-service,6.023
1790104693.165,java-order-service,7.887
1790104698.178,java-user-service,6.807
1790104698.190,java-product-service,6.683
1790104698.203,java-order-service,7.656
1790104703.222,java-user-service,11.309
1790104703.234,java-product-service,7.530
1790104703.244,java-order-service,6.987
1790104708.254,java-user-service,8.232
1790104708.267,java-product-service,7.766
1790104708.278,java-order-service,7.180
1790104713.296,java-user-service,8.764
1790104713.308,java-product-service,6.828
1790104713.318,java-order-service,5.844
1790104718.338,java-user-service,7.568
1790104718.350,java-product-service,5.984
1790104718.360,java-order-service,5.634
1790104723.383,java-user-service,14.100
1790104723.397,java-product-service,9.600
1790104723.407,java-order-service,7.410
1790104728.429,java-user-service,10.763
1790104728.438,java-product-service,5.248
1790104728.447,java-order-service,6.708
1790104733.484,java-user-service,31.717
1790104733.505,java-product-service,17.817
1790104733.526,java-order-service,18.786
1790104738.541,java-user-service,7.233
1790104738.549,java-product-service,5.273
1790104738.556,java-order-service,5.280
1790104743.583,java-user-service,23.962
1790104743.606,java-product-service,17.956
1790104743.620,java-order-service,10.882
1790104748.642,java-user-service,18.703
1790104748.662,java-product-service,14.415
1790104748.675,java-order-service,8.926
1790104753.698,java-user-service,12.168
1790104753.711,java-product-service,8.154
1790104753.721,java-order-service,7.416
1790104758.749,java-user-service,20.134
1790104758.767,java-product-service,14.326
1790104758.781,java-order-service,11.604
1790104763.809,java-user-service,18.920
1790104763.819,java-product-service,7.539
1790104763.828,java-order-service,7.363
1790104768.854,java-user-service,15.345
1790104768.868,java-product-service,10.423
1790104768.879,java-order-service,8.911
1790104773.908,java-user-service,17.478
1790104773.921,java-product-service,9.378
1790104773.931,java-order-service,7.877
1790104778.950,java-user-service,16.704
1790104778.969,java-product-service,15.450
1790104778.982,java-order-service,9.541
1790104783.999,java-user-service,11.410
1790104784.012,java-product-service,8.345
1790104784.021,java-order-service,5.993
1790104789.043,java-user-service,16.183
1790104789.058,java-product-service,11.096
1790104789.071,java-order-service,9.667
1790104794.096,java-user-service,15.277
1790104794.108,java-product-service,10.886
1790104794.117,java-order-service,7.923
