t,k6_cpu_percent_of_one_core,k6_rss_bytes
1790114244.061,nan,68730880.0
1790114248.176,1.2069283832866868,72646656.0
1790114252.318,2.1764837442355116,76726272.0
1790114256.453,4.0921227325166525,79036416.0
1790114260.608,3.367776188847914,79888384.0
1790114264.765,4.821601877782403,84000768.0
1790114268.913,4.330845948659112,84033536.0
1790114273.066,4.872152156714877,80068608.0
1790114277.170,8.497253396368635,81870848.0
1790114281.289,15.83909882925468,91881472.0
1790114285.393,21.203381412920557,103350272.0
1790114289.498,25.657160081687753,109477888.0
1790114293.589,26.549270947674547,113688576.0
1790114297.695,26.220197880561418,114966528.0
1790114301.817,26.63959554447073,117276672.0
1790114305.979,24.726006126625624,117374976.0
1790114310.064,25.365217044430434,119046144.0
1790114314.166,25.574046091771123,119046144.0
1790114318.313,25.600185732479595,121552896.0
1790114322.450,24.19415899348057,122109952.0
1790114326.587,26.87454846649181,123846656.0
1790114330.714,24.604459850052805,123387904.0
1790114334.821,24.326980569464126,122961920.0
1790114338.931,24.059446698212014,126533632.0
1790114343.048,18.913189236166883,126566400.0
1790114347.221,12.893498622854798,126533632.0
1790114351.335,5.065156036086455,126533632.0
1790114355.481,5.3119272065195355,123518976.0
1790114359.623,4.088657421397719,123551744.0
1790114363.781,4.334439810297973,123551744.0
1790114367.934,5.7756019731876105,123650048.0
1790114372.089,4.769489126261975,123224064.0
1790114376.282,4.817490749342306,123158528.0
1790114380.434,6.255840776630896,123027456.0
1790114384.590,4.093210371791606,122945536.0
1790114388.743,2.6546215628900316,122961920.0
1790114392.887,1.68636658968537,123027456.0
