t,k6_cpu_percent_of_one_core,k6_rss_bytes
1790098580.416,nan,152207360.0
1790098584.526,2.188511535639233,160759808.0
1790098588.646,2.424289504616104,150487040.0
1790098592.766,1.9501587818202972,127827968.0
1790098596.867,6.103071633459963,174751744.0
1790098600.962,1.9498641376985915,176816128.0
1790098605.064,2.2021382048711664,178536448.0
1790098609.160,1.9346817773704266,173850624.0
1790098613.288,1.950427438860289,177881088.0
1790098617.388,2.4393199175809257,184565760.0
1790098621.490,1.9601214986295235,190414848.0
1790098625.569,1.7057601048271014,196427776.0
1790098629.674,6.319336792402372,202244096.0
1790098633.787,2.179111280750745,199671808.0
1790098637.924,2.432476978685875,199720960.0
1790098642.028,2.4441170189178045,199819264.0
1790098646.119,1.217531790835658,164069376.0
1790098650.235,2.912681444911212,172687360.0
1790098654.353,2.4172595266203083,180092928.0
1790098658.491,1.9430653398122981,185810944.0
1790098662.601,6.8043233684961955,206848000.0
1790098666.718,1.5700012988816532,199884800.0
1790098671.816,2.6839768122234866,205012992.0
1790098675.914,2.9080672911555494,205602816.0
1790098680.039,1.7063548188970261,206405632.0
1790098684.146,1.6921100468423083,209305600.0
1790098688.283,7.752365545413742,220413952.0
1790098692.402,1.7114162566464963,217612288.0
1790098696.499,1.7017436072448482,216285184.0
1790098700.613,1.7015050430338143,217202688.0
1790098704.729,4.834354392774345,223412224.0
1790098708.866,1.699250128123255,225853440.0
1790098712.985,1.6928248869081401,227524608.0
1790098717.120,1.697460151631785,229113856.0
1790098721.243,5.33884698798331,232505344.0
1790098725.360,1.7055321039459264,234242048.0
1790098729.466,5.840551210226913,238157824.0
1790098733.570,1.7084872575105097,237879296.0
1790098737.671,1.7046457490436664,207781888.0
1790098741.782,1.6940649708011704,220626944.0
1790098745.907,1.9463379369698361,213942272.0
1790098750.024,1.444953799739454,207388672.0
1790098754.173,1.7059085710201978,222281728.0
1790098758.273,10.668746583084621,255000576.0
1790098762.404,1.2131505474921205,256294912.0
1790098766.525,0.9715574246629961,258244608.0
1790098770.640,0.7276144239942773,259145728.0
1790098774.760,0.9665152880218235,259391488.0
1790098778.904,1.211392619300834,249626624.0
1790098783.029,1.2135869293487778,248791040.0
1790098787.150,0.0,0.0
