t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790101527.936,java-order-service,1.44,281857228.8,26.25,35
1790101527.936,java-product-service,2.53,346764083.2,32.29,38
1790101527.936,java-user-service,24.67,358927564.8,33.42,39
1790101527.936,research-postgres,0.27,136000307.2,12.67,43
1790101527.936,research-redis,1.44,40076574.72,7.46,8
1790101532.026,java-order-service,1.85,282171801.6,26.28,35
1790101532.026,java-product-service,1.58,346973798.4,32.32,38
1790101532.026,java-user-service,123.24,359871283.2,33.51,40
1790101532.026,research-postgres,1.25,136314880.0,12.69,43
1790101532.026,research-redis,0.48,39971717.12,7.45,8
1790101536.164,java-order-service,0.8,282486374.4,26.31,35
1790101536.164,java-product-service,0.91,347393228.8,32.35,38
1790101536.164,java-user-service,149.03,361024716.8,33.63,40
1790101536.164,research-postgres,1.33,143445196.8,13.36,46
1790101536.164,research-redis,0.47,40244346.88,7.50,8
1790101540.272,java-order-service,1.2,283010662.4,26.36,35
1790101540.272,java-product-service,0.66,347288371.2,32.35,38
1790101540.272,java-user-service,139.56,363751014.4,33.88,40
1790101540.272,research-postgres,2.84,159698124.8,14.87,55
1790101540.272,research-redis,0.44,40055603.2,7.46,8
1790101544.379,java-order-service,0.71,283325235.2,26.39,35
1790101544.379,java-product-service,0.37,347393228.8,32.36,38
1790101544.379,java-user-service,147.22,364065587.2,33.90,40
1790101544.379,research-postgres,2.15,162634137.6,15.15,55
1790101544.379,research-redis,0.38,39636172.8,7.38,8
1790101548.504,java-order-service,0.09,283325235.2,26.39,35
1790101548.504,java-product-service,1.26,347707801.6,32.38,38
1790101548.504,java-user-service,151.4,367421030.4,34.22,43
1790101548.504,research-postgres,0.78,161480704.0,15.04,55
1790101548.504,research-redis,0.35,39615201.28,7.38,8
1790101552.607,java-order-service,0.96,283430092.8,26.40,35
1790101552.607,java-product-service,0.43,346973798.4,32.32,38
1790101552.607,java-user-service,150.48,366267596.8,34.11,41
1790101552.607,research-postgres,0.58,162109849.6,15.10,55
1790101552.607,research-redis,0.28,39132856.32,7.29,8
