t,service,latency_ms
1790101527.945,java-user-service,8.724
1790101527.954,java-product-service,7.094
1790101527.962,java-order-service,6.583
1790101532.970,java-user-service,7.084
1790101532.983,java-product-service,7.337
1790101532.993,java-order-service,6.881
1790101538.267,java-user-service,270.473
1790101538.276,java-product-service,7.257
1790101538.283,java-order-service,5.793
1790101543.299,java-user-service,5.458
1790101543.309,java-product-service,5.679
1790101543.321,java-order-service,8.141
1790101548.798,java-user-service,464.078
1790101548.806,java-product-service,5.582
1790101548.816,java-order-service,5.310
1790101554.079,java-user-service,251.025
1790101554.091,java-product-service,8.815
1790101554.100,java-order-service,5.034
1790101559.194,java-user-service,85.349
1790101559.204,java-product-service,6.027
1790101559.212,java-order-service,5.504
1790101564.659,java-user-service,439.680
1790101564.678,java-product-service,15.888
1790101564.689,java-order-service,7.910
1790101570.771,java-user-service,1076.225
1790101570.781,java-product-service,6.952
1790101570.789,java-order-service,5.373
1790101576.567,java-user-service,774.420
1790101576.578,java-product-service,8.737
1790101576.587,java-order-service,5.943
1790101581.845,java-user-service,252.039
1790101581.855,java-product-service,6.961
1790101581.866,java-order-service,8.110
1790101587.151,java-user-service,273.820
1790101587.165,java-product-service,10.575
1790101587.174,java-order-service,7.276
1790101592.687,java-user-service,500.708
1790101592.696,java-product-service,6.290
1790101592.706,java-order-service,5.199
1790101598.094,java-user-service,376.777
1790101598.104,java-product-service,7.286
1790101598.113,java-order-service,5.928
1790101604.370,java-user-service,1244.899
1790101604.380,java-product-service,6.288
1790101604.387,java-order-service,4.863
1790101609.660,java-user-service,260.666
1790101609.668,java-product-service,4.909
1790101609.677,java-order-service,4.907
1790101614.761,java-user-service,72.834
1790101614.772,java-product-service,7.803
1790101614.783,java-order-service,8.041
1790101620.555,java-user-service,761.646
1790101620.568,java-product-service,9.498
1790101620.583,java-order-service,12.793
1790101625.862,java-user-service,272.216
1790101625.872,java-product-service,6.822
1790101625.881,java-order-service,5.484
1790101631.211,java-user-service,322.503
1790101631.220,java-product-service,5.989
1790101631.229,java-order-service,4.945
1790101636.270,java-user-service,31.434
1790101636.281,java-product-service,8.866
1790101636.290,java-order-service,5.234
1790101641.872,java-user-service,573.864
1790101641.884,java-product-service,9.265
1790101641.894,java-order-service,6.905
1790101647.493,java-user-service,590.807
1790101647.500,java-product-service,4.415
1790101647.509,java-order-service,4.885
1790101652.661,java-user-service,142.362
1790101652.671,java-product-service,8.469
1790101652.682,java-order-service,8.527
1790101657.884,java-user-service,191.311
1790101657.893,java-product-service,5.968
1790101657.901,java-order-service,5.515
1790101663.372,java-user-service,468.510
1790101663.384,java-product-service,8.568
1790101663.394,java-order-service,8.231
1790101668.687,java-user-service,282.233
1790101668.695,java-product-service,5.187
1790101668.706,java-order-service,5.977
1790101674.018,java-user-service,301.439
1790101674.028,java-product-service,5.273
1790101674.036,java-order-service,5.181
1790101679.382,java-user-service,335.411
1790101679.393,java-product-service,7.332
1790101679.400,java-order-service,6.080
1790101684.699,java-user-service,295.574
1790101684.710,java-product-service,5.966
1790101684.720,java-order-service,5.489
1790101689.763,java-user-service,31.964
1790101689.775,java-product-service,9.438
1790101689.785,java-order-service,7.533
1790101695.057,java-user-service,267.475
1790101695.068,java-product-service,7.920
1790101695.079,java-order-service,8.242
1790101700.563,java-user-service,478.412
1790101700.571,java-product-service,5.314
1790101700.579,java-order-service,5.157
1790101705.754,java-user-service,168.426
1790101705.763,java-product-service,6.886
1790101705.793,java-order-service,27.481
1790101711.954,java-user-service,1159.683
1790101711.967,java-product-service,9.649
1790101711.979,java-order-service,8.269
1790101717.052,java-user-service,60.877
1790101717.063,java-product-service,6.082
1790101717.074,java-order-service,6.116
1790101722.255,java-user-service,168.459
1790101722.263,java-product-service,5.374
1790101722.272,java-order-service,6.012
1790101727.391,java-user-service,107.343
1790101727.400,java-product-service,5.513
1790101727.420,java-order-service,16.339
1790101732.486,java-user-service,56.894
1790101732.498,java-product-service,5.891
1790101732.507,java-order-service,6.385
