t,service,latency_ms,status
1790113999.767,java-user-service,10.638,200
1790113999.784,java-product-service,16.737,200
1790113999.795,java-order-service,10.885,200
1790114000.311,java-user-service,12.456,200
1790114000.318,java-product-service,7.776,200
1790114000.324,java-order-service,5.954,200
1790114000.840,java-user-service,12.015,200
1790114000.844,java-product-service,4.627,200
1790114000.848,java-order-service,3.937,200
1790114001.363,java-user-service,11.443,200
1790114001.370,java-product-service,6.818,200
1790114001.377,java-order-service,7.183,200
1790114001.888,java-user-service,5.053,200
1790114001.891,java-product-service,3.678,200
1790114001.896,java-order-service,4.513,200
1790114002.406,java-user-service,5.157,200
1790114002.410,java-product-service,4.303,200
1790114002.415,java-order-service,4.359,200
1790114002.926,java-user-service,6.850,200
1790114002.932,java-product-service,6.225,200
1790114002.937,java-order-service,5.177,200
1790114003.448,java-user-service,5.167,200
1790114003.452,java-product-service,3.979,200
1790114003.456,java-order-service,3.798,200
1790114004.042,java-user-service,86.458,200
1790114004.057,java-product-service,14.932,200
1790114004.063,java-order-service,5.331,200
1790114004.584,java-user-service,16.567,200
1790114004.590,java-product-service,5.306,200
1790114004.596,java-order-service,6.396,200
1790114005.145,java-user-service,46.278,200
1790114005.148,java-product-service,3.156,200
1790114005.152,java-order-service,3.140,200
1790114005.718,java-user-service,64.043,200
1790114005.722,java-product-service,3.397,200
1790114005.725,java-order-service,3.171,200
1790114006.234,java-user-service,4.277,200
1790114006.239,java-product-service,4.760,200
1790114006.243,java-order-service,3.777,200
1790114006.842,java-user-service,94.280,200
1790114006.845,java-product-service,3.403,200
1790114006.848,java-order-service,3.142,200
1790114007.354,java-user-service,3.305,200
1790114007.357,java-product-service,2.912,200
1790114007.360,java-order-service,3.195,200
1790114007.868,java-user-service,2.757,200
1790114007.871,java-product-service,3.185,200
1790114007.874,java-order-service,3.095,200
1790114008.379,java-user-service,3.942,200
1790114008.383,java-product-service,3.848,200
1790114008.387,java-order-service,4.125,200
1790114008.941,java-user-service,48.692,200
1790114008.946,java-product-service,4.737,200
1790114008.951,java-order-service,4.840,200
1790114009.523,java-user-service,67.914,200
