t,service,latency_ms,status
1790102233.670,swift-user-service,2.425,200
1790102233.672,swift-product-service,1.934,200
1790102233.674,swift-order-service,1.723,200
1790102234.190,swift-user-service,6.033,200
1790102234.193,swift-product-service,3.233,200
1790102234.196,swift-order-service,2.906,200
1790102234.702,swift-user-service,5.505,200
1790102234.705,swift-product-service,3.217,200
1790102234.708,swift-order-service,2.999,200
1790102235.217,swift-user-service,5.759,200
1790102235.221,swift-product-service,3.420,200
1790102235.224,swift-order-service,2.971,200
1790102235.729,swift-user-service,1.504,200
1790102235.730,swift-product-service,1.247,200
1790102235.732,swift-order-service,1.446,200
1790102236.245,swift-user-service,6.021,200
1790102236.249,swift-product-service,3.621,200
1790102236.251,swift-order-service,2.875,200
1790102236.766,swift-user-service,5.784,200
1790102236.769,swift-product-service,3.326,200
1790102236.772,swift-order-service,3.134,200
1790102237.279,swift-user-service,5.737,200
1790102237.283,swift-product-service,3.333,200
1790102237.286,swift-order-service,2.781,200
1790102237.795,swift-user-service,7.234,200
1790102237.799,swift-product-service,4.139,200
1790102237.803,swift-order-service,3.614,200
1790102238.313,swift-user-service,5.635,200
1790102238.316,swift-product-service,3.409,200
1790102238.319,swift-order-service,3.047,200
1790102238.826,swift-user-service,4.804,200
1790102238.829,swift-product-service,3.232,200
1790102238.832,swift-order-service,2.572,200
1790102239.344,swift-user-service,5.379,200
1790102239.347,swift-product-service,3.382,200
1790102239.350,swift-order-service,2.872,200
1790102239.865,swift-user-service,5.327,200
1790102239.869,swift-product-service,3.309,200
1790102239.872,swift-order-service,2.882,200
1790102240.385,swift-user-service,3.008,200
1790102240.387,swift-product-service,2.133,200
1790102240.389,swift-order-service,1.857,200
1790102240.904,swift-user-service,5.032,200
1790102240.908,swift-product-service,3.322,200
1790102240.910,swift-order-service,2.852,200
1790102241.424,swift-user-service,5.685,200
1790102241.427,swift-product-service,3.116,200
1790102241.430,swift-order-service,3.005,200
1790102241.942,swift-user-service,5.207,200
1790102241.945,swift-product-service,3.250,200
1790102241.948,swift-order-service,2.783,200
1790102242.455,swift-user-service,6.037,200
1790102242.458,swift-product-service,3.252,200
1790102242.461,swift-order-service,3.147,200
1790102242.973,swift-user-service,5.254,200
1790102242.977,swift-product-service,3.325,200
1790102242.980,swift-order-service,3.021,200
1790102243.486,swift-user-service,5.034,200
1790102243.490,swift-product-service,3.449,200
1790102243.492,swift-order-service,2.799,200
1790102244.003,swift-user-service,2.715,200
1790102244.005,swift-product-service,2.002,200
1790102244.006,swift-order-service,1.471,200
1790102244.513,swift-user-service,5.871,200
1790102244.516,swift-product-service,3.217,200
1790102244.519,swift-order-service,2.939,200
1790102245.035,swift-user-service,5.858,200
1790102245.038,swift-product-service,3.376,200
1790102245.041,swift-order-service,2.986,200
1790102245.553,swift-user-service,5.743,200
1790102245.556,swift-product-service,3.193,200
1790102245.560,swift-order-service,3.042,200
1790102246.075,swift-user-service,5.400,200
1790102246.079,swift-product-service,3.528,200
1790102246.082,swift-order-service,2.768,200
1790102246.595,swift-user-service,5.811,200
1790102246.598,swift-product-service,3.347,200
1790102246.601,swift-order-service,3.277,200
1790102247.116,swift-user-service,4.340,200
1790102247.119,swift-product-service,2.781,200
1790102247.121,swift-order-service,2.719,200
1790102247.631,swift-user-service,3.098,200
1790102247.633,swift-product-service,2.074,200
1790102247.635,swift-order-service,2.099,200
1790102248.151,swift-user-service,5.780,200
1790102248.155,swift-product-service,4.567,200
1790102248.160,swift-order-service,4.229,200
1790102248.669,swift-user-service,6.025,200
1790102248.672,swift-product-service,3.246,200
1790102248.676,swift-order-service,3.113,200
1790102249.192,swift-user-service,5.767,200
1790102249.195,swift-product-service,3.100,200
1790102249.198,swift-order-service,2.902,200
1790102249.707,swift-user-service,5.510,200
1790102249.710,swift-product-service,3.237,200
1790102249.713,swift-order-service,2.729,200
1790102250.224,swift-user-service,4.395,200
1790102250.228,swift-product-service,3.496,200
1790102250.231,swift-order-service,3.129,200
1790102250.744,swift-user-service,6.049,200
1790102250.747,swift-product-service,2.997,200
1790102250.750,swift-order-service,3.000,200
1790102251.264,swift-user-service,4.559,200
1790102251.268,swift-product-service,3.786,200
1790102251.270,swift-order-service,2.645,200
1790102251.777,swift-user-service,3.193,200
1790102251.779,swift-product-service,1.987,200
1790102251.781,swift-order-service,1.709,200
1790102252.295,swift-user-service,5.627,200
1790102252.298,swift-product-service,3.164,200
1790102252.301,swift-order-service,2.902,200
1790102252.816,swift-user-service,5.184,200
1790102252.820,swift-product-service,3.311,200
1790102252.823,swift-order-service,2.916,200
1790102253.334,swift-user-service,4.573,200
1790102253.336,swift-product-service,2.512,200
1790102253.339,swift-order-service,2.748,200
1790102253.852,swift-user-service,2.400,200
1790102253.853,swift-product-service,1.613,200
1790102253.855,swift-order-service,1.579,200
1790102254.359,swift-user-service,1.661,200
1790102254.360,swift-product-service,1.243,200
1790102254.362,swift-order-service,1.115,200
1790102254.874,swift-user-service,4.828,200
1790102254.877,swift-product-service,3.066,200
1790102254.880,swift-order-service,3.027,200
1790102255.392,swift-user-service,4.434,200
1790102255.395,swift-product-service,3.119,200
1790102255.398,swift-order-service,2.926,200
1790102255.905,swift-user-service,2.624,200
1790102255.906,swift-product-service,1.767,200
1790102255.908,swift-order-service,1.479,200
1790102256.422,swift-user-service,5.279,200
1790102256.425,swift-product-service,2.872,200
1790102256.428,swift-order-service,2.834,200
1790102256.937,swift-user-service,2.717,200
1790102256.939,swift-product-service,1.721,200
1790102256.940,swift-order-service,1.424,200
1790102257.448,swift-user-service,4.980,200
1790102257.451,swift-product-service,3.069,200
1790102257.454,swift-order-service,2.999,200
1790102257.970,swift-user-service,5.313,200
1790102257.973,swift-product-service,3.298,200
1790102257.976,swift-order-service,3.100,200
1790102258.484,swift-user-service,1.402,200
1790102258.485,swift-product-service,0.984,200
1790102258.486,swift-order-service,0.961,200
1790102259.001,swift-user-service,4.210,200
1790102259.004,swift-product-service,3.557,200
1790102259.007,swift-order-service,2.666,200
1790102259.521,swift-user-service,3.489,200
1790102259.524,swift-product-service,2.671,200
1790102259.526,swift-order-service,2.025,200
1790102260.030,swift-user-service,3.473,200
1790102260.032,swift-product-service,2.717,200
1790102260.035,swift-order-service,2.687,200
1790102260.546,swift-user-service,2.421,200
1790102260.547,swift-product-service,1.222,200
1790102260.548,swift-order-service,1.375,200
1790102261.056,swift-user-service,3.048,200
1790102261.057,swift-product-service,1.839,200
1790102261.059,swift-order-service,1.632,200
1790102261.568,swift-user-service,4.748,200
1790102261.571,swift-product-service,2.970,200
1790102261.574,swift-order-service,3.234,200
1790102262.083,swift-user-service,2.962,200
1790102262.085,swift-product-service,2.052,200
1790102262.087,swift-order-service,1.735,200
1790102262.598,swift-user-service,4.569,200
1790102262.601,swift-product-service,3.063,200
1790102262.604,swift-order-service,2.761,200
1790102263.115,swift-user-service,5.420,200
1790102263.118,swift-product-service,2.993,200
1790102263.121,swift-order-service,2.873,200
1790102263.631,swift-user-service,1.991,200
1790102263.632,swift-product-service,1.051,200
1790102263.633,swift-order-service,1.300,200
1790102264.139,swift-user-service,1.975,200
1790102264.141,swift-product-service,1.280,200
1790102264.142,swift-order-service,1.150,200
1790102264.648,swift-user-service,5.175,200
1790102264.652,swift-product-service,3.000,200
1790102264.654,swift-order-service,2.564,200
1790102265.170,swift-user-service,5.930,200
1790102265.174,swift-product-service,3.370,200
1790102265.177,swift-order-service,3.206,200
1790102265.690,swift-user-service,4.772,200
1790102265.693,swift-product-service,3.341,200
1790102265.696,swift-order-service,2.936,200
1790102266.211,swift-user-service,4.674,200
1790102266.213,swift-product-service,2.731,200
1790102266.216,swift-order-service,2.823,200
1790102266.729,swift-user-service,2.746,200
1790102266.731,swift-product-service,1.329,200
1790102266.732,swift-order-service,1.347,200
1790102267.239,swift-user-service,2.968,200
1790102267.241,swift-product-service,1.500,200
1790102267.243,swift-order-service,1.547,200
1790102267.756,swift-user-service,2.809,200
1790102267.757,swift-product-service,1.463,200
1790102267.758,swift-order-service,1.238,200
1790102268.270,swift-user-service,1.946,200
1790102268.272,swift-product-service,1.151,200
1790102268.273,swift-order-service,1.584,200
1790102268.784,swift-user-service,3.502,200
1790102268.786,swift-product-service,2.605,200
1790102268.789,swift-order-service,2.765,200
1790102269.300,swift-user-service,2.435,200
1790102269.301,swift-product-service,1.164,200
1790102269.302,swift-order-service,1.002,200
1790102269.814,swift-user-service,3.021,200
1790102269.815,swift-product-service,1.693,200
1790102269.817,swift-order-service,1.480,200
1790102270.325,swift-user-service,2.749,200
1790102270.327,swift-product-service,1.533,200
1790102270.328,swift-order-service,1.411,200
1790102270.843,swift-user-service,5.515,200
1790102270.846,swift-product-service,3.219,200
1790102270.849,swift-order-service,2.766,200
1790102271.361,swift-user-service,4.365,200
1790102271.364,swift-product-service,3.135,200
1790102271.367,swift-order-service,2.965,200
1790102271.870,swift-user-service,1.639,200
1790102271.871,swift-product-service,1.047,200
1790102271.872,swift-order-service,1.123,200
1790102272.385,swift-user-service,3.243,200
1790102272.387,swift-product-service,2.144,200
1790102272.389,swift-order-service,1.915,200
1790102272.893,swift-user-service,3.256,200
1790102272.895,swift-product-service,2.220,200
1790102272.897,swift-order-service,2.247,200
1790102273.412,swift-user-service,5.209,200
1790102273.417,swift-product-service,4.272,200
1790102273.420,swift-order-service,3.128,200
1790102273.925,swift-user-service,1.890,200
1790102273.926,swift-product-service,1.539,200
1790102273.928,swift-order-service,1.910,200
1790102274.440,swift-user-service,1.847,200
1790102274.441,swift-product-service,1.148,200
1790102274.442,swift-order-service,1.050,200
1790102274.952,swift-user-service,4.400,200
1790102274.955,swift-product-service,2.902,200
1790102274.958,swift-order-service,2.792,200
1790102275.465,swift-user-service,2.727,200
1790102275.467,swift-product-service,1.263,200
1790102275.468,swift-order-service,1.120,200
1790102275.978,swift-user-service,2.184,200
1790102275.979,swift-product-service,0.999,200
1790102275.980,swift-order-service,0.955,200
1790102276.487,swift-user-service,1.928,200
1790102276.488,swift-product-service,1.147,200
1790102276.490,swift-order-service,1.056,200
1790102276.994,swift-user-service,2.435,200
1790102276.995,swift-product-service,1.269,200
1790102276.997,swift-order-service,1.250,200
1790102277.509,swift-user-service,1.878,200
1790102277.510,swift-product-service,1.230,200
1790102277.511,swift-order-service,1.153,200
1790102278.023,swift-user-service,2.136,200
1790102278.025,swift-product-service,1.586,200
1790102278.027,swift-order-service,1.503,200
1790102278.533,swift-user-service,4.327,200
1790102278.536,swift-product-service,2.969,200
1790102278.539,swift-order-service,2.895,200
1790102279.044,swift-user-service,1.606,200
1790102279.045,swift-product-service,1.012,200
1790102279.046,swift-order-service,1.011,200
1790102279.556,swift-user-service,2.128,200
1790102279.557,swift-product-service,1.152,200
1790102279.558,swift-order-service,0.972,200
1790102280.066,swift-user-service,2.532,200
1790102280.067,swift-product-service,1.269,200
1790102280.069,swift-order-service,1.497,200
1790102280.582,swift-user-service,2.653,200
1790102280.584,swift-product-service,1.983,200
1790102280.585,swift-order-service,1.426,200
1790102281.091,swift-user-service,2.684,200
1790102281.092,swift-product-service,1.365,200
1790102281.094,swift-order-service,1.540,200
1790102281.606,swift-user-service,3.300,200
1790102281.607,swift-product-service,1.619,200
1790102281.609,swift-order-service,1.747,200
1790102282.116,swift-user-service,1.634,200
1790102282.117,swift-product-service,0.903,200
1790102282.118,swift-order-service,0.950,200
1790102282.624,swift-user-service,2.305,200
1790102282.625,swift-product-service,1.127,200
1790102282.626,swift-order-service,0.966,200
1790102283.133,swift-user-service,2.350,200
1790102283.134,swift-product-service,1.246,200
1790102283.135,swift-order-service,1.217,200
1790102283.638,swift-user-service,2.325,200
1790102283.639,swift-product-service,1.038,200
1790102283.640,swift-order-service,0.885,200
1790102284.153,swift-user-service,4.882,200
1790102284.157,swift-product-service,4.277,200
1790102284.160,swift-order-service,2.997,200
1790102284.663,swift-user-service,1.770,200
1790102284.664,swift-product-service,1.038,200
1790102284.665,swift-order-service,1.073,200
1790102285.170,swift-user-service,2.761,200
1790102285.172,swift-product-service,1.571,200
1790102285.173,swift-order-service,1.567,200
1790102285.677,swift-user-service,1.390,200
1790102285.678,swift-product-service,0.840,200
1790102285.679,swift-order-service,0.973,200
1790102286.190,swift-user-service,1.561,200
1790102286.191,swift-product-service,1.326,200
1790102286.192,swift-order-service,1.073,200
1790102286.705,swift-user-service,2.265,200
1790102286.706,swift-product-service,1.469,200
1790102286.707,swift-order-service,1.120,200
1790102287.216,swift-user-service,2.872,200
1790102287.218,swift-product-service,1.750,200
1790102287.219,swift-order-service,1.731,200
1790102287.732,swift-user-service,4.150,200
1790102287.734,swift-product-service,2.629,200
1790102287.737,swift-order-service,2.336,200
1790102288.239,swift-user-service,1.579,200
1790102288.240,swift-product-service,0.895,200
1790102288.241,swift-order-service,1.050,200
1790102288.745,swift-user-service,2.039,200
1790102288.748,swift-product-service,2.538,200
1790102288.749,swift-order-service,1.713,200
1790102289.258,swift-user-service,2.275,200
1790102289.259,swift-product-service,1.542,200
1790102289.261,swift-order-service,1.335,200
1790102289.764,swift-user-service,3.024,200
1790102289.766,swift-product-service,2.190,200
1790102289.771,swift-order-service,4.272,200
1790102290.278,swift-user-service,2.545,200
1790102290.280,swift-product-service,1.272,200
1790102290.281,swift-order-service,1.616,200
1790102290.790,swift-user-service,1.231,200
1790102290.791,swift-product-service,0.951,200
1790102290.792,swift-order-service,0.916,200
1790102291.295,swift-user-service,3.610,200
1790102291.298,swift-product-service,2.799,200
1790102291.301,swift-order-service,2.612,200
1790102291.817,swift-user-service,5.965,200
1790102291.819,swift-product-service,2.224,200
1790102291.821,swift-order-service,1.660,200
1790102292.336,swift-user-service,5.267,200
1790102292.340,swift-product-service,3.223,200
1790102292.343,swift-order-service,3.408,200
1790102292.851,swift-user-service,2.145,200
1790102292.853,swift-product-service,1.303,200
1790102292.854,swift-order-service,0.964,200
1790102293.364,swift-user-service,1.338,200
1790102293.365,swift-product-service,0.841,200
1790102293.365,swift-order-service,0.838,200
1790102293.874,swift-user-service,5.681,200
1790102293.878,swift-product-service,4.338,200
1790102293.882,swift-order-service,3.217,200
1790102294.387,swift-user-service,2.665,200
1790102294.389,swift-product-service,1.750,200
1790102294.391,swift-order-service,1.872,200
1790102294.905,swift-user-service,5.002,200
1790102294.908,swift-product-service,2.885,200
1790102294.911,swift-order-service,2.810,200
1790102295.423,swift-user-service,3.019,200
1790102295.426,swift-product-service,2.631,200
1790102295.428,swift-order-service,2.285,200
1790102295.935,swift-user-service,5.437,200
1790102295.937,swift-product-service,2.118,200
1790102295.939,swift-order-service,1.469,200
1790102296.443,swift-user-service,2.972,200
1790102296.445,swift-product-service,1.377,200
1790102296.446,swift-order-service,1.755,200
1790102296.958,swift-user-service,1.756,200
1790102296.959,swift-product-service,1.185,200
1790102296.960,swift-order-service,1.008,200
1790102297.470,swift-user-service,3.045,200
1790102297.472,swift-product-service,1.769,200
1790102297.474,swift-order-service,1.749,200
1790102297.980,swift-user-service,1.686,200
1790102297.981,swift-product-service,1.009,200
1790102297.982,swift-order-service,1.081,200
1790102298.488,swift-user-service,1.936,200
1790102298.489,swift-product-service,1.046,200
1790102298.490,swift-order-service,0.954,200
1790102298.993,swift-user-service,2.514,200
1790102298.995,swift-product-service,1.511,200
1790102298.996,swift-order-service,1.260,200
1790102299.510,swift-user-service,4.252,200
1790102299.513,swift-product-service,3.091,200
1790102299.516,swift-order-service,3.486,200
1790102300.024,swift-user-service,1.618,200
1790102300.028,swift-product-service,3.970,200
1790102300.029,swift-order-service,1.348,200
1790102300.532,swift-user-service,2.017,200
1790102300.533,swift-product-service,1.745,200
1790102300.534,swift-order-service,1.132,200
1790102301.043,swift-user-service,1.577,200
1790102301.043,swift-product-service,0.922,200
1790102301.044,swift-order-service,0.824,200
1790102301.553,swift-user-service,1.950,200
1790102301.554,swift-product-service,1.145,200
1790102301.555,swift-order-service,1.091,200
1790102302.058,swift-user-service,2.007,200
1790102302.059,swift-product-service,1.132,200
1790102302.066,swift-order-service,7.349,200
1790102302.580,swift-user-service,3.409,200
1790102302.581,swift-product-service,1.826,200
1790102302.583,swift-order-service,1.926,200
1790102303.086,swift-user-service,1.989,200
1790102303.087,swift-product-service,1.058,200
1790102303.088,swift-order-service,1.005,200
1790102303.599,swift-user-service,1.762,200
1790102303.600,swift-product-service,1.043,200
1790102303.601,swift-order-service,0.897,200
1790102304.113,swift-user-service,2.266,200
1790102304.114,swift-product-service,1.147,200
1790102304.115,swift-order-service,1.058,200
1790102304.623,swift-user-service,1.943,200
1790102304.624,swift-product-service,0.960,200
1790102304.625,swift-order-service,1.011,200
1790102305.136,swift-user-service,1.694,200
1790102305.137,swift-product-service,1.139,200
1790102305.138,swift-order-service,1.020,200
1790102305.641,swift-user-service,1.573,200
1790102305.642,swift-product-service,0.895,200
1790102305.643,swift-order-service,0.965,200
1790102306.154,swift-user-service,1.598,200
1790102306.155,swift-product-service,1.031,200
1790102306.156,swift-order-service,0.942,200
1790102306.661,swift-user-service,2.600,200
1790102306.662,swift-product-service,1.189,200
1790102306.663,swift-order-service,1.125,200
1790102307.167,swift-user-service,2.910,200
1790102307.174,swift-product-service,7.698,200
1790102307.176,swift-order-service,1.419,200
1790102307.684,swift-user-service,1.940,200
1790102307.685,swift-product-service,1.178,200
1790102307.686,swift-order-service,1.245,200
1790102308.195,swift-user-service,2.234,200
1790102308.196,swift-product-service,0.973,200
1790102308.197,swift-order-service,0.820,200
1790102308.703,swift-user-service,2.891,200
1790102308.704,swift-product-service,1.486,200
1790102308.705,swift-order-service,0.798,200
1790102309.215,swift-user-service,2.133,200
1790102309.216,swift-product-service,1.284,200
1790102309.217,swift-order-service,0.861,200
1790102309.732,swift-user-service,6.197,200
1790102309.733,swift-product-service,1.884,200
1790102309.735,swift-order-service,1.356,200
1790102310.239,swift-user-service,2.131,200
1790102310.240,swift-product-service,0.874,200
1790102310.241,swift-order-service,1.140,200
1790102310.752,swift-user-service,1.846,200
1790102310.754,swift-product-service,1.002,200
1790102310.754,swift-order-service,0.897,200
1790102311.306,swift-user-service,47.956,200
1790102311.308,swift-product-service,1.976,200
1790102311.310,swift-order-service,1.881,200
1790102311.815,swift-user-service,2.132,200
1790102311.816,swift-product-service,1.250,200
1790102311.817,swift-order-service,1.235,200
1790102312.327,swift-user-service,2.698,200
1790102312.329,swift-product-service,1.541,200
1790102312.330,swift-order-service,1.479,200
1790102312.843,swift-user-service,2.060,200
1790102312.844,swift-product-service,1.009,200
1790102312.845,swift-order-service,1.000,200
1790102313.352,swift-user-service,2.501,200
1790102313.353,swift-product-service,1.298,200
1790102313.354,swift-order-service,1.036,200
1790102313.865,swift-user-service,1.601,200
1790102313.866,swift-product-service,1.007,200
1790102313.867,swift-order-service,0.968,200
1790102314.407,swift-user-service,34.693,200
1790102314.409,swift-product-service,1.984,200
1790102314.410,swift-order-service,1.555,200
1790102314.913,swift-user-service,1.747,200
1790102314.915,swift-product-service,1.214,200
1790102314.916,swift-order-service,0.922,200
1790102315.419,swift-user-service,2.377,200
1790102315.420,swift-product-service,1.424,200
1790102315.421,swift-order-service,1.382,200
1790102315.927,swift-user-service,2.827,200
1790102315.930,swift-product-service,2.263,200
1790102315.932,swift-order-service,2.110,200
1790102316.441,swift-user-service,1.620,200
1790102316.442,swift-product-service,0.937,200
1790102316.443,swift-order-service,0.972,200
1790102316.947,swift-user-service,2.028,200
1790102316.948,swift-product-service,1.095,200
1790102316.949,swift-order-service,1.303,200
1790102317.461,swift-user-service,1.559,200
1790102317.462,swift-product-service,0.875,200
1790102317.463,swift-order-service,0.908,200
1790102317.966,swift-user-service,2.062,200
1790102317.967,swift-product-service,0.927,200
1790102317.968,swift-order-service,0.845,200
1790102318.480,swift-user-service,2.197,200
1790102318.482,swift-product-service,1.188,200
1790102318.482,swift-order-service,0.854,200
1790102318.990,swift-user-service,2.684,200
1790102318.993,swift-product-service,2.617,200
1790102318.995,swift-order-service,2.591,200
1790102319.498,swift-user-service,2.365,200
1790102319.499,swift-product-service,1.164,200
1790102319.501,swift-order-service,1.354,200
1790102320.006,swift-user-service,1.454,200
1790102320.007,swift-product-service,0.874,200
1790102320.008,swift-order-service,0.904,200
1790102320.516,swift-user-service,1.592,200
1790102320.517,swift-product-service,1.094,200
1790102320.518,swift-order-service,1.291,200
1790102321.030,swift-user-service,3.235,200
1790102321.031,swift-product-service,1.605,200
1790102321.033,swift-order-service,1.465,200
1790102321.539,swift-user-service,3.412,200
1790102321.541,swift-product-service,2.538,200
1790102321.544,swift-order-service,2.225,200
1790102322.052,swift-user-service,2.205,200
1790102322.054,swift-product-service,1.380,200
1790102322.055,swift-order-service,1.204,200
1790102322.565,swift-user-service,1.990,200
1790102322.566,swift-product-service,0.900,200
1790102322.567,swift-order-service,0.827,200
1790102323.078,swift-user-service,2.777,200
1790102323.080,swift-product-service,1.538,200
1790102323.081,swift-order-service,1.204,200
1790102323.587,swift-user-service,2.658,200
1790102323.588,swift-product-service,1.365,200
1790102323.589,swift-order-service,1.504,200
1790102324.094,swift-user-service,1.432,200
1790102324.095,swift-product-service,0.822,200
1790102324.096,swift-order-service,0.910,200
1790102324.607,swift-user-service,1.981,200
1790102324.608,swift-product-service,1.195,200
1790102324.610,swift-order-service,1.699,200
1790102325.122,swift-user-service,1.876,200
1790102325.123,swift-product-service,0.959,200
1790102325.124,swift-order-service,0.889,200
1790102325.633,swift-user-service,1.863,200
1790102325.635,swift-product-service,1.034,200
