t,service,latency_ms
1790102233.671,swift-user-service,3.473
1790102233.673,swift-product-service,2.262
1790102233.676,swift-order-service,1.878
1790102238.692,swift-user-service,6.137
1790102238.697,swift-product-service,3.836
1790102238.702,swift-order-service,4.352
1790102243.717,swift-user-service,3.513
1790102243.721,swift-product-service,2.848
1790102243.724,swift-order-service,2.398
1790102248.737,swift-user-service,5.481
1790102248.742,swift-product-service,3.837
1790102248.747,swift-order-service,3.283
1790102253.755,swift-user-service,3.788
1790102253.760,swift-product-service,3.168
1790102253.763,swift-order-service,2.806
1790102258.769,swift-user-service,3.636
1790102258.772,swift-product-service,2.494
1790102258.775,swift-order-service,2.282
1790102263.789,swift-user-service,2.795
1790102263.792,swift-product-service,2.483
1790102263.796,swift-order-service,2.382
1790102268.812,swift-user-service,4.973
1790102268.817,swift-product-service,3.369
1790102268.821,swift-order-service,2.992
1790102273.832,swift-user-service,4.858
1790102273.835,swift-product-service,1.982
1790102273.837,swift-order-service,1.568
1790102278.851,swift-user-service,6.036
1790102278.856,swift-product-service,3.953
1790102278.861,swift-order-service,3.634
1790102283.875,swift-user-service,5.446
1790102283.879,swift-product-service,3.644
1790102283.886,swift-order-service,5.212
1790102288.892,swift-user-service,1.692
1790102288.894,swift-product-service,1.380
1790102288.896,swift-order-service,1.213
1790102293.905,swift-user-service,2.746
1790102293.908,swift-product-service,2.332
1790102293.912,swift-order-service,2.359
1790102298.922,swift-user-service,6.091
1790102298.927,swift-product-service,4.038
1790102298.932,swift-order-service,3.904
1790102303.938,swift-user-service,2.359
1790102303.941,swift-product-service,1.411
1790102303.943,swift-order-service,1.386
1790102308.953,swift-user-service,2.339
1790102308.956,swift-product-service,1.806
1790102308.958,swift-order-service,1.439
1790102313.965,swift-user-service,1.832
1790102313.967,swift-product-service,1.397
1790102313.970,swift-order-service,1.704
1790102318.986,swift-user-service,4.908
1790102318.991,swift-product-service,3.871
1790102318.995,swift-order-service,3.404
1790102324.008,swift-user-service,2.119
1790102324.011,swift-product-service,1.768
1790102324.013,swift-order-service,1.352
1790102329.026,swift-user-service,2.449
1790102329.029,swift-product-service,1.565
1790102329.031,swift-order-service,1.152
1790102334.040,swift-user-service,3.317
1790102334.043,swift-product-service,2.110
1790102334.045,swift-order-service,1.737
1790102339.055,swift-user-service,2.041
1790102339.058,swift-product-service,1.793
1790102339.062,swift-order-service,1.709
1790102344.074,swift-user-service,1.675
1790102344.076,swift-product-service,1.321
1790102344.078,swift-order-service,1.293
1790102349.091,swift-user-service,1.944
1790102349.093,swift-product-service,1.450
1790102349.095,swift-order-service,1.333
1790102354.100,swift-user-service,2.707
1790102354.103,swift-product-service,2.050
1790102354.106,swift-order-service,1.833
1790102359.109,swift-user-service,1.537
1790102359.111,swift-product-service,1.364
1790102359.113,swift-order-service,1.475
1790102364.118,swift-user-service,2.328
1790102364.120,swift-product-service,1.277
1790102364.122,swift-order-service,1.154
1790102369.132,swift-user-service,1.502
1790102369.134,swift-product-service,1.704
1790102369.138,swift-order-service,1.683
1790102374.142,swift-user-service,1.859
1790102374.144,swift-product-service,1.388
1790102374.146,swift-order-service,1.445
1790102379.219,swift-user-service,61.899
1790102379.222,swift-product-service,2.543
1790102379.225,swift-order-service,2.129
1790102384.329,swift-user-service,97.411
1790102384.333,swift-product-service,3.255
1790102384.337,swift-order-service,2.860
1790102389.527,swift-user-service,179.464
1790102389.536,swift-product-service,8.513
1790102389.540,swift-order-service,2.372
1790102394.613,swift-user-service,65.373
1790102394.618,swift-product-service,4.126
1790102394.626,swift-order-service,7.078
1790102399.934,swift-user-service,304.196
1790102399.937,swift-product-service,2.485
1790102399.940,swift-order-service,1.624
1790102405.028,swift-user-service,86.209
1790102405.031,swift-product-service,2.506
1790102405.034,swift-order-service,1.727
1790102410.126,swift-user-service,89.700
1790102410.133,swift-product-service,6.915
1790102410.136,swift-order-service,1.862
1790102415.318,swift-user-service,179.685
1790102415.330,swift-product-service,10.419
1790102415.333,swift-order-service,2.321
1790102420.825,swift-user-service,490.013
1790102420.828,swift-product-service,2.153
1790102420.831,swift-order-service,1.728
1790102425.935,swift-user-service,101.474
1790102425.938,swift-product-service,2.619
1790102425.940,swift-order-service,1.486
1790102430.948,swift-user-service,2.003
1790102430.951,swift-product-service,1.660
1790102430.953,swift-order-service,1.709
1790102435.964,swift-user-service,2.447
1790102435.967,swift-product-service,1.837
1790102435.969,swift-order-service,1.456
1790102440.982,swift-user-service,2.480
1790102440.985,swift-product-service,1.794
1790102440.987,swift-order-service,1.977
1790102445.999,swift-user-service,2.023
1790102446.002,swift-product-service,1.922
1790102446.006,swift-order-service,1.735
