t,service,metric,labels,value
1790105104.711,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48742400.0
1790105104.711,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45084672.0
1790105104.711,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42291200.0
1790105109.730,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48750592.0
1790105109.730,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45232128.0
1790105109.730,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",43393024.0
1790105114.758,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48775168.0
1790105114.758,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45346816.0
1790105114.758,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",43528192.0
1790105119.772,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48783360.0
1790105119.772,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45375488.0
1790105119.772,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",43577344.0
1790105124.796,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48787456.0
1790105124.796,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45453312.0
1790105124.796,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",43606016.0
1790105129.811,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48812032.0
1790105129.811,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45461504.0
1790105129.811,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",43671552.0
1790105134.836,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48816128.0
1790105134.836,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45547520.0
1790105134.836,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",43708416.0
1790105139.864,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48816128.0
