t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790107961.414,swift-order-service,0.32,9420406.784,0.88,70
1790107961.414,swift-product-service,0.35,11555307.52,1.08,76
1790107961.414,swift-user-service,0.44,25983713.28,2.42,76
1790107961.414,research-postgres,0.17,87713382.4,8.17,13
1790107961.414,research-redis,0.72,7630487.552,1.42,8
1790107965.527,swift-order-service,0.15,9944694.784,0.93,71
1790107965.527,swift-product-service,0.51,11544821.76,1.07,76
1790107965.527,swift-user-service,0.63,26203914.24,2.44,76
1790107965.527,research-postgres,0.02,89737134.08,8.36,14
1790107965.527,research-redis,0.99,7823425.536,1.46,8
1790107969.674,swift-order-service,0.55,9654239.232,0.90,70
1790107969.674,swift-product-service,0.75,11534336.0,1.07,76
1790107969.674,swift-user-service,15.71,26140999.68,2.43,76
1790107969.674,research-postgres,0.34,90271907.84,8.41,14
1790107969.674,research-redis,0.9,7987003.392,1.49,8
1790107973.849,swift-order-service,2.02,9576644.608,0.89,70
1790107973.849,swift-product-service,3.01,11827937.28,1.10,76
1790107973.849,swift-user-service,6.82,25732055.04,2.40,76
1790107973.849,research-postgres,0.31,90104135.68,8.39,14
1790107973.849,research-redis,0.94,7885291.52,1.47,8
1790107978.010,swift-order-service,0.34,9978249.216,0.93,70
1790107978.010,swift-product-service,0.67,12090081.28,1.13,76
1790107978.010,swift-user-service,7.04,25669140.48,2.39,76
1790107978.010,research-postgres,0.3,90051706.88,8.39,14
1790107978.010,research-redis,0.93,7815036.928,1.46,8
1790107982.155,swift-order-service,1.62,9781116.928,0.91,70
1790107982.155,swift-product-service,1.44,12016680.96,1.12,76
1790107982.155,swift-user-service,12.67,25637683.2,2.39,76
1790107982.155,research-postgres,0.62,90460651.52,8.42,14
1790107982.155,research-redis,0.57,8233418.752,1.53,8
1790107986.347,swift-order-service,1.24,10006560.768,0.93,70
1790107986.347,swift-product-service,1.33,12006195.2,1.12,76
1790107986.347,swift-user-service,22.94,26361200.64,2.46,76
1790107986.347,research-postgres,0.96,90292879.36,8.41,14
1790107986.347,research-redis,0.92,8003780.608,1.49,8
1790107990.510,swift-order-service,0.69,10333716.48,0.96,70
1790107990.510,swift-product-service,1.85,11848908.8,1.10,76
1790107990.510,swift-user-service,29.48,25616711.68,2.39,76
1790107990.510,research-postgres,0.34,90083164.16,8.39,14
1790107990.510,research-redis,0.76,7836008.448,1.46,8
1790107994.661,swift-order-service,2.05,10288627.712,0.96,73
1790107994.661,swift-product-service,1.4,11838423.04,1.10,76
1790107994.661,swift-user-service,15.85,25836912.64,2.41,76
1790107994.661,research-postgres,0.65,90104135.68,8.39,14
1790107994.661,research-redis,0.82,7623147.52,1.42,8
1790107998.795,swift-order-service,2.36,10232004.608,0.95,72
1790107998.795,swift-product-service,1.95,12090081.28,1.13,76
1790107998.795,swift-user-service,23.28,25459425.28,2.37,76
1790107998.795,research-postgres,1.31,90156564.48,8.40,14
1790107998.795,research-redis,1.35,7446986.752,1.39,8
1790108002.948,swift-order-service,0.93,10399776.768,0.97,72
1790108002.948,swift-product-service,1.02,12079595.52,1.12,76
1790108002.948,swift-user-service,21.15,25406996.48,2.37,76
1790108002.948,research-postgres,0.46,90156564.48,8.40,14
1790108002.948,research-redis,0.53,7442792.448,1.39,8
1790108007.131,swift-order-service,1.11,10716446.72,1.00,72
1790108007.131,swift-product-service,1.05,12132024.32,1.13,76
1790108007.131,swift-user-service,18.84,26172456.96,2.44,76
1790108007.131,research-postgres,0.51,90523566.08,8.43,14
1790108007.131,research-redis,0.66,8089763.84,1.51,8
1790108011.292,swift-order-service,1.63,10601103.36,0.99,73
1790108011.292,swift-product-service,1.12,11817451.52,1.10,76
1790108011.292,swift-user-service,34.96,25920798.72,2.41,76
1790108011.292,research-postgres,0.6,96972308.48,9.03,18
1790108011.292,research-redis,0.44,7851737.088,1.46,8
1790108015.426,swift-order-service,1.72,10412359.68,0.97,72
1790108015.426,swift-product-service,1.46,11796480.0,1.10,76
1790108015.426,swift-user-service,44.35,26004684.8,2.42,76
1790108015.426,research-postgres,0.79,96835993.6,9.02,18
1790108015.426,research-redis,0.45,7516192.768,1.40,8
1790108019.538,swift-order-service,1.77,10643046.4,0.99,72
1790108019.538,swift-product-service,1.3,11890851.84,1.11,76
1790108019.538,swift-user-service,51.25,26151485.44,2.44,76
1790108019.538,research-postgres,1.39,97475624.96,9.08,18
1790108019.538,research-redis,1.68,6922698.752,1.29,8
1790108023.661,swift-order-service,1.35,11230248.96,1.05,73
1790108023.661,swift-product-service,1.67,11838423.04,1.10,76
1790108023.661,swift-user-service,59.61,25931284.48,2.42,76
1790108023.661,research-postgres,2.39,103274250.24,9.62,22
1790108023.661,research-redis,0.54,7683964.928,1.43,8
1790108027.764,swift-order-service,0.97,11167334.4,1.04,72
1790108027.764,swift-product-service,1.16,12394168.32,1.15,76
1790108027.764,swift-user-service,67.35,26445086.72,2.46,76
1790108027.764,research-postgres,0.7,103924367.36,9.68,22
1790108027.764,research-redis,0.56,7868514.304,1.47,8
1790108031.870,swift-order-service,2.23,11282677.76,1.05,72
1790108031.870,swift-product-service,1.28,12394168.32,1.15,76
1790108031.870,swift-user-service,69.65,26843545.6,2.50,77
1790108031.870,research-postgres,1.35,106325606.4,9.90,23
1790108031.870,research-redis,0.47,7249854.464,1.35,8
1790108035.987,swift-order-service,1.79,11167334.4,1.04,72
1790108035.987,swift-product-service,1.37,12677283.84,1.18,76
1790108035.987,swift-user-service,62.22,26843545.6,2.50,77
1790108035.987,research-postgres,0.63,106115891.2,9.88,23
1790108035.987,research-redis,0.41,7921991.68,1.48,8
1790108040.106,swift-order-service,1.73,11062476.8,1.03,74
1790108040.106,swift-product-service,1.66,12561940.48,1.17,76
1790108040.106,swift-user-service,68.43,26424115.2,2.46,76
1790108040.106,research-postgres,0.95,105486745.6,9.83,23
1790108040.106,research-redis,0.55,7643070.464,1.42,8
1790108044.223,swift-order-service,1.12,11785994.24,1.10,73
1790108044.223,swift-product-service,2.03,13128171.52,1.22,76
1790108044.223,swift-user-service,57.67,26424115.2,2.46,76
1790108044.223,research-postgres,0.83,106325606.4,9.90,23
1790108044.223,research-redis,0.51,8102346.752,1.51,8
1790108048.373,swift-order-service,1.59,11649679.36,1.09,73
1790108048.373,swift-product-service,1.46,12960399.36,1.21,76
1790108048.373,swift-user-service,64.18,26958888.96,2.51,76
1790108048.373,research-postgres,2.18,106430464.0,9.92,23
1790108048.373,research-redis,0.67,7754219.52,1.44,8
1790108052.477,swift-order-service,2.04,11817451.52,1.10,74
1790108052.477,swift-product-service,1.85,12960399.36,1.21,76
1790108052.477,swift-user-service,69.95,27126661.12,2.53,76
1790108052.477,research-postgres,1.13,106849894.4,9.95,23
1790108052.477,research-redis,0.56,8102346.752,1.51,8
1790108056.638,swift-order-service,1.45,11660165.12,1.09,74
1790108056.638,swift-product-service,1.56,12845056.0,1.20,76
1790108056.638,swift-user-service,68.55,27294433.28,2.54,76
1790108056.638,research-postgres,0.77,106325606.4,9.91,23
1790108056.638,research-redis,0.6,7597981.696,1.42,8
1790108060.780,swift-order-service,1.66,12006195.2,1.12,74
1790108060.780,swift-product-service,2.67,12792627.2,1.19,76
1790108060.780,swift-user-service,112.26,27053260.8,2.52,76
1790108060.780,research-postgres,2.11,106535321.6,9.92,23
1790108060.780,research-redis,0.6,7819231.232,1.46,8
1790108064.892,swift-order-service,2.33,11796480.0,1.10,74
1790108064.892,swift-product-service,2.15,12698255.36,1.18,76
1790108064.892,swift-user-service,76.49,27367833.6,2.55,76
1790108064.892,research-postgres,0.96,106745036.8,9.94,23
1790108064.892,research-redis,0.64,7933526.016,1.48,8
1790108069.004,swift-order-service,1.46,11733565.44,1.09,74
1790108069.004,swift-product-service,2.27,12645826.56,1.18,76
1790108069.004,swift-user-service,86.93,27210547.2,2.53,76
1790108069.004,research-postgres,0.92,106954752.0,9.96,23
1790108069.004,research-redis,0.48,7806648.32,1.45,8
1790108073.104,swift-order-service,2.23,11838423.04,1.10,74
1790108073.104,swift-product-service,2.82,12771655.68,1.19,76
1790108073.104,swift-user-service,101.57,27525120.0,2.56,77
1790108073.104,research-postgres,1.84,108422758.4,10.10,24
1790108073.104,research-redis,0.49,7724859.392,1.44,8
1790108077.220,swift-order-service,1.75,12037652.48,1.12,74
1790108077.220,swift-product-service,1.7,13379829.76,1.25,76
1790108077.220,swift-user-service,73.23,27252490.24,2.54,77
1790108077.220,research-postgres,1.01,108422758.4,10.09,24
1790108077.220,research-redis,0.51,7655653.376,1.43,8
1790108081.317,swift-order-service,1.2,12132024.32,1.13,74
1790108081.317,swift-product-service,1.9,13107200.0,1.22,76
1790108081.317,swift-user-service,74.87,27409776.64,2.55,76
1790108081.317,research-postgres,0.71,108317900.8,10.09,24
1790108081.317,research-redis,0.43,7544504.32,1.41,8
1790108085.427,swift-order-service,2.61,12016680.96,1.12,74
1790108085.427,swift-product-service,1.66,13327400.96,1.24,76
1790108085.427,swift-user-service,76.62,27755806.72,2.58,76
1790108085.427,research-postgres,1.36,108527616.0,10.10,24
1790108085.427,research-redis,0.35,7954497.536,1.48,8
1790108089.541,swift-order-service,2.55,12247367.68,1.14,74
1790108089.541,swift-product-service,2.93,13138657.28,1.22,76
1790108089.541,swift-user-service,81.13,27913093.12,2.60,77
1790108089.541,research-postgres,1.27,108737331.2,10.13,24
1790108089.541,research-redis,1.85,7872708.608,1.47,8
1790108093.665,swift-order-service,4.21,12415139.84,1.16,74
1790108093.665,swift-product-service,3.63,13191086.08,1.23,76
1790108093.665,swift-user-service,82.84,27504148.48,2.56,77
1790108093.665,research-postgres,1.46,108737331.2,10.13,24
1790108093.665,research-redis,0.59,7446986.752,1.39,8
1790108097.793,swift-order-service,1.77,11943280.64,1.11,74
1790108097.793,swift-product-service,1.72,13212057.6,1.23,76
1790108097.793,swift-user-service,89.44,27451719.68,2.56,77
1790108097.793,research-postgres,0.97,109051904.0,10.15,24
1790108097.793,research-redis,0.48,7982809.088,1.49,8
1790108101.911,swift-order-service,6.37,13369344.0,1.25,79
1790108101.911,swift-product-service,4.83,14375976.96,1.34,78
1790108101.911,swift-user-service,148.86,28521267.2,2.66,79
1790108101.911,research-postgres,5.12,110729625.6,10.31,25
1790108101.911,research-redis,0.63,8158969.856,1.52,8
1790108106.094,swift-order-service,4.33,12960399.36,1.21,79
1790108106.094,swift-product-service,3.68,14166261.76,1.32,78
1790108106.094,swift-user-service,150.1,28804382.72,2.68,79
1790108106.094,research-postgres,4.45,116601651.2,10.86,28
1790108106.094,research-redis,1.1,7827619.84,1.46,8
1790108110.259,swift-order-service,5.37,12551454.72,1.17,77
1790108110.259,swift-product-service,3.8,13285457.92,1.24,78
1790108110.259,swift-user-service,148.26,29968302.08,2.79,79
1790108110.259,research-postgres,4.24,122159104.0,11.37,31
1790108110.259,research-redis,0.87,7667187.712,1.43,8
1790108114.392,swift-order-service,3.72,12677283.84,1.18,77
1790108114.392,swift-product-service,5.03,13673431.04,1.27,78
1790108114.392,swift-user-service,153.71,29821501.44,2.78,79
1790108114.392,research-postgres,3.15,124151398.4,11.56,32
1790108114.392,research-redis,0.82,7204765.696,1.34,8
1790108118.553,swift-order-service,2.99,13149143.04,1.22,78
1790108118.553,swift-product-service,3.29,14029946.88,1.31,78
1790108118.553,swift-user-service,148.1,30335303.68,2.83,79
1790108118.553,research-postgres,5.21,129289420.8,12.04,35
1790108118.553,research-redis,2.24,8019509.248,1.49,8
1790108122.696,swift-order-service,2.05,13337886.72,1.24,78
1790108122.696,swift-product-service,2.73,14407434.24,1.34,78
1790108122.696,swift-user-service,148.62,30576476.16,2.85,79
1790108122.696,research-postgres,2.42,129289420.8,12.05,35
1790108122.696,research-redis,0.95,7819231.232,1.46,8
1790108126.861,swift-order-service,2.78,13778288.64,1.28,78
1790108126.861,swift-product-service,3.0,14113832.96,1.31,78
1790108126.861,swift-user-service,147.13,30482104.32,2.84,78
1790108126.861,research-postgres,3.84,129603993.6,12.07,35
1790108126.861,research-redis,0.83,7881097.216,1.47,8
1790108130.986,swift-order-service,2.37,13662945.28,1.27,80
1790108130.986,swift-product-service,2.56,13967032.32,1.30,78
1790108130.986,swift-user-service,154.43,30408704.0,2.83,78
1790108130.986,research-postgres,3.03,129394278.4,12.05,35
1790108130.986,research-redis,0.85,7750025.216,1.44,8
1790108135.140,swift-order-service,1.83,13631488.0,1.27,78
1790108135.140,swift-product-service,2.69,14113832.96,1.31,78
1790108135.140,swift-user-service,148.91,31006392.32,2.89,79
1790108135.140,research-postgres,2.39,132015718.4,12.29,36
1790108135.140,research-redis,1.06,7659847.68,1.43,8
1790108139.290,swift-order-service,5.21,13379829.76,1.25,78
1790108139.290,swift-product-service,3.84,14229176.32,1.33,78
1790108139.290,swift-user-service,153.68,30985420.8,2.89,78
1790108139.290,research-postgres,3.93,132225433.6,12.31,36
1790108139.290,research-redis,0.89,8195670.016,1.53,8
1790108143.452,swift-order-service,3.69,13641973.76,1.27,78
1790108143.452,swift-product-service,2.99,14690549.76,1.37,79
1790108143.452,swift-user-service,147.84,31583109.12,2.94,78
1790108143.452,research-postgres,3.0,133693440.0,12.45,37
1790108143.452,research-redis,0.74,7995392.0,1.49,8
1790108147.585,swift-order-service,3.22,13641973.76,1.27,79
1790108147.585,swift-product-service,4.72,14302576.64,1.33,79
1790108147.585,swift-user-service,156.31,31174164.48,2.90,78
1790108147.585,research-postgres,3.22,142920908.8,13.32,42
1790108147.585,research-redis,0.84,7836008.448,1.46,8
1790108151.741,swift-order-service,4.59,13558087.68,1.26,78
1790108151.741,swift-product-service,3.13,14617149.44,1.36,78
1790108151.741,swift-user-service,141.63,31142707.2,2.90,78
1790108151.741,research-postgres,2.51,142711193.6,13.29,42
1790108151.741,research-redis,0.8,8208252.928,1.53,8
1790108155.878,swift-order-service,1.92,13841203.2,1.29,78
1790108155.878,swift-product-service,1.9,14868807.68,1.38,78
1790108155.878,swift-user-service,95.93,31383879.68,2.92,78
1790108155.878,research-postgres,1.29,142816051.2,13.30,42
1790108155.878,research-redis,0.45,8003780.608,1.49,8
1790108159.981,swift-order-service,1.71,13704888.32,1.28,78
1790108159.981,swift-product-service,1.44,14680064.0,1.37,78
1790108159.981,swift-user-service,61.9,31446794.24,2.93,78
1790108159.981,research-postgres,2.71,143235481.6,13.34,42
1790108159.981,research-redis,0.39,7827619.84,1.46,8
1790108164.096,swift-order-service,0.76,14596177.92,1.36,78
1790108164.096,swift-product-service,2.09,14533263.36,1.35,78
1790108164.096,swift-user-service,61.57,31960596.48,2.98,78
1790108164.096,research-postgres,0.93,143130624.0,13.33,42
1790108164.096,research-redis,0.28,8285847.552,1.54,8
1790108168.218,swift-order-service,1.88,14459863.04,1.35,78
1790108168.218,swift-product-service,1.69,14701035.52,1.37,78
1790108168.218,swift-user-service,33.78,31320965.12,2.92,78
1790108168.218,research-postgres,2.05,143235481.6,13.34,42
1790108168.218,research-redis,1.81,8064598.016,1.50,8
1790108172.359,swift-order-service,1.07,13673431.04,1.27,78
1790108172.359,swift-product-service,0.74,14491320.32,1.35,78
1790108172.359,swift-user-service,0.62,31058821.12,2.89,78
1790108172.359,research-postgres,0.87,143130624.0,13.33,42
1790108172.359,research-redis,0.59,7921991.68,1.48,8
