t,service,latency_ms,status
1790095474.979,swift-user-service,1.982,200
1790095474.981,swift-product-service,1.856,200
1790095474.982,swift-order-service,1.728,200
1790095475.494,swift-user-service,4.254,200
1790095475.496,swift-product-service,2.018,200
1790095475.498,swift-order-service,2.036,200
1790095476.005,swift-user-service,3.604,200
1790095476.007,swift-product-service,2.016,200
1790095476.009,swift-order-service,1.786,200
1790095476.524,swift-user-service,4.941,200
1790095476.527,swift-product-service,3.505,200
1790095476.530,swift-order-service,2.815,200
1790095477.040,swift-user-service,1.865,200
1790095477.041,swift-product-service,1.253,200
1790095477.043,swift-order-service,1.549,200
1790095477.558,swift-user-service,6.184,200
1790095477.562,swift-product-service,3.789,200
1790095477.565,swift-order-service,3.046,200
1790095478.071,swift-user-service,5.940,200
1790095478.075,swift-product-service,3.557,200
1790095478.078,swift-order-service,3.017,200
1790095478.586,swift-user-service,5.244,200
1790095478.589,swift-product-service,3.383,200
1790095478.593,swift-order-service,3.057,200
1790095479.107,swift-user-service,4.597,200
1790095479.111,swift-product-service,3.398,200
1790095479.114,swift-order-service,3.725,200
1790095479.627,swift-user-service,5.714,200
1790095479.631,swift-product-service,4.196,200
1790095479.635,swift-order-service,4.308,200
1790095480.142,swift-user-service,5.909,200
1790095480.145,swift-product-service,3.010,200
1790095480.148,swift-order-service,2.512,200
1790095480.660,swift-user-service,4.597,200
1790095480.663,swift-product-service,2.603,200
1790095480.666,swift-order-service,2.661,200
1790095481.176,swift-user-service,5.784,200
1790095481.180,swift-product-service,4.171,200
1790095481.183,swift-order-service,3.271,200
1790095481.695,swift-user-service,5.984,200
1790095481.699,swift-product-service,4.383,200
1790095481.703,swift-order-service,3.301,200
1790095482.216,swift-user-service,5.027,200
1790095482.219,swift-product-service,3.238,200
1790095482.222,swift-order-service,2.890,200
1790095482.737,swift-user-service,5.387,200
1790095482.741,swift-product-service,3.023,200
1790095482.743,swift-order-service,2.930,200
1790095483.253,swift-user-service,5.567,200
1790095483.256,swift-product-service,3.015,200
1790095483.259,swift-order-service,2.731,200
1790095483.769,swift-user-service,4.016,200
1790095483.771,swift-product-service,2.425,200
1790095483.774,swift-order-service,2.781,200
1790095484.290,swift-user-service,5.682,200
1790095484.293,swift-product-service,3.344,200
1790095484.297,swift-order-service,3.106,200
1790095484.811,swift-user-service,5.921,200
1790095484.815,swift-product-service,4.215,200
1790095484.819,swift-order-service,4.391,200
1790095485.333,swift-user-service,5.359,200
1790095485.336,swift-product-service,2.963,200
1790095485.339,swift-order-service,3.138,200
1790095485.855,swift-user-service,5.805,200
1790095485.858,swift-product-service,2.752,200
1790095485.861,swift-order-service,2.503,200
1790095486.370,swift-user-service,4.593,200
1790095486.374,swift-product-service,3.957,200
1790095486.378,swift-order-service,3.575,200
1790095486.886,swift-user-service,5.047,200
1790095486.889,swift-product-service,3.068,200
1790095486.892,swift-order-service,2.955,200
1790095487.397,swift-user-service,1.541,200
1790095487.398,swift-product-service,1.055,200
