t,service,metric,labels,value
1790095474.976,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48680960.0
1790095474.976,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45092864.0
1790095474.976,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42274816.0
1790095479.994,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48685056.0
1790095479.994,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45174784.0
1790095479.994,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42283008.0
1790095485.017,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48685056.0
1790095485.017,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45309952.0
1790095485.017,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42287104.0
1790095490.039,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48685056.0
1790095490.039,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45453312.0
1790095490.039,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42295296.0
1790095495.063,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48689152.0
1790095495.063,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45547520.0
1790095495.063,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42303488.0
1790095500.080,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48693248.0
1790095500.080,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45674496.0
1790095500.080,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42303488.0
1790095505.091,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48758784.0
1790095505.091,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45727744.0
1790095505.091,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42311680.0
1790095510.100,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48758784.0
1790095510.100,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45817856.0
1790095510.100,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42315776.0
1790095515.113,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48762880.0
1790095515.113,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45838336.0
1790095515.113,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42323968.0
1790095520.130,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48766976.0
1790095520.130,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45854720.0
1790095520.130,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42323968.0
1790095525.147,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48766976.0
1790095525.147,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45912064.0
1790095525.147,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42336256.0
1790095530.166,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48766976.0
1790095530.166,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",46030848.0
1790095530.166,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42344448.0
1790095535.183,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48766976.0
1790095535.183,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",46071808.0
1790095535.183,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42348544.0
1790095540.205,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48771072.0
1790095540.205,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",46288896.0
1790095540.205,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42352640.0
1790095545.227,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48771072.0
1790095545.227,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",46370816.0
1790095545.227,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42360832.0
1790095550.240,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48771072.0
1790095550.240,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",46428160.0
1790095550.240,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42360832.0
1790095555.259,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48771072.0
1790095555.259,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",46473216.0
1790095555.259,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42369024.0
1790095560.275,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48771072.0
1790095560.275,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",46530560.0
1790095560.275,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42377216.0
1790095565.300,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48771072.0
1790095565.300,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",46612480.0
1790095565.300,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42377216.0
1790095570.321,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48795648.0
1790095570.321,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",46690304.0
1790095570.321,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42381312.0
1790095575.340,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48820224.0
1790095575.340,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",46739456.0
1790095575.340,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42385408.0
1790095580.362,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48824320.0
1790095580.362,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",46768128.0
1790095580.362,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42389504.0
1790095585.379,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48828416.0
1790095585.379,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",46837760.0
1790095585.379,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42393600.0
1790095590.397,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48836608.0
1790095590.397,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",46891008.0
1790095590.397,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42397696.0
1790095595.420,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48873472.0
1790095595.420,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",46903296.0
