t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790102880.321,swift-order-service,0.17,9400483.84,0.88,70
1790102880.321,swift-user-service,0.43,14459863.04,1.35,76
1790102880.321,swift-product-service,0.3,11838423.04,1.10,77
1790102880.321,research-postgres,0.23,87325409.28,8.13,13
1790102880.321,research-redis,0.89,39877345.28,7.43,8
1790102884.443,swift-order-service,0.3,9396289.536,0.88,70
1790102884.443,swift-user-service,7.7,14417920.0,1.34,76
1790102884.443,swift-product-service,1.07,12079595.52,1.13,77
1790102884.443,research-postgres,0.09,87514152.96,8.15,13
1790102884.443,research-redis,0.83,40076574.72,7.46,8
1790102888.643,swift-order-service,0.47,9101639.68,0.85,70
1790102888.643,swift-user-service,10.63,14145290.24,1.32,76
1790102888.643,swift-product-service,1.12,12079595.52,1.12,77
1790102888.643,research-postgres,0.09,87210065.92,8.12,13
1790102888.643,research-redis,0.81,40097546.24,7.47,8
1790102892.800,swift-order-service,2.12,9711910.912,0.90,70
1790102892.800,swift-user-service,16.65,14260633.6,1.33,76
1790102892.800,swift-product-service,0.89,12069109.76,1.12,77
1790102892.800,research-postgres,1.12,86801121.28,8.08,13
1790102892.800,research-redis,0.61,40034631.68,7.46,8
1790102896.917,swift-order-service,0.2,9420406.784,0.88,70
1790102896.917,swift-user-service,21.35,14218690.56,1.32,76
1790102896.917,swift-product-service,2.06,12184453.12,1.13,77
1790102896.917,research-postgres,0.36,87157637.12,8.12,13
1790102896.917,research-redis,0.66,40139489.28,7.48,8
1790102901.023,swift-order-service,0.16,9416212.48,0.88,70
1790102901.023,swift-user-service,27.92,14187233.28,1.32,76
1790102901.023,swift-product-service,1.57,12132024.32,1.13,77
1790102901.023,research-postgres,0.17,87346380.8,8.14,13
1790102901.023,research-redis,0.53,40558919.68,7.55,8
1790102905.144,swift-order-service,0.31,9413066.752,0.88,70
1790102905.144,swift-user-service,26.51,14155776.0,1.32,76
1790102905.144,swift-product-service,2.17,12362711.04,1.15,77
1790102905.144,research-postgres,1.18,87577067.52,8.16,13
1790102905.144,research-redis,0.74,40212889.6,7.49,8
1790102909.245,swift-order-service,0.24,9592373.248,0.89,70
1790102909.245,swift-user-service,32.58,14103347.2,1.31,76
1790102909.245,swift-product-service,2.06,12268339.2,1.14,77
1790102909.245,research-postgres,0.3,87293952.0,8.13,13
1790102909.245,research-redis,0.49,40129003.52,7.47,8
1790102913.349,swift-order-service,0.19,9510584.32,0.89,70
1790102913.349,swift-user-service,29.58,13988003.84,1.30,76
1790102913.349,swift-product-service,1.9,12404654.08,1.16,78
1790102913.349,research-postgres,0.26,88436899.84,8.24,14
1790102913.349,research-redis,0.72,40170946.56,7.48,8
1790102917.492,swift-order-service,0.23,9224323.072,0.86,70
1790102917.492,swift-user-service,33.27,14396948.48,1.34,76
1790102917.492,swift-product-service,2.77,12352225.28,1.15,77
1790102917.492,research-postgres,0.31,89223331.84,8.31,14
1790102917.492,research-redis,0.56,39887831.04,7.43,8
1790102921.610,swift-order-service,0.2,9220128.768,0.86,70
1790102921.610,swift-user-service,42.32,14355005.44,1.34,77
1790102921.610,swift-product-service,2.2,12582912.0,1.17,77
1790102921.610,research-postgres,0.89,90743767.04,8.45,15
1790102921.610,research-redis,0.63,40328232.96,7.51,8
1790102925.732,swift-order-service,0.21,9093251.072,0.85,70
1790102925.732,swift-user-service,34.62,13883146.24,1.29,77
1790102925.732,swift-product-service,2.62,12803112.96,1.19,78
1790102925.732,research-postgres,0.66,90764738.56,8.45,15
1790102925.732,research-redis,0.58,39772487.68,7.41,8
1790102929.859,swift-order-service,0.29,9252634.624,0.86,70
1790102929.859,swift-user-service,35.98,14501806.08,1.35,76
1790102929.859,swift-product-service,2.37,12750684.16,1.19,78
1790102929.859,research-postgres,0.38,90775224.32,8.45,15
1790102929.859,research-redis,0.53,40359690.24,7.52,8
1790102933.996,swift-order-service,0.42,8638169.088,0.80,70
1790102933.996,swift-user-service,38.99,13128171.52,1.22,77
1790102933.996,swift-product-service,2.25,12645826.56,1.18,78
1790102933.996,research-postgres,0.37,92431974.4,8.61,16
1790102933.996,research-redis,0.58,40013660.16,7.45,8
1790102938.170,swift-order-service,1.38,9682550.784,0.90,70
1790102938.170,swift-user-service,38.54,14585692.16,1.36,76
1790102938.170,swift-product-service,4.5,12771655.68,1.19,78
1790102938.170,research-postgres,0.38,92243230.72,8.59,16
1790102938.170,research-redis,0.69,40233861.12,7.49,8
1790102942.343,swift-order-service,0.36,9478078.464,0.88,70
1790102942.343,swift-user-service,39.27,14271119.36,1.33,76
1790102942.343,swift-product-service,3.09,12907970.56,1.20,78
1790102942.343,research-postgres,0.26,92421488.64,8.61,16
1790102942.343,research-redis,0.82,40108032.0,7.47,8
1790102946.512,swift-order-service,0.18,9478078.464,0.88,70
1790102946.512,swift-user-service,39.44,14690549.76,1.37,76
1790102946.512,swift-product-service,3.68,13044285.44,1.21,79
1790102946.512,research-postgres,0.36,93774151.68,8.73,17
1790102946.512,research-redis,0.76,40296775.68,7.51,8
1790102950.651,swift-order-service,0.21,9473884.16,0.88,70
1790102950.651,swift-user-service,33.26,14606663.68,1.36,76
1790102950.651,swift-product-service,2.64,13453230.08,1.25,78
1790102950.651,research-postgres,0.36,93973381.12,8.75,17
1790102950.651,research-redis,0.67,40003174.4,7.45,8
1790102954.798,swift-order-service,0.23,9858711.552,0.92,70
1790102954.798,swift-user-service,32.18,14040432.64,1.31,76
1790102954.798,swift-product-service,3.27,13641973.76,1.27,78
1790102954.798,research-postgres,2.51,94204067.84,8.77,17
1790102954.798,research-redis,2.59,39845888.0,7.42,8
1790102958.956,swift-order-service,0.33,9854517.248,0.92,70
1790102958.956,swift-user-service,31.25,13935575.04,1.30,76
1790102958.956,swift-product-service,2.89,13285457.92,1.24,78
1790102958.956,research-postgres,0.39,94308925.44,8.78,17
1790102958.956,research-redis,0.66,40034631.68,7.46,8
1790102963.106,swift-order-service,0.26,9854517.248,0.92,70
1790102963.106,swift-user-service,56.95,14113832.96,1.31,76
1790102963.106,swift-product-service,4.31,13201571.84,1.23,78
1790102963.106,research-postgres,0.5,93994352.64,8.75,17
1790102963.106,research-redis,0.8,40024145.92,7.46,8
1790102967.253,swift-order-service,0.27,9851371.52,0.92,70
1790102967.253,swift-user-service,11.37,14334033.92,1.34,76
