t,service,latency_ms
1790102880.325,swift-user-service,3.659
1790102880.328,swift-product-service,2.881
1790102880.331,swift-order-service,2.114
1790102885.336,swift-user-service,4.745
1790102885.341,swift-product-service,3.849
1790102885.345,swift-order-service,3.250
1790102890.362,swift-user-service,6.031
1790102890.367,swift-product-service,4.055
1790102890.371,swift-order-service,2.985
1790102895.387,swift-user-service,5.087
1790102895.392,swift-product-service,4.108
1790102895.396,swift-order-service,3.094
1790102900.407,swift-user-service,3.808
1790102900.411,swift-product-service,2.851
1790102900.414,swift-order-service,1.927
1790102905.420,swift-user-service,3.397
1790102905.425,swift-product-service,2.471
1790102905.429,swift-order-service,2.219
1790102910.441,swift-user-service,1.876
1790102910.443,swift-product-service,1.576
1790102910.445,swift-order-service,1.432
1790102915.448,swift-user-service,1.818
1790102915.450,swift-product-service,1.237
1790102915.452,swift-order-service,1.102
1790102920.460,swift-user-service,2.374
1790102920.463,swift-product-service,1.874
1790102920.465,swift-order-service,1.633
1790102925.469,swift-user-service,1.805
1790102925.471,swift-product-service,1.346
1790102925.473,swift-order-service,1.184
1790102930.481,swift-user-service,4.352
1790102930.485,swift-product-service,2.466
1790102930.488,swift-order-service,2.186
1790102935.503,swift-user-service,5.556
1790102935.509,swift-product-service,3.863
1790102935.513,swift-order-service,3.548
1790102940.530,swift-user-service,6.432
1790102940.536,swift-product-service,3.970
1790102940.540,swift-order-service,3.158
1790102945.548,swift-user-service,6.422
1790102945.553,swift-product-service,3.893
1790102945.557,swift-order-service,3.018
1790102950.572,swift-user-service,5.293
1790102950.579,swift-product-service,4.970
1790102950.584,swift-order-service,3.713
1790102955.600,swift-user-service,5.949
1790102955.605,swift-product-service,3.866
1790102955.609,swift-order-service,3.138
1790102960.624,swift-user-service,4.949
1790102960.628,swift-product-service,3.723
1790102960.632,swift-order-service,2.906
1790102965.649,swift-user-service,5.645
1790102965.653,swift-product-service,3.453
1790102965.657,swift-order-service,3.033
1790102970.668,swift-user-service,6.266
1790102970.673,swift-product-service,3.734
1790102970.677,swift-order-service,3.024
1790102975.692,swift-user-service,3.993
1790102975.695,swift-product-service,3.049
1790102975.699,swift-order-service,2.340
1790102980.711,swift-user-service,2.453
1790102980.715,swift-product-service,1.688
1790102980.717,swift-order-service,1.596
1790102985.726,swift-user-service,2.347
1790102985.729,swift-product-service,1.766
1790102985.732,swift-order-service,1.421
1790102990.777,swift-user-service,35.198
1790102990.780,swift-product-service,2.298
1790102990.783,swift-order-service,1.989
1790102995.791,swift-user-service,3.296
1790102995.794,swift-product-service,2.092
1790102995.796,swift-order-service,1.537
1790103000.808,swift-user-service,5.004
1790103000.814,swift-product-service,4.027
1790103000.818,swift-order-service,3.133
1790103005.833,swift-user-service,6.101
1790103005.838,swift-product-service,4.046
1790103005.842,swift-order-service,3.067
1790103010.858,swift-user-service,5.864
1790103010.863,swift-product-service,3.983
1790103010.868,swift-order-service,3.286
1790103015.883,swift-user-service,5.578
1790103015.891,swift-product-service,6.368
1790103015.896,swift-order-service,3.935
1790103020.912,swift-user-service,6.038
1790103020.917,swift-product-service,3.622
1790103020.922,swift-order-service,3.148
1790103025.935,swift-user-service,3.068
1790103025.939,swift-product-service,2.884
1790103025.942,swift-order-service,2.303
1790103030.954,swift-user-service,1.857
1790103030.957,swift-product-service,1.583
1790103030.959,swift-order-service,1.388
1790103035.977,swift-user-service,11.993
1790103035.980,swift-product-service,1.666
1790103035.982,swift-order-service,1.439
1790103040.991,swift-user-service,3.190
1790103040.993,swift-product-service,1.484
1790103040.996,swift-order-service,1.686
1790103046.007,swift-user-service,4.789
1790103046.012,swift-product-service,3.495
1790103046.015,swift-order-service,2.784
1790103051.029,swift-user-service,5.707
1790103051.034,swift-product-service,3.836
1790103051.038,swift-order-service,3.334
1790103056.052,swift-user-service,5.628
1790103056.057,swift-product-service,4.112
1790103056.062,swift-order-service,3.420
1790103061.073,swift-user-service,6.854
1790103061.078,swift-product-service,4.150
1790103061.083,swift-order-service,3.361
1790103066.094,swift-user-service,5.637
1790103066.099,swift-product-service,3.612
1790103066.103,swift-order-service,3.301
1790103071.112,swift-user-service,3.341
1790103071.115,swift-product-service,2.420
1790103071.118,swift-order-service,1.843
1790103076.132,swift-user-service,5.520
1790103076.136,swift-product-service,3.644
1790103076.140,swift-order-service,3.051
1790103081.155,swift-user-service,6.090
1790103081.160,swift-product-service,3.974
1790103081.164,swift-order-service,2.967
1790103086.180,swift-user-service,5.811
1790103086.186,swift-product-service,4.133
1790103086.190,swift-order-service,2.822
1790103091.202,swift-user-service,4.939
1790103091.206,swift-product-service,3.294
1790103091.210,swift-order-service,2.982
1790103096.216,swift-user-service,3.404
1790103096.220,swift-product-service,3.165
1790103096.224,swift-order-service,2.635
1790103101.236,swift-user-service,3.706
1790103101.240,swift-product-service,2.604
1790103101.243,swift-order-service,2.144
1790103106.254,swift-user-service,2.867
1790103106.257,swift-product-service,2.100
1790103106.260,swift-order-service,1.959
1790103111.273,swift-user-service,3.101
1790103111.276,swift-product-service,2.122
1790103111.278,swift-order-service,1.895
1790103116.285,swift-user-service,3.456
1790103116.290,swift-product-service,3.628
1790103116.294,swift-order-service,2.964
1790103121.305,swift-user-service,4.657
1790103121.309,swift-product-service,3.132
1790103121.312,swift-order-service,2.658
