t,service,metric,labels,value
1790095298.938,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48742400.0
1790095298.938,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45023232.0
1790095298.938,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42258432.0
1790095303.957,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48775168.0
1790095303.957,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45142016.0
1790095303.957,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42266624.0
1790095308.978,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48779264.0
1790095308.978,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45182976.0
1790095308.978,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42266624.0
1790095314.000,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48787456.0
1790095314.000,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45289472.0
1790095314.000,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42274816.0
1790095319.026,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48807936.0
1790095319.026,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45330432.0
1790095319.026,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42278912.0
1790095324.050,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48836608.0
1790095324.050,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45432832.0
1790095324.050,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42291200.0
1790095329.065,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48881664.0
1790095329.065,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45547520.0
1790095329.065,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42291200.0
1790095334.090,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",49549312.0
1790095334.090,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",46227456.0
1790095334.090,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42299392.0
