t,service,latency_ms
1790102702.928,swift-user-service,5.245
1790102702.931,swift-product-service,2.338
1790102702.933,swift-order-service,1.714
1790102707.943,swift-user-service,3.235
1790102707.946,swift-product-service,2.576
1790102707.949,swift-order-service,2.194
1790102712.956,swift-user-service,5.361
1790102712.961,swift-product-service,3.643
1790102712.965,swift-order-service,3.063
1790102717.974,swift-user-service,2.682
1790102717.978,swift-product-service,3.269
1790102717.982,swift-order-service,2.992
1790102722.998,swift-user-service,6.407
1790102723.003,swift-product-service,3.983
1790102723.007,swift-order-service,3.161
1790102728.022,swift-user-service,6.182
1790102728.027,swift-product-service,3.544
1790102728.031,swift-order-service,2.751
1790102733.042,swift-user-service,6.356
1790102733.052,swift-product-service,8.217
1790102733.056,swift-order-service,3.157
1790102738.066,swift-user-service,7.911
1790102738.070,swift-product-service,3.616
1790102738.075,swift-order-service,3.163
1790102743.085,swift-user-service,2.289
1790102743.088,swift-product-service,1.966
1790102743.091,swift-order-service,2.158
1790102748.094,swift-user-service,1.984
1790102748.097,swift-product-service,1.885
1790102748.100,swift-order-service,1.712
1790102753.102,swift-user-service,1.993
1790102753.105,swift-product-service,1.928
1790102753.108,swift-order-service,1.943
1790102758.129,swift-user-service,15.265
1790102758.132,swift-product-service,1.817
1790102758.133,swift-order-service,1.187
1790102763.147,swift-user-service,3.310
1790102763.150,swift-product-service,2.075
1790102763.153,swift-order-service,2.003
1790102768.166,swift-user-service,3.163
1790102768.170,swift-product-service,2.390
1790102768.173,swift-order-service,2.137
1790102773.190,swift-user-service,16.423
1790102773.202,swift-product-service,10.864
1790102773.204,swift-order-service,1.583
1790102778.230,swift-user-service,15.028
1790102778.232,swift-product-service,1.739
1790102778.235,swift-order-service,1.626
1790102783.246,swift-user-service,3.002
1790102783.249,swift-product-service,2.034
1790102783.252,swift-order-service,1.888
1790102788.260,swift-user-service,4.753
1790102788.271,swift-product-service,9.562
1790102788.275,swift-order-service,3.496
1790102793.327,swift-user-service,43.433
1790102793.332,swift-product-service,3.763
1790102793.334,swift-order-service,1.899
1790102798.339,swift-user-service,3.547
1790102798.343,swift-product-service,2.122
1790102798.345,swift-order-service,1.545
1790102803.360,swift-user-service,5.732
1790102803.365,swift-product-service,3.998
1790102803.369,swift-order-service,2.926
1790102808.384,swift-user-service,5.844
1790102808.389,swift-product-service,3.841
1790102808.393,swift-order-service,3.084
1790102813.408,swift-user-service,4.569
1790102813.412,swift-product-service,3.532
1790102813.416,swift-order-service,2.874
1790102818.433,swift-user-service,5.908
1790102818.437,swift-product-service,3.626
1790102818.441,swift-order-service,2.905
1790102823.457,swift-user-service,5.392
1790102823.462,swift-product-service,3.820
1790102823.467,swift-order-service,3.121
1790102828.476,swift-user-service,4.123
1790102828.481,swift-product-service,3.588
1790102828.484,swift-order-service,2.485
1790102833.500,swift-user-service,5.976
1790102833.506,swift-product-service,4.268
1790102833.516,swift-order-service,9.629
1790102838.534,swift-user-service,6.574
1790102838.539,swift-product-service,4.003
1790102838.543,swift-order-service,3.296
1790102843.563,swift-user-service,12.262
1790102843.568,swift-product-service,4.280
1790102843.572,swift-order-service,2.813
1790102848.581,swift-user-service,3.927
1790102848.586,swift-product-service,3.504
1790102848.590,swift-order-service,3.498
1790102853.606,swift-user-service,5.731
1790102853.612,swift-product-service,4.040
1790102853.616,swift-order-service,3.163
