t,service,latency_ms,status
1790111309.614,swift-user-service,2.750,200
1790111309.616,swift-product-service,2.344,200
1790111309.618,swift-order-service,2.033,200
1790111310.134,swift-user-service,5.521,200
1790111310.137,swift-product-service,3.165,200
1790111310.140,swift-order-service,2.849,200
1790111310.650,swift-user-service,5.192,200
1790111310.654,swift-product-service,3.445,200
1790111310.658,swift-order-service,3.680,200
1790111311.173,swift-user-service,5.470,200
1790111311.176,swift-product-service,3.014,200
1790111311.179,swift-order-service,2.767,200
1790111311.684,swift-user-service,2.907,200
1790111311.685,swift-product-service,1.251,200
1790111311.686,swift-order-service,1.198,200
1790111312.200,swift-user-service,5.622,200
1790111312.203,swift-product-service,3.258,200
1790111312.206,swift-order-service,2.718,200
1790111312.712,swift-user-service,4.966,200
1790111312.715,swift-product-service,3.059,200
1790111312.718,swift-order-service,3.023,200
1790111313.234,swift-user-service,5.741,200
1790111313.237,swift-product-service,3.419,200
1790111313.240,swift-order-service,2.758,200
1790111313.748,swift-user-service,5.262,200
1790111313.752,swift-product-service,3.528,200
1790111313.755,swift-order-service,3.109,200
1790111314.270,swift-user-service,5.045,200
1790111314.274,swift-product-service,3.085,200
1790111314.277,swift-order-service,2.945,200
1790111314.792,swift-user-service,5.389,200
1790111314.795,swift-product-service,3.042,200
1790111314.798,swift-order-service,2.939,200
1790111315.311,swift-user-service,4.873,200
1790111315.315,swift-product-service,3.661,200
1790111315.318,swift-order-service,3.048,200
1790111315.826,swift-user-service,3.619,200
1790111315.830,swift-product-service,3.977,200
1790111315.835,swift-order-service,5.135,200
1790111316.349,swift-user-service,5.248,200
1790111316.352,swift-product-service,3.131,200
1790111316.355,swift-order-service,2.841,200
1790111316.864,swift-user-service,3.869,200
1790111316.867,swift-product-service,3.051,200
1790111316.870,swift-order-service,2.798,200
1790111317.384,swift-user-service,4.149,200
1790111317.388,swift-product-service,3.471,200
1790111317.391,swift-order-service,3.254,200
1790111317.903,swift-user-service,4.958,200
1790111317.907,swift-product-service,3.446,200
1790111317.910,swift-order-service,2.882,200
1790111318.414,swift-user-service,3.222,200
1790111318.416,swift-product-service,2.389,200
1790111318.419,swift-order-service,2.835,200
1790111318.926,swift-user-service,5.038,200
1790111318.929,swift-product-service,3.250,200
1790111318.932,swift-order-service,3.185,200
1790111319.439,swift-user-service,5.209,200
1790111319.443,swift-product-service,3.853,200
1790111319.446,swift-order-service,3.055,200
1790111319.961,swift-user-service,4.635,200
1790111319.964,swift-product-service,3.019,200
1790111319.967,swift-order-service,2.918,200
1790111320.476,swift-user-service,4.893,200
1790111320.478,swift-product-service,2.722,200
1790111320.481,swift-order-service,2.994,200
1790111320.990,swift-user-service,4.322,200
1790111320.993,swift-product-service,2.995,200
1790111320.996,swift-order-service,3.174,200
1790111321.501,swift-user-service,3.090,200
1790111321.503,swift-product-service,2.542,200
1790111321.506,swift-order-service,2.642,200
1790111322.011,swift-user-service,4.274,200
1790111322.013,swift-product-service,2.498,200
1790111322.016,swift-order-service,2.849,200
1790111322.530,swift-user-service,4.056,200
1790111322.533,swift-product-service,2.966,200
1790111322.536,swift-order-service,2.758,200
1790111323.046,swift-user-service,3.777,200
1790111323.049,swift-product-service,3.100,200
1790111323.053,swift-order-service,3.077,200
1790111323.557,swift-user-service,3.080,200
1790111323.560,swift-product-service,2.554,200
1790111323.562,swift-order-service,2.798,200
1790111324.074,swift-user-service,4.718,200
1790111324.077,swift-product-service,2.905,200
1790111324.080,swift-order-service,3.043,200
1790111324.590,swift-user-service,4.116,200
1790111324.593,swift-product-service,2.422,200
1790111324.595,swift-order-service,2.737,200
1790111325.100,swift-user-service,4.272,200
1790111325.104,swift-product-service,3.443,200
1790111325.107,swift-order-service,3.361,200
1790111325.619,swift-user-service,3.806,200
1790111325.621,swift-product-service,2.628,200
1790111325.624,swift-order-service,2.717,200
1790111326.139,swift-user-service,4.774,200
1790111326.142,swift-product-service,2.693,200
1790111326.145,swift-order-service,2.819,200
1790111326.652,swift-user-service,4.672,200
1790111326.655,swift-product-service,2.877,200
1790111326.658,swift-order-service,2.965,200
1790111327.170,swift-user-service,5.064,200
1790111327.173,swift-product-service,3.255,200
1790111327.176,swift-order-service,2.852,200
1790111327.685,swift-user-service,4.658,200
1790111327.689,swift-product-service,3.247,200
1790111327.692,swift-order-service,3.235,200
1790111328.204,swift-user-service,5.052,200
1790111328.207,swift-product-service,3.148,200
1790111328.211,swift-order-service,3.387,200
1790111328.726,swift-user-service,5.154,200
1790111328.729,swift-product-service,2.877,200
1790111328.732,swift-order-service,2.716,200
1790111329.237,swift-user-service,2.723,200
1790111329.239,swift-product-service,1.936,200
1790111329.240,swift-order-service,1.944,200
1790111329.743,swift-user-service,2.067,200
1790111329.745,swift-product-service,1.534,200
1790111329.746,swift-order-service,1.798,200
1790111330.260,swift-user-service,4.441,200
1790111330.263,swift-product-service,2.898,200
1790111330.266,swift-order-service,2.891,200
1790111330.772,swift-user-service,3.936,200
1790111330.774,swift-product-service,2.730,200
1790111330.778,swift-order-service,3.298,200
1790111331.288,swift-user-service,4.422,200
1790111331.291,swift-product-service,2.618,200
1790111331.293,swift-order-service,2.559,200
1790111331.799,swift-user-service,3.405,200
1790111331.801,swift-product-service,2.727,200
1790111331.804,swift-order-service,2.800,200
1790111332.315,swift-user-service,4.274,200
1790111332.318,swift-product-service,2.752,200
1790111332.321,swift-order-service,2.998,200
1790111332.834,swift-user-service,4.822,200
1790111332.837,swift-product-service,3.038,200
1790111332.840,swift-order-service,2.903,200
1790111333.349,swift-user-service,3.556,200
1790111333.352,swift-product-service,2.656,200
1790111333.355,swift-order-service,3.004,200
1790111333.865,swift-user-service,4.709,200
1790111333.868,swift-product-service,3.045,200
1790111333.871,swift-order-service,2.775,200
1790111334.385,swift-user-service,4.773,200
1790111334.389,swift-product-service,4.300,200
1790111334.392,swift-order-service,3.341,200
1790111334.903,swift-user-service,4.738,200
1790111334.906,swift-product-service,2.910,200
1790111334.909,swift-order-service,2.534,200
1790111335.422,swift-user-service,4.998,200
1790111335.425,swift-product-service,3.286,200
1790111335.429,swift-order-service,3.475,200
1790111335.938,swift-user-service,4.923,200
1790111335.942,swift-product-service,3.659,200
1790111335.945,swift-order-service,3.041,200
1790111336.460,swift-user-service,4.786,200
1790111336.463,swift-product-service,3.089,200
1790111336.466,swift-order-service,2.867,200
1790111336.974,swift-user-service,5.377,200
1790111336.977,swift-product-service,3.098,200
1790111336.980,swift-order-service,3.011,200
1790111337.491,swift-user-service,4.036,200
1790111337.494,swift-product-service,2.560,200
1790111337.496,swift-order-service,2.733,200
1790111338.006,swift-user-service,3.480,200
1790111338.010,swift-product-service,4.127,200
1790111338.012,swift-order-service,2.572,200
1790111338.524,swift-user-service,4.505,200
1790111338.527,swift-product-service,2.866,200
1790111338.531,swift-order-service,3.537,200
1790111339.042,swift-user-service,5.670,200
1790111339.046,swift-product-service,3.260,200
1790111339.049,swift-order-service,2.930,200
1790111339.560,swift-user-service,5.414,200
1790111339.563,swift-product-service,3.287,200
1790111339.566,swift-order-service,2.973,200
1790111340.071,swift-user-service,4.909,200
1790111340.076,swift-product-service,4.041,200
1790111340.080,swift-order-service,4.109,200
1790111340.594,swift-user-service,4.597,200
1790111340.597,swift-product-service,2.855,200
1790111340.600,swift-order-service,3.068,200
1790111341.109,swift-user-service,5.918,200
1790111341.113,swift-product-service,3.304,200
1790111341.116,swift-order-service,3.033,200
1790111341.622,swift-user-service,4.685,200
1790111341.625,swift-product-service,2.864,200
1790111341.628,swift-order-service,3.334,200
1790111342.133,swift-user-service,3.522,200
1790111342.136,swift-product-service,2.282,200
1790111342.138,swift-order-service,2.239,200
1790111342.644,swift-user-service,4.439,200
1790111342.647,swift-product-service,2.798,200
1790111342.650,swift-order-service,3.035,200
1790111343.159,swift-user-service,4.112,200
1790111343.161,swift-product-service,2.391,200
1790111343.164,swift-order-service,2.940,200
1790111343.672,swift-user-service,3.490,200
1790111343.675,swift-product-service,3.115,200
1790111343.678,swift-order-service,3.130,200
1790111344.184,swift-user-service,3.294,200
1790111344.187,swift-product-service,2.953,200
1790111344.190,swift-order-service,3.037,200
1790111344.700,swift-user-service,3.564,200
1790111344.703,swift-product-service,2.714,200
1790111344.706,swift-order-service,2.912,200
1790111345.211,swift-user-service,4.478,200
1790111345.213,swift-product-service,2.499,200
1790111345.217,swift-order-service,3.247,200
1790111345.729,swift-user-service,2.560,200
1790111345.731,swift-product-service,1.836,200
1790111345.733,swift-order-service,2.179,200
1790111346.238,swift-user-service,2.292,200
1790111346.240,swift-product-service,1.623,200
1790111346.242,swift-order-service,1.798,200
1790111346.752,swift-user-service,2.813,200
1790111346.754,swift-product-service,1.606,200
1790111346.755,swift-order-service,1.726,200
1790111347.262,swift-user-service,2.078,200
1790111347.265,swift-product-service,2.312,200
1790111347.268,swift-order-service,2.823,200
1790111347.773,swift-user-service,2.662,200
1790111347.774,swift-product-service,1.417,200
1790111347.776,swift-order-service,1.450,200
1790111348.282,swift-user-service,2.320,200
1790111348.283,swift-product-service,1.342,200
1790111348.285,swift-order-service,1.540,200
1790111348.796,swift-user-service,3.411,200
1790111348.797,swift-product-service,1.246,200
1790111348.799,swift-order-service,1.260,200
