t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790111309.610,swift-order-service,0.16,9535750.144,0.89,70
1790111309.610,swift-product-service,0.29,11691622.4,1.09,75
1790111309.610,swift-user-service,11.98,13914603.52,1.30,76
1790111309.610,research-postgres,0.17,88153784.32,8.21,13
1790111309.610,research-redis,0.81,7716470.784,1.44,8
1790111313.721,swift-order-service,0.43,9535750.144,0.89,70
1790111313.721,swift-product-service,2.42,11660165.12,1.09,75
1790111313.721,swift-user-service,2.32,14365491.2,1.34,76
1790111313.721,research-postgres,0.86,88174755.84,8.21,13
1790111313.721,research-redis,0.92,7655653.376,1.43,8
1790111317.878,swift-order-service,0.43,9535750.144,0.89,70
1790111317.878,swift-product-service,3.73,11639193.6,1.08,75
1790111317.878,swift-user-service,4.67,14438891.52,1.34,76
1790111317.878,research-postgres,0.0,88174755.84,8.21,13
1790111317.878,research-redis,1.1,8036286.464,1.50,8
1790111322.039,swift-order-service,1.56,9809428.48,0.91,70
1790111322.039,swift-product-service,6.54,11523850.24,1.07,75
1790111322.039,swift-user-service,8.13,14187233.28,1.32,76
1790111322.039,research-postgres,0.0,88541757.44,8.25,13
1790111322.039,research-redis,1.26,7868514.304,1.47,8
1790111326.206,swift-order-service,0.33,9744416.768,0.91,70
1790111326.206,swift-product-service,6.63,12499025.92,1.16,75
1790111326.206,swift-user-service,9.12,14480834.56,1.35,76
1790111326.206,research-postgres,0.71,87755325.44,8.17,13
1790111326.206,research-redis,1.43,7831814.144,1.46,8
1790111330.379,swift-order-service,0.29,9531555.84,0.89,70
1790111330.379,swift-product-service,8.81,11964252.16,1.11,75
1790111330.379,swift-user-service,9.75,14585692.16,1.36,76
1790111330.379,research-postgres,0.03,87524638.72,8.15,13
1790111330.379,research-redis,1.23,7795113.984,1.45,8
1790111334.547,swift-order-service,0.39,9273606.144,0.86,70
1790111334.547,swift-product-service,10.47,12331253.76,1.15,75
1790111334.547,swift-user-service,13.02,14071889.92,1.31,76
1790111334.547,research-postgres,0.68,87681925.12,8.17,13
1790111334.547,research-redis,1.52,7368343.552,1.37,8
1790111338.728,swift-order-service,0.37,9465495.552,0.88,70
1790111338.728,swift-product-service,12.59,12457082.88,1.16,77
1790111338.728,swift-user-service,12.35,14805893.12,1.38,77
1790111338.728,research-postgres,0.03,88342528.0,8.23,13
1790111338.728,research-redis,1.44,7626293.248,1.42,8
1790111342.879,swift-order-service,0.3,9465495.552,0.88,70
1790111342.879,swift-product-service,25.98,12855541.76,1.20,78
1790111342.879,swift-user-service,30.9,15644753.92,1.46,79
1790111342.879,research-postgres,0.02,91247083.52,8.50,15
1790111342.879,research-redis,1.87,7806648.32,1.45,8
1790111347.051,swift-order-service,0.15,8642363.392,0.80,70
1790111347.051,swift-product-service,33.55,13809745.92,1.29,78
1790111347.051,swift-user-service,45.07,16557015.04,1.54,78
1790111347.051,research-postgres,0.39,90513080.32,8.43,15
1790111347.051,research-redis,2.09,7855931.392,1.46,8
1790111351.177,swift-order-service,0.14,9162457.088,0.85,70
1790111351.177,swift-product-service,53.27,14921236.48,1.39,78
1790111351.177,swift-user-service,72.47,17448304.64,1.63,78
1790111351.177,research-postgres,0.01,91079311.36,8.48,15
1790111351.177,research-redis,3.28,8113881.088,1.51,8
1790111355.289,swift-order-service,0.2,9252634.624,0.86,70
1790111355.289,swift-product-service,64.34,16221470.72,1.51,78
1790111355.289,swift-user-service,83.73,19094568.96,1.78,78
1790111355.289,research-postgres,0.0,91205140.48,8.49,15
1790111355.289,research-redis,4.12,7806648.32,1.45,8
1790111359.440,swift-order-service,0.2,8982102.016,0.84,70
1790111359.440,swift-product-service,69.49,16515072.0,1.54,78
1790111359.440,swift-user-service,90.33,19828572.16,1.85,78
1790111359.440,research-postgres,0.0,91100282.88,8.48,15
1790111359.440,research-redis,4.54,8179941.376,1.52,8
1790111363.579,swift-order-service,0.34,9236905.984,0.86,70
1790111363.579,swift-product-service,72.38,16787701.76,1.56,78
1790111363.579,swift-user-service,95.76,19440599.04,1.81,78
1790111363.579,research-postgres,0.0,91215626.24,8.50,15
1790111363.579,research-redis,4.68,7806648.32,1.45,8
1790111367.713,swift-order-service,1.28,9613344.768,0.90,70
1790111367.713,swift-product-service,65.38,17406361.6,1.62,79
1790111367.713,swift-user-service,75.86,20436746.24,1.90,78
1790111367.713,research-postgres,3.53,105172172.8,9.79,24
1790111367.713,research-redis,5.31,7921991.68,1.48,8
1790111371.836,swift-order-service,0.07,9592373.248,0.89,70
1790111371.836,swift-product-service,67.07,17542676.48,1.63,78
1790111371.836,swift-user-service,87.54,20300431.36,1.89,79
1790111371.836,research-postgres,0.0,111568486.4,10.40,28
1790111371.836,research-redis,4.61,8281653.248,1.54,8
1790111376.001,swift-order-service,0.17,9589227.52,0.89,70
1790111376.001,swift-product-service,63.14,17783848.96,1.66,78
1790111376.001,swift-user-service,86.66,21139292.16,1.97,79
1790111376.001,research-postgres,0.0,111463628.8,10.38,28
1790111376.001,research-redis,4.27,8265924.608,1.54,8
1790111380.125,swift-order-service,0.17,9585033.216,0.89,70
1790111380.125,swift-product-service,66.0,17364418.56,1.62,78
1790111380.125,swift-user-service,91.44,20950548.48,1.95,79
1790111380.125,research-postgres,0.64,111673344.0,10.40,28
1790111380.125,research-redis,4.51,7769948.16,1.45,8
1790111384.293,swift-order-service,0.23,9671016.448,0.90,70
1790111384.293,swift-product-service,63.35,17196646.4,1.60,78
1790111384.293,swift-user-service,85.73,21086863.36,1.96,79
1790111384.293,research-postgres,0.01,111568486.4,10.39,28
1790111384.293,research-redis,4.26,7892631.552,1.47,8
1790111388.443,swift-order-service,0.34,9654239.232,0.90,70
1790111388.443,swift-product-service,64.25,17406361.6,1.62,78
1790111388.443,swift-user-service,86.43,21590179.84,2.01,79
1790111388.443,research-postgres,0.0,112721920.0,10.50,28
1790111388.443,research-redis,4.37,8081375.232,1.51,8
1790111392.583,swift-order-service,0.13,9367977.984,0.87,70
1790111392.583,swift-product-service,63.04,17217617.92,1.60,78
1790111392.583,swift-user-service,86.44,21380464.64,1.99,79
1790111392.583,research-postgres,0.0,112721920.0,10.50,28
1790111392.583,research-redis,4.25,7495221.248,1.40,8
1790111396.724,swift-order-service,0.22,9625927.68,0.90,70
