t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790095068.716,swift-order-service,0.15,9327083.52,0.87,70
1790095068.716,swift-product-service,0.31,11272192.0,1.05,75
1790095068.716,swift-user-service,10.57,14019461.12,1.31,76
1790095068.716,research-postgres,0.14,79104573.44,7.37,13
1790095068.716,research-redis,0.89,39982202.88,7.45,8
1790095072.823,swift-order-service,0.14,9314500.608,0.87,70
1790095072.823,swift-product-service,0.09,11513364.48,1.07,75
1790095072.823,swift-user-service,112.72,13820231.68,1.29,76
1790095072.823,research-postgres,1.75,79177973.76,7.37,13
1790095072.823,research-redis,0.37,39730544.64,7.40,8
1790095076.940,swift-order-service,0.36,9310306.304,0.87,70
1790095076.940,swift-product-service,0.46,11502878.72,1.07,75
1790095076.940,swift-user-service,147.97,14522777.6,1.35,78
1790095076.940,research-postgres,2.6,82648760.32,7.70,15
1790095076.940,research-redis,0.93,39762001.92,7.41,8
1790095081.077,swift-order-service,1.8,9359589.376,0.87,70
1790095081.077,swift-product-service,2.21,11534336.0,1.07,75
1790095081.077,swift-user-service,149.86,15130951.68,1.41,79
1790095081.077,research-postgres,1.81,89244303.36,8.31,19
1790095081.077,research-redis,0.88,39583744.0,7.37,8
1790095085.256,swift-order-service,0.1,9355395.072,0.87,70
1790095085.256,swift-product-service,0.14,11796480.0,1.10,75
1790095085.256,swift-user-service,153.14,15781068.8,1.47,79
1790095085.256,research-postgres,2.29,91823800.32,8.55,20
1790095085.256,research-redis,0.79,39636172.8,7.38,8
1790095089.430,swift-order-service,0.17,9351200.768,0.87,70
1790095089.430,swift-product-service,0.15,11796480.0,1.10,75
1790095089.430,swift-user-service,148.63,16798187.52,1.56,79
1790095089.430,research-postgres,1.89,97664368.64,9.10,23
1790095089.430,research-redis,1.07,39720058.88,7.40,8
1790095093.617,swift-order-service,0.09,9600761.856,0.89,70
1790095093.617,swift-product-service,0.54,11523850.24,1.07,75
1790095093.617,swift-user-service,148.94,17710448.64,1.65,79
1790095093.617,research-postgres,1.68,99698606.08,9.28,24
1790095093.617,research-redis,0.76,40108032.0,7.47,8
1790095097.787,swift-order-service,0.08,9896460.288,0.92,70
1790095097.787,swift-product-service,0.34,11817451.52,1.10,75
1790095097.787,swift-user-service,149.43,18045992.96,1.68,78
1790095097.787,research-postgres,1.15,99279175.68,9.25,24
1790095097.787,research-redis,0.68,39835402.24,7.42,8
1790095101.943,swift-order-service,0.08,9892265.984,0.92,71
1790095101.943,swift-product-service,0.13,11817451.52,1.10,75
1790095101.943,swift-user-service,148.59,18077450.24,1.68,78
1790095101.943,research-postgres,1.8,99027517.44,9.22,24
1790095101.943,research-redis,0.81,39709573.12,7.40,8
1790095106.143,swift-order-service,0.1,9888071.68,0.92,71
1790095106.143,swift-product-service,0.09,11817451.52,1.10,75
1790095106.143,swift-user-service,147.9,18276679.68,1.70,79
1790095106.143,research-postgres,3.31,101428756.48,9.45,25
1790095106.143,research-redis,0.79,39814430.72,7.42,8
1790095110.337,swift-order-service,0.13,9883877.376,0.92,71
1790095110.337,swift-product-service,0.15,11817451.52,1.10,75
1790095110.337,swift-user-service,158.57,19377684.48,1.80,79
1790095110.337,research-postgres,2.85,104333312.0,9.72,27
1790095110.337,research-redis,0.81,40034631.68,7.46,8
1790095114.541,swift-order-service,0.12,9441378.304,0.88,71
1790095114.541,swift-product-service,0.14,11932794.88,1.11,74
1790095114.541,swift-user-service,148.07,22827499.52,2.13,81
1790095114.541,research-postgres,2.34,106535321.6,9.92,28
1790095114.541,research-redis,0.69,39803944.96,7.41,8
1790095118.703,swift-order-service,0.03,9158262.784,0.85,71
1790095118.703,swift-product-service,0.12,11932794.88,1.11,74
1790095118.703,swift-user-service,148.89,20992491.52,1.95,78
1790095118.703,research-postgres,2.49,108213043.2,10.08,29
1790095118.703,research-redis,0.64,40359690.24,7.52,8
1790095122.910,swift-order-service,0.02,8154775.552,0.76,71
1790095122.910,swift-product-service,0.05,10317987.84,0.96,73
1790095122.910,swift-user-service,149.46,22575841.28,2.10,78
1790095122.910,research-postgres,3.03,108422758.4,10.10,29
1790095122.910,research-redis,1.76,40055603.2,7.46,8
1790095127.052,swift-order-service,1.58,9580838.912,0.89,71
1790095127.052,swift-product-service,0.24,11702108.16,1.09,72
1790095127.052,swift-user-service,150.73,22921871.36,2.14,78
1790095127.052,research-postgres,2.24,109471334.4,10.19,29
1790095127.052,research-redis,0.65,39950745.6,7.44,8
1790095131.240,swift-order-service,0.01,9318694.912,0.87,71
1790095131.240,swift-product-service,0.04,10989076.48,1.02,72
1790095131.240,swift-user-service,153.65,23561502.72,2.19,80
1790095131.240,research-postgres,2.11,109156761.6,10.17,29
1790095131.240,research-redis,0.48,39436943.36,7.35,8
1790095135.428,swift-order-service,0.11,8925478.912,0.83,71
1790095135.428,swift-product-service,0.13,11240734.72,1.05,72
1790095135.428,swift-user-service,146.17,24148705.28,2.25,78
1790095135.428,research-postgres,2.47,108842188.8,10.14,29
1790095135.428,research-redis,0.55,39667630.08,7.39,8
1790095139.621,swift-order-service,0.02,8888778.752,0.83,70
1790095139.621,swift-product-service,0.02,11188305.92,1.04,70
1790095139.621,swift-user-service,145.49,24893194.24,2.32,78
1790095139.621,research-postgres,1.44,109051904.0,10.15,29
1790095139.621,research-redis,0.62,39468400.64,7.35,8
1790095143.782,swift-order-service,0.02,9482272.768,0.88,70
1790095143.782,swift-product-service,0.02,11020533.76,1.03,70
1790095143.782,swift-user-service,146.86,25700597.76,2.39,78
1790095143.782,research-postgres,1.61,109051904.0,10.16,29
1790095143.782,research-redis,0.43,39751516.16,7.40,8
1790095147.985,swift-order-service,0.03,9478078.464,0.88,70
1790095147.985,swift-product-service,0.03,11272192.0,1.05,70
1790095147.985,swift-user-service,148.26,25973227.52,2.42,78
1790095147.985,research-postgres,1.41,108947046.4,10.15,29
1790095147.985,research-redis,0.77,39992688.64,7.45,8
1790095152.184,swift-order-service,0.08,9478078.464,0.88,70
1790095152.184,swift-product-service,0.1,11272192.0,1.05,70
1790095152.184,swift-user-service,148.27,28846325.76,2.69,80
1790095152.184,research-postgres,2.83,109261619.2,10.18,29
1790095152.184,research-redis,0.48,40160460.8,7.48,8
1790095156.369,swift-order-service,0.18,9473884.16,0.88,71
1790095156.369,swift-product-service,0.23,11534336.0,1.07,71
1790095156.369,swift-user-service,149.71,29129441.28,2.71,78
