t,service,metric,labels,value
1790095068.717,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48623616.0
1790095068.717,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",44990464.0
1790095068.717,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42274816.0
1790095073.731,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",48652288.0
1790095073.731,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45060096.0
1790095073.731,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42287104.0
1790095078.744,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",49184768.0
1790095078.744,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45150208.0
1790095078.744,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42295296.0
1790095083.762,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",50147328.0
1790095083.762,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45150208.0
1790095083.762,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42303488.0
1790095088.864,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",50929664.0
1790095088.864,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45219840.0
1790095088.864,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42307584.0
1790095094.055,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",51716096.0
1790095094.055,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45219840.0
1790095094.055,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42311680.0
1790095099.261,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",52326400.0
1790095099.261,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45219840.0
1790095099.261,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42315776.0
1790095104.568,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",52576256.0
1790095104.568,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",45285376.0
