t,service,latency_ms,status
1790105343.126,swift-user-service,2.814,200
1790105343.128,swift-product-service,1.946,200
1790105343.129,swift-order-service,1.647,200
1790105343.646,swift-user-service,6.795,200
1790105343.650,swift-product-service,3.734,200
1790105343.653,swift-order-service,3.045,200
1790105344.169,swift-user-service,5.940,200
1790105344.173,swift-product-service,3.535,200
1790105344.176,swift-order-service,3.401,200
1790105344.690,swift-user-service,5.747,200
1790105344.693,swift-product-service,3.254,200
1790105344.696,swift-order-service,2.717,200
1790105345.205,swift-user-service,1.834,200
1790105345.207,swift-product-service,1.458,200
1790105345.208,swift-order-service,1.289,200
1790105345.722,swift-user-service,3.849,200
1790105345.725,swift-product-service,2.867,200
1790105345.727,swift-order-service,2.202,200
1790105346.232,swift-user-service,2.504,200
1790105346.233,swift-product-service,1.589,200
1790105346.234,swift-order-service,1.290,200
1790105346.746,swift-user-service,1.598,200
1790105346.747,swift-product-service,1.111,200
1790105346.749,swift-order-service,1.825,200
1790105347.255,swift-user-service,1.629,200
1790105347.256,swift-product-service,1.249,200
1790105347.257,swift-order-service,1.338,200
1790105347.769,swift-user-service,1.735,200
1790105347.770,swift-product-service,1.191,200
1790105347.771,swift-order-service,1.017,200
1790105348.283,swift-user-service,3.966,200
1790105348.285,swift-product-service,1.938,200
1790105348.287,swift-order-service,1.524,200
1790105348.796,swift-user-service,2.423,200
1790105348.797,swift-product-service,1.430,200
1790105348.799,swift-order-service,1.299,200
1790105349.310,swift-user-service,1.601,200
1790105349.311,swift-product-service,0.970,200
1790105349.312,swift-order-service,0.911,200
1790105349.825,swift-user-service,2.380,200
1790105349.826,swift-product-service,1.565,200
1790105349.828,swift-order-service,1.582,200
1790105350.332,swift-user-service,2.179,200
1790105350.334,swift-product-service,1.561,200
1790105350.335,swift-order-service,1.446,200
1790105350.886,swift-user-service,47.507,200
1790105350.888,swift-product-service,2.363,200
1790105350.890,swift-order-service,2.192,200
1790105351.396,swift-user-service,4.451,200
1790105351.400,swift-product-service,4.634,200
1790105351.403,swift-order-service,2.420,200
1790105351.997,swift-user-service,83.693,200
1790105352.001,swift-product-service,4.570,200
1790105352.004,swift-order-service,2.874,200
1790105352.599,swift-user-service,84.295,200
1790105352.602,swift-product-service,3.246,200
1790105352.604,swift-order-service,2.400,200
1790105353.182,swift-user-service,70.328,200
1790105353.188,swift-product-service,6.715,200
1790105353.195,swift-order-service,6.632,200
1790105353.704,swift-user-service,8.325,200
1790105353.708,swift-product-service,4.142,200
1790105353.710,swift-order-service,2.419,200
1790105354.223,swift-user-service,3.102,200
1790105354.225,swift-product-service,2.185,200
1790105354.227,swift-order-service,1.953,200
1790105354.797,swift-user-service,59.499,200
1790105354.804,swift-product-service,7.133,200
1790105354.806,swift-order-service,2.620,200
1790105355.391,swift-user-service,82.401,200
1790105355.394,swift-product-service,3.297,200
1790105355.396,swift-order-service,2.307,200
1790105355.996,swift-user-service,93.973,200
1790105356.003,swift-product-service,6.946,200
1790105356.006,swift-order-service,2.591,200
1790105356.586,swift-user-service,71.286,200
1790105356.592,swift-product-service,5.854,200
1790105356.594,swift-order-service,2.628,200
1790105357.194,swift-user-service,97.739,200
1790105357.203,swift-product-service,8.997,200
1790105357.205,swift-order-service,2.509,200
1790105357.795,swift-user-service,79.098,200
1790105357.801,swift-product-service,6.731,200
1790105357.803,swift-order-service,2.037,200
1790105358.489,swift-user-service,177.817,200
1790105358.499,swift-product-service,10.053,200
1790105358.501,swift-order-service,1.878,200
1790105359.092,swift-user-service,89.996,200
1790105359.096,swift-product-service,4.076,200
1790105359.099,swift-order-service,2.697,200
1790105359.687,swift-user-service,87.594,200
1790105359.689,swift-product-service,2.452,200
1790105359.693,swift-order-service,4.312,200
1790105360.486,swift-user-service,288.944,200
1790105360.493,swift-product-service,6.329,200
1790105360.496,swift-order-service,3.165,200
1790105361.097,swift-user-service,98.691,200
1790105361.105,swift-product-service,7.926,200
1790105361.107,swift-order-service,2.084,200
1790105361.795,swift-user-service,186.362,200
1790105361.798,swift-product-service,2.720,200
1790105361.800,swift-order-service,1.621,200
1790105362.402,swift-user-service,99.898,200
1790105362.405,swift-product-service,3.492,200
1790105362.407,swift-order-service,1.943,200
1790105363.000,swift-user-service,90.411,200
1790105363.003,swift-product-service,2.943,200
1790105363.005,swift-order-service,1.832,200
1790105363.600,swift-user-service,94.931,200
1790105363.604,swift-product-service,3.977,200
1790105363.607,swift-order-service,2.427,200
1790105364.203,swift-user-service,88.095,200
1790105364.206,swift-product-service,3.114,200
1790105364.208,swift-order-service,1.815,200
1790105364.799,swift-user-service,80.749,200
1790105364.804,swift-product-service,5.110,200
1790105364.806,swift-order-service,2.434,200
1790105365.402,swift-user-service,91.650,200
1790105365.405,swift-product-service,2.840,200
1790105365.407,swift-order-service,1.937,200
1790105365.998,swift-user-service,87.603,200
1790105366.003,swift-product-service,5.505,200
1790105366.005,swift-order-service,1.955,200
1790105366.702,swift-user-service,189.317,200
1790105366.704,swift-product-service,2.662,200
1790105366.706,swift-order-service,1.790,200
1790105367.299,swift-user-service,91.033,200
1790105367.305,swift-product-service,5.961,200
1790105367.307,swift-order-service,1.720,200
1790105367.900,swift-user-service,83.844,200
1790105367.903,swift-product-service,2.999,200
1790105367.909,swift-order-service,5.490,200
1790105368.495,swift-user-service,84.677,200
1790105368.500,swift-product-service,5.016,200
1790105368.502,swift-order-service,1.946,200
1790105369.201,swift-user-service,197.100,200
1790105369.204,swift-product-service,3.281,200
1790105369.206,swift-order-service,1.848,200
