t,k6_cpu_percent_of_one_core,k6_rss_bytes
1790105343.122,nan,154845184.0
1790105347.223,2.1844411772211685,164151296.0
1790105351.343,5.286669543907979,167854080.0
1790105355.496,1.9487508472752268,168673280.0
1790105359.607,1.9242319758690163,170770432.0
1790105363.766,2.1697265817304734,174931968.0
1790105367.905,1.9210675488097124,179011584.0
1790105372.079,2.152278549633829,183664640.0
1790105376.261,1.9324647010385343,186597376.0
1790105380.392,2.1586384168158723,191299584.0
1790105384.570,1.9282101780649312,196231168.0
1790105388.709,1.9261898865598193,201342976.0
1790105392.862,5.107365481260114,204226560.0
1790105396.984,1.93487401926089,202440704.0
1790105402.147,1.9066661959190137,195166208.0
1790105405.296,1.6773718440080656,196034560.0
1790105409.472,1.929261291716779,189644800.0
1790105413.619,2.1543732301801977,193232896.0
1790105417.795,1.922369999497559,196067328.0
1790105421.958,1.920214110788188,199032832.0
1790105426.115,2.6478830236363824,202850304.0
1790105430.278,2.627512090867727,210550784.0
1790105434.465,6.452124289907839,213630976.0
1790105438.650,2.4024964447749033,213712896.0
1790105442.803,1.6859524197130458,213762048.0
1790105446.964,2.168343910514875,213827584.0
1790105451.111,2.403749118359675,213827584.0
1790105455.275,2.1730364864179488,213843968.0
1790105459.416,2.157516433109832,214188032.0
1790105463.588,2.384938742108212,216121344.0
1790105467.781,2.1622451902037634,221921280.0
1790105471.936,2.1601179996099606,227868672.0
1790105476.101,5.7902288227416765,236404736.0
1790105480.246,2.4010089231030465,236912640.0
1790105484.413,2.8865782235364583,237010944.0
1790105488.567,1.6856786776298909,236748800.0
1790105492.729,2.1711316213392022,236781568.0
1790105496.875,2.660588902837171,236945408.0
1790105501.009,2.4014631259275854,237142016.0
1790105505.173,2.170847696391806,237436928.0
1790105509.309,2.4081795923926017,241991680.0
1790105513.472,2.392242668755396,250216448.0
1790105517.652,2.1752739424285075,256557056.0
1790105521.789,1.6612399166826246,261308416.0
1790105525.996,5.7691268288911415,265158656.0
1790105530.163,1.2010811810749382,265338880.0
1790105534.317,1.6839544446424326,265371648.0
1790105538.475,1.1987233521306606,265388032.0
1790105542.654,0.9624194858151877,265437184.0
1790105546.807,0.0,0.0
