t,service,series,cumulative_count,cumulative_sum_seconds
1790108199.053,swift-user-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""user-service""}",106.0,13.030371591
1790108199.053,swift-user-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""user-service""}",1000.0,1.588092524
1790108199.053,swift-product-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""product-service""}",5.0,0.006197625
1790108199.053,swift-product-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""product-service""}",1000.0,0.434677073
1790108204.076,swift-user-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""user-service""}",140.0,14.891392465
1790108204.076,swift-user-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""user-service""}",1032.0,1.676979191
1790108204.076,swift-product-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""product-service""}",10.0,0.009880375
1790108204.076,swift-product-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""product-service""}",1000.0,0.434677073
1790108209.093,swift-user-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""user-service""}",254.0,32.477760726
1790108209.093,swift-user-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""user-service""}",1156.0,2.9966649
1790108209.093,swift-product-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""product-service""}",10.0,0.009880375
1790108209.093,swift-product-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""product-service""}",1000.0,0.434677073
1790108214.190,swift-user-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""user-service""}",342.0,89.471440314
1790108214.190,swift-user-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""user-service""}",1251.0,9.912300648
1790108214.190,swift-product-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""product-service""}",10.0,0.009880375
1790108214.190,swift-product-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""product-service""}",1000.0,0.434677073
1790108219.394,swift-user-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""user-service""}",424.0,175.389965318
1790108219.394,swift-user-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""user-service""}",1340.0,21.109120531
1790108219.394,swift-product-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""product-service""}",10.0,0.009880375
1790108219.394,swift-product-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""product-service""}",1000.0,0.434677073
1790108224.490,swift-user-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""user-service""}",501.0,283.823478822
1790108224.490,swift-user-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""user-service""}",1423.0,34.564854113
1790108224.490,swift-product-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""product-service""}",10.0,0.009880375
1790108224.490,swift-product-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""product-service""}",1000.0,0.434677073
1790108229.698,swift-user-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""user-service""}",591.0,453.768977856
1790108229.698,swift-user-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""user-service""}",1513.0,57.124577624
1790108229.698,swift-product-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""product-service""}",10.0,0.009880375
1790108229.698,swift-product-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""product-service""}",1000.0,0.434677073
1790108235.196,swift-user-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""user-service""}",675.0,628.674043481
1790108235.196,swift-user-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""user-service""}",1612.0,98.342332981
1790108235.196,swift-product-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""product-service""}",10.0,0.009880375
1790108235.196,swift-product-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""product-service""}",1000.0,0.434677073
1790108240.894,swift-user-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""user-service""}",768.0,909.024839696
1790108240.894,swift-user-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""user-service""}",1717.0,160.176650674
1790108240.894,swift-product-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""product-service""}",10.0,0.009880375
1790108240.894,swift-product-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""product-service""}",1000.0,0.434677073
1790108246.793,swift-user-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""user-service""}",856.0,1204.665124608
1790108246.793,swift-user-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""user-service""}",1819.0,240.245294665
1790108246.793,swift-product-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""product-service""}",10.0,0.009880375
1790108246.793,swift-product-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""product-service""}",1000.0,0.434677073
1790108253.500,swift-user-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""user-service""}",959.0,1636.040253647
1790108253.500,swift-user-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""user-service""}",1946.0,383.62311544
1790108253.500,swift-product-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""product-service""}",10.0,0.009880375
1790108253.500,swift-product-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""product-service""}",1000.0,0.434677073
1790108259.702,swift-user-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""user-service""}",1064.0,2183.927951873
1790108259.702,swift-user-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""user-service""}",2066.0,572.409546902
1790108259.702,swift-product-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""product-service""}",10.0,0.009880375
1790108259.702,swift-product-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""product-service""}",1000.0,0.434677073
1790108265.390,swift-user-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""user-service""}",1171.0,2721.854365425
1790108265.390,swift-user-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""user-service""}",2154.0,764.154211578
1790108265.390,swift-product-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""product-service""}",10.0,0.009880375
1790108265.390,swift-product-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""product-service""}",1000.0,0.434677073
1790108271.886,swift-user-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""user-service""}",1256.0,3201.047107126
1790108271.886,swift-user-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""user-service""}",2277.0,1030.697850083
1790108271.886,swift-product-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""product-service""}",10.0,0.009880375
1790108271.886,swift-product-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""product-service""}",1000.0,0.434677073
1790108279.103,swift-user-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""user-service""}",1402.0,4128.704999939
1790108279.103,swift-user-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""user-service""}",2437.0,1496.382532954
1790108279.103,swift-product-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""product-service""}",10.0,0.009880375
1790108279.103,swift-product-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""product-service""}",1000.0,0.434677073
1790108288.296,swift-user-service,"http_request_duration_seconds{method=""POST"",status=""201"",language=""swift"",service=""user-service""}",1512.0,4899.667465964
1790108288.296,swift-user-service,"http_request_duration_seconds{method=""GET"",status=""200"",language=""swift"",service=""user-service""}",2573.0,2013.367271191
