t,service,latency_ms
1790111085.203,swift-user-service,3.655
1790111085.206,swift-product-service,2.447
1790111085.208,swift-order-service,1.854
1790111090.213,swift-user-service,1.750
1790111090.216,swift-product-service,1.486
1790111090.217,swift-order-service,1.191
1790111095.260,swift-user-service,40.406
1790111095.265,swift-product-service,4.332
1790111095.268,swift-order-service,2.105
1790111100.371,swift-user-service,95.003
1790111100.375,swift-product-service,3.276
1790111100.378,swift-order-service,2.269
1790111105.474,swift-user-service,91.851
1790111105.477,swift-product-service,2.970
1790111105.480,swift-order-service,1.838
1790111110.869,swift-user-service,387.324
1790111110.874,swift-product-service,3.664
1790111110.876,swift-order-service,1.721
1790111116.173,swift-user-service,291.147
1790111116.177,swift-product-service,3.441
1790111116.180,swift-order-service,1.840
1790111121.369,swift-user-service,183.726
1790111121.373,swift-product-service,3.161
1790111121.375,swift-order-service,1.784
1790111127.168,swift-user-service,790.837
1790111127.173,swift-product-service,3.659
1790111127.175,swift-order-service,1.854
1790111132.766,swift-user-service,580.700
1790111132.770,swift-product-service,3.052
1790111132.772,swift-order-service,1.658
1790111139.474,swift-user-service,1697.821
1790111139.477,swift-product-service,2.689
1790111139.480,swift-order-service,1.387
1790111144.677,swift-user-service,189.469
1790111144.684,swift-product-service,4.259
1790111144.689,swift-order-service,4.028
1790111152.673,swift-user-service,2973.260
1790111152.677,swift-product-service,3.168
1790111152.680,swift-order-service,1.908
1790111158.663,swift-user-service,973.614
1790111158.666,swift-product-service,2.283
1790111158.668,swift-order-service,1.524
1790111164.974,swift-user-service,1299.131
1790111164.977,swift-product-service,2.600
1790111164.980,swift-order-service,1.596
1790111171.874,swift-user-service,1886.380
1790111171.879,swift-product-service,3.476
1790111171.882,swift-order-service,1.913
1790111179.766,swift-user-service,2877.711
1790111179.769,swift-product-service,2.608
1790111179.772,swift-order-service,1.864
1790111188.269,swift-user-service,3489.585
1790111188.273,swift-product-service,3.183
1790111188.276,swift-order-service,2.039
1790111194.267,swift-user-service,984.990
1790111194.271,swift-product-service,3.167
1790111194.273,swift-order-service,1.761
1790111201.672,swift-user-service,2397.158
1790111201.679,swift-product-service,5.894
1790111201.683,swift-order-service,3.722
1790111207.275,swift-user-service,581.696
1790111207.279,swift-product-service,2.542
1790111207.281,swift-order-service,1.229
1790111214.073,swift-user-service,1790.724
1790111214.077,swift-product-service,3.671
1790111214.082,swift-order-service,2.446
1790111220.576,swift-user-service,1484.513
1790111220.580,swift-product-service,3.159
1790111220.583,swift-order-service,1.747
1790111227.371,swift-user-service,1782.485
1790111227.374,swift-product-service,2.213
1790111227.376,swift-order-service,1.311
1790111234.770,swift-user-service,2383.756
1790111234.775,swift-product-service,2.819
1790111234.778,swift-order-service,2.147
1790111241.577,swift-user-service,1796.356
1790111241.582,swift-product-service,3.112
1790111241.585,swift-order-service,2.240
1790111250.376,swift-user-service,3780.469
1790111250.381,swift-product-service,3.345
1790111250.383,swift-order-service,1.840
1790111257.569,swift-user-service,2180.573
1790111257.574,swift-product-service,3.560
1790111257.577,swift-order-service,2.074
1790111265.775,swift-user-service,3197.631
1790111265.779,swift-product-service,2.355
1790111265.782,swift-order-service,1.965
1790111273.374,swift-user-service,2582.026
1790111273.378,swift-product-service,2.436
1790111273.380,swift-order-service,1.879
1790111279.062,swift-user-service,676.464
1790111279.066,swift-product-service,2.231
1790111279.068,swift-order-service,1.883
1790111284.575,swift-user-service,501.757
1790111284.579,swift-product-service,2.030
1790111284.581,swift-order-service,1.541
